Indice eficienta emisii,Impact proteic al emisiilor,entity
-0.7286311934457584,-0.09470155947319897,Frozen sweet potato fries
-0.4460936418341764,0.0608657420632516,Fruit cake
-0.6717916689396549,-0.17085712872124786,Garden peas
0.6960040209892776,-0.31899779218458396,Goat’s cheese
-0.6705750572379178,-0.16004113616492177,Granola
2.2062738158203183,3.394069409630769,Grapes
0.4094801372912545,-0.4159121839951333,Halloumi cheese
-0.2554088935720477,0.2885366267442305,Ice cream
-0.3345092987095387,0.5879859360941236,Ice lollies
-0.5080695328467545,-0.1379760134926633,Kale
-0.3170482939069015,0.20900955123709844,Kiwis
1.9688702762105608,-0.6327610545756257,Lamb (leg)
1.4389638775777192,-0.4818408873990448,Lamb burgers
1.7099442261089828,-0.547045953951209,Lamb chops
-0.6289470360215076,-0.038489724828867096,Lemons
-0.5096126002910254,-0.20029664565100552,Lentils
2.025095037436165,0.5605382910479835,Lettuce
-0.6003317153841722,-0.03789055619534083,Limes
0.46756705144166494,-0.35083654564592986,Macaroni cheese
0.38084959944020763,-0.3729107581508569,Mackerel
0.020870100827628517,1.504859996498996,Marmalade
-0.6965460284207439,-0.15199711290157358,Meat-free burger
-0.6977512297054755,-0.1835153256602594,Meat-free mince
-0.6919330580260894,-0.16765584131345346,Meat-free sausages
-0.3454047195143642,0.2599427186131598,Melon
0.04338850581407995,0.05168432859815569,Milk chocolate
0.5574654898934676,-0.38767266302203196,Mozzarella cheese
-0.6185985026960553,-0.15711905869175444,Muesli
-0.4889071468242638,0.010199443219258291,Muffins
0.05247433295173522,-0.10410199164279997,Mushrooms
-0.714718404793154,-0.1572425197686589,Naan
-0.7036978844479369,-0.11993701900853493,Nut loaf
-0.6072562805765879,0.028545860154251305,Oat milk
-0.5374576364710482,-0.3036034424430453,Olive oil
-0.6632256319954413,-0.08995977337918233,Onions
-0.5580283900070594,0.11283676411317395,Orange juice
-0.6289540725057075,-0.032442800712108706,Oranges
-0.651414332060155,-0.12391527715884328,Pancakes
0.8505794465744213,-0.573423934409432,Parmesan cheese
-0.5634295516723006,-0.03433959343677993,Parsnips
-0.727113353203544,-0.1710954310463927,Pasta shells
-0.5911707099790704,-0.2088644330052396,Peanut butter
-0.5906925518996201,-0.16867579916292164,Peanuts
-0.37167239459373624,0.4145966059675357,Pears
-0.621905165229362,-0.13217056547856104,Pecan nuts
-0.6562458219685585,-0.14496578854091863,Penne pasta
-0.4621279179271403,-0.04427172326478106,Peppers
-0.33808801017668527,0.4348570058840269,Pineapple
-0.7507686168549347,-0.16302556910419924,Pitta bread
-0.6589333012638194,-0.1330657464615487,Popcorn
-0.6836089010274915,-0.13020339736791484,Poppadoms
0.18787999322402346,-0.29502109010734556,Pork chops
0.0036697687240004797,-0.23673334340520544,Pork sausages
-0.6847322018898726,-0.16892561500319633,Porridge (oatmeal)
-0.7619487563931535,-0.1400501596878433,Potatoes
