Indicativ,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17
nt,-0.5152684226444002,0.06674372801652298,-0.05685113869202707,0.210385233488165,-0.5774088368289086,0.36245681463794044,-0.4598920685038603,0.9356961062201921,-0.6185070851134342,-0.1854919011758374,0.01380046435893138,-0.5509123958032713,-0.010422035384733843,-0.7120842867668177,0.03503612441278166,1.1228823277777784,0.7708303379525956
ot,-0.6527505675342936,0.49416056031340205,-0.5228362141728566,-0.45735181929802327,0.18195814262457194,-0.17548736998246153,-1.047430822606159,-0.14187225922924915,-0.011867842799108946,0.6580886472652958,-0.24856045995220757,-0.15103991111939397,-0.28825954610507204,1.690008510492709,-0.10564827262218184,-0.45252501596076783,-0.34998116069791196
ph,0.044861958076753715,0.6709629095215035,-0.312055736871783,0.2691638451591631,-0.39750364892718115,-0.7457461304183088,0.2334282036717865,0.0958387232468895,-0.21874150092130418,0.025062544239588723,0.4528068211292881,0.18130065095558834,-0.42088397723586907,0.5756445155256601,0.6035181088113653,1.3545469656942093,-0.33971461504645994
sj,0.46054175408687437,-0.09080550419541301,0.5229402171533837,-0.04136053049579461,0.7254000047398985,-0.06479084620235276,-0.08811144794066648,-0.19653181359284388,0.07238009398831372,-0.21324387209115256,0.49126449990262255,0.11249746717911614,0.3515816045557813,-0.05561187591341979,-0.5283296147615654,-0.8759740282851098,0.8599651809979221
sm,0.48627912351856234,-0.1803702121525294,0.2701975132805445,0.6541906700349521,0.23790507650516132,0.5748579030530195,-0.15860480662663695,0.017315973633429616,0.19610268705827047,-0.37250436895555245,0.7757258459006249,-0.22980804978740713,0.5941127902907538,0.5840483352242749,-0.034098382887170035,-1.3072533582194046,-0.3415563486622615
sb,0.8438164165920949,-0.15090431229454618,-0.011388636121763523,0.1295837261669992,-0.213856098784459,0.6900240001683628,0.43590349113230253,-0.015306649466444793,-0.21367844357537708,0.5132537380487989,0.6092516497715483,-0.03624877884606544,-0.01679532974616566,-0.31612195174468477,-0.4701591580476454,-0.4806318798245912,-0.3041404779594373
sv,0.4124334975748066,-0.689255754884827,0.23419696597799833,-0.10689559325549625,-0.03406337807680512,-0.6081297209788591,-0.7350148111224085,-0.0367594567509226,0.26089747613385944,-0.24365759809996143,-0.06764495696299012,0.7564704402091734,-0.5964255600761368,0.6305076879538546,-0.9212047268085699,0.0672987104856365,-0.6560756464728911
tr,-1.6720306292926057,0.37501685663416146,-0.2556104646576533,-0.24523121814878773,0.4724578140034805,0.07415130443200692,-0.008996118600463648,0.4542005080273401,-0.03434547534460791,-0.39265512397553365,0.6516289613241949,0.7525258763028653,0.4629367893247723,-0.10227034515472118,0.9609458258895324,0.5271443581607543,-0.22667688587700963
tm,0.7556596779193233,0.19664725362749053,-0.07397277635473501,-1.085739507907165,-0.8508719216965334,1.1195628435981857,-0.326784252695609,-0.9082709511606046,0.22213046521810217,0.12078228695495571,0.045279621313720694,-0.049738328911452405,-0.8366293022620205,0.5656327977343041,-0.561035331220019,-0.5843474759661086,-0.05154895012888384
tl,-0.6640186677993585,-0.08858024994019309,-0.0026971732029270738,-0.038540316068684334,-0.45062779723852053,0.3034423757186223,0.046521644286333375,0.5308244762280964,0.6780410101447509,0.030927497156978682,-0.2620190762100932,-0.09640242056946216,-0.2570811763169004,1.398190356767141,1.2265693067147168,-1.6756813688267371,-1.3410623955969518
