Siruta,Localitate,Judet,Categorie
37672,Hiliseu-Horia,bt,Barbati_45-64
37734,Hlipiceni,bt,Barbati_45-64
37770,Hudesti,bt,Barbati_45-64
37823,Ibanesti,bt,Barbati_45-64
37850,Leorda,bt,Barbati_45-64
37912,Lunca,bt,Femei_65_
37958,Manoleasa,bt,Barbati_45-64
38063,Mihai Eminescu,bt,Barbati_45-64
38161,Mihaileni,bt,Barbati_45-64
38241,Mihalaseni,bt,Barbati_45-64
38321,Mileanca,bt,Barbati_45-64
38376,Mitoc,bt,Barbati_45-64
38456,Nicseni,bt,Barbati_45-64
38492,Paltinis,bt,Barbati_45-64
38544,Pomarla,bt,Barbati_45-64
38580,Prajeni,bt,Barbati_45-64
38633,Radauti-Prut,bt,Barbati_45-64
38679,Rauseni,bt,Barbati_45-64
38731,Ripiceni,bt,Barbati_45-64
38811,Roma,bt,Barbati_45-64
38848,Romanesti,bt,Barbati_45-64
38893,Santa Mare,bt,Barbati_45-64
38982,Suharau,bt,Barbati_45-64
39051,Sulita,bt,Barbati_45-64
39122,Sendriceni,bt,Barbati_45-64
39168,Oras Stefanesti,bt,Barbati_45-64
39220,Stiubieni,bt,Femei_65_
39266,Todireni,bt,Barbati_45-64
39328,Trusesti,bt,Barbati_45-64
39391,Tudora,bt,Barbati_45-64
39417,Ungureni,bt,Barbati_45-64
39532,Unteni,bt,Barbati_45-64
39612,Vaculesti,bt,Barbati_45-64
39658,Viisoara,bt,Barbati_45-64
39694,Varfu Campului,bt,Barbati_45-64
39738,Vladeni,bt,Barbati_45-64
39792,Vlasinesti,bt,Barbati_45-64
39836,Vorniceni,bt,Barbati_45-64
39872,Vorona,bt,Barbati_45-64
39942,Lozna,bt,Barbati_45-64
39959,Dimacheni,bt,Barbati_45-64
39967,Candesti,bt,Barbati_45-64
39975,Cosula,bt,Barbati_45-64
39983,Blandesti,bt,Barbati_65_
40035,Adaseni,bt,Barbati_45-64
40198,Municipiul Brasov,bv,Femei_45-64
40214,Oras Ghimbav,bv,Barbati_45-64
40241,Municipiul Codlea,bv,Barbati_45-64
40278,Municipiul Fagaras,bv,Femei_45-64
40303,Oras Predeal,bv,Femei_45-64
40367,Oras Rasnov,bv,Barbati_45-64
40394,Oras Rupea,bv,Barbati_45-64
40438,Municipiul Sacele,bv,Femei_45-64
40465,Oras Victoria,bv,Femei_45-64
40492,Oras Zarnesti,bv,Femei_45-64
40526,Apata,bv,Barbati_45-64
40544,Beclean,bv,Barbati_45-64
40606,Bod,bv,Femei_45-64
40633,Bran,bv,Femei_45-64
40688,Budila,bv,Barbati_45-64
40704,Bunesti,bv,Femei_45-64
40768,Cata,bv,Barbati_45-64
40820,Cincu,bv,Barbati_45-64
40857,Comana,bv,Barbati_45-64
40900,Cristian,bv,Barbati_45-64
40928,Dumbravita,bv,Barbati_45-64
40955,Feldioara,bv,Barbati_45-64
40991,Fundata,bv,Barbati_45-64
41033,Halchiu,bv,Femei_45-64
41088,Harman,bv,Barbati_45-64
41113,Harseni,bv,Barbati_65_
