Indicativ,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
gj,0.6794154509856408,0.5248171327826685,0.10199996749127507,-1.124381696415039,-0.1456169255376815,-0.7773730989366515,0.09367099218481194,-1.0706666909968579,0.20248269892883416,1.210953672985167,0.449165538961212,-0.562720112579581,-0.18612016037928525,-0.6136064670247071,-0.7248210395789351,-0.3378047124682111,-1.8388184051232022,1.0120252354841777,2.002930956149671,-1.311021399370658,-0.410707794049127,0.423285929917371,-0.10007553404868046,-1.4623739539659113,-1.7826036775400995,1.8180549919768696,1.0619510498807503,-0.5822514379799261,0.42362905751467256,1.7931746106926,0.0
hr,-0.07305294665833659,-0.23958281930595676,-0.31618462741904185,-0.7858135746854795,-0.808212681085062,0.7335911563296861,-0.3747976454502434,-0.3531432304085465,0.03470042255597726,0.16915525588809532,0.2142323318782566,0.09876894120740996,-0.19827694596173062,-0.17422735637525255,-0.07391157268014256,4.033074617029159,1.2271170241218423,0.6888049736706487,-0.37435988788568114,-0.3098885914155838,-0.682303371816984,1.0020819829614585,-1.3594349403534685,0.059510304780679896,0.42780917835707843,1.1207135721127321,0.4782044605779222,0.7595680650488438,0.2180759348565562,0.6645799544088067,0.0
hd,0.09893977238674473,0.7254589615518002,-0.03957930970601984,0.48446165739324903,0.07709783097014472,-1.2178176796160194,-1.544063329999156,-1.03298397249392,4.168846402309087,1.5449309074639053,1.098918171757708,-0.3884767610487728,1.1371057391741943,-0.47019449487081816,0.39380636330553576,0.2688827870552903,1.1149404292088922,0.5786902070102887,1.7425691909553158,0.9631682608014076,-0.18364550956514059,-0.39440739444005424,0.5493607147201041,0.7063210899476623,0.14379135187925754,-0.2558193746114254,-0.2563904185064275,0.5377253104517513,0.675639711042819,-0.625227649260916,0.0
il,-0.9088230310903848,-0.0250818002042598,-0.3928543918225444,-0.6547016821996143,-0.6930561379241041,0.43033238664256657,0.06248110512187771,-0.4433169414351466,-0.3343437825348428,-0.7441580688798638,-1.291624209470713,1.931866715720146,-0.31620817096353876,-0.13406865099436563,-0.06401591664545442,-0.40250109736448564,-0.3350962011932858,-0.10821119804469236,1.8194656995237752,-0.23651850024136556,0.3151986216059437,0.6297750784967437,0.291848130847596,0.7815275835112024,0.4816753644800967,-0.6823984301906388,0.908890622608273,2.1078881405043792,1.0654674563785798,-0.021948365168986857,0.0
is,1.710361504704382,0.7750435593038227,0.40600897465604446,2.6500277476276013,-0.1906551637089115,0.8019774089800318,-1.4514771372984,-1.177361142283409,-0.3412110495416026,-0.4338867759295858,-0.19355460334521685,-0.4231453090626002,-0.37236316440714373,-0.5827638936466359,-0.010812550413898312,-0.36051789939651835,-1.428142498843623,-0.37123829600580044,-1.0044616245033609,-0.6232652841409878,-0.776530883131625,-0.7523356293927046,0.3616282893814669,1.5780874703499557,-1.8769740761159084,0.9398465277122517,-0.06825095846896521,-0.3369594031924246,-0.8861624417838633,-1.0341814547521602,0.0
if,-1.957492528044082,1.0597148180954747,-0.7831993650304039,-0.37889171358861495,4.766102614615807,1.7815512040199224,-0.24304433406918363,0.1175050722045836,0.058302847142039184,-0.31707538342674396,1.3316014045318174,0.5117839839346843,-1.0561415180154017,-0.34719153999202906,-0.6302074714805371,-0.7924240428018456,0.27266811826405274,1.0727834333639035,0.3279799679014822,-0.4837849409165001,-0.4566913102192431,0.09594341300351245,-0.5553426211643122,0.47692956924509883,0.07436358851971625,0.26412985472713907,-0.8389221788738311,-0.2878240202693671,-0.3588615176101849,-0.04949722127194753,0.0
mm,-0.34987427938256654,0.8470687038218836,-0.39355950678133994,-0.12614945999328805,-0.9027507486234787,-0.2070177232847598,-0.3087569374168992,0.17343692013828263,-0.28434943198887286,-0.716338496509949,0.07102283012582959,-0.5341879812429815,0.9538755558511964,-0.2775559596062238,-0.8398808283202231,0.2774431340556758,0.5086479787675592,1.3792919508841304,0.35441646696134593,-0.8664145445558833,0.8226871375589436,0.36512492471399266,0.7735132558884963,-0.7034562207948853,0.8890662172727959,-0.5388956481880214,-0.3597879439179324,-2.7617754878623955,-0.39947073844501907,-0.34723463143851485,0.0
mh,0.028180697024422892,-1.5108493952688027,0.3453702025587537,-0.8042512608915947,0.3392533521734015,-0.1184202863958536,1.5302523956877545,-0.616838338188918,-0.9502423392029178,2.2625872534018847,0.6710270711758584,-0.5446424741162755,-0.5223841227975475,-0.2249908449068673,1.3590734371354496,-0.28322210866717196,-0.8600144912554758,-0.7736894190835077,0.3580572154735802,0.39364194366204625,-1.5162714187179989,0.32062978328538755,-1.1155000425513766,1.3283800458561479,0.6962268168849212,-0.06635222372651031,0.6668472557429627,-1.0899063146505168,-0.5200287724368726,-0.7452874908111025,0.0
b,3.3107232021629667,0.43954355494891867,0.3099321439845761,0.7581946762019648,0.33120199596457073,-0.23166073496576273,2.9177352615431964,0.5864793775499362,0.26684110259176325,-1.4265716050272268,1.4357267044821678,2.089550864403497,-1.5263164721119653,-0.4242987741260318,-0.7483470292805716,0.6165490576407138,1.0494760437385307,0.5179727345732245,1.218183471370956,0.6852168646111978,0.9279861090597784,-1.0780711356667079,-0.3574490309940373,0.1193510213991542,-0.13351191997162398,-0.14499623358515298,-0.2234614661193547,-0.05987282526360567,-0.06737027412817592,0.38033927708358145,0.0
ms,0.9720975296471953,0.03794359260661568,0.17079849457643934,-0.6639086036987911,-0.7813046240500505,0.2173460098182283,-0.7721494510249587,-0.7626360721086866,-0.5836298910563394,-0.7820170940523469,0.34805691103668296,-0.4630116004702681,0.9591271346505749,-0.016877337923720537,-1.1603363252385153,-0.00931445718935013,2.041542438554199,0.12942275300067158,-0.2191991435792141,0.08291862246130467,-1.7553363498708379,-0.4863967675120889,-0.049866547375437886,0.12573084613366983,0.1869528716662117,-1.6867160457223445,-1.3296569312438846,0.0791995220615331,-1.9220379406364603,-0.2690919502916678,0.0
