Indicatori,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
PopScolara,0.7998267014765537,0.11465232371094232,0.19108053793632476,0.24124684804503285,-0.05324935742483371,0.3067395742243438,0.053465459362795495,0.10882589094883015,-0.018873731155750532,-0.14565679392759578,0.05228884765619477,-0.07931643929329334,0.04272094560022186,0.10212362593301755,0.14943271275709874,0.029475309573544654,0.029479053247366094,0.05482951751409673,-0.06885675149941388,-0.054353102277142094,0.020232211301391953,-0.035251160025907245,0.021082319960105476,-0.03341894235559035,0.007412282121421168,-0.003275257787780488,0.23420600268061928,0.005103831666337064,-0.0043229551987468105,0.00047786383819409803,0.0
PaturiUS,0.8900668295332358,0.06842717548003388,0.13027078536337217,0.093179982875545,-0.049781423832871256,-0.05496308690643068,-0.05481580865759396,-0.029691071708333128,0.21363923399532928,-0.016739908555750485,0.07485426007025602,-0.00011825488397899119,-0.13508628233795097,0.13068797234434765,0.12725852672576415,0.07660535740915622,0.06358931814368986,0.003261576727408308,0.03698137643086911,-0.026723791606318145,-0.016142393675564005,0.009390518915382976,-0.02568215186486746,-0.017456562022008782,-0.038586737570413955,0.044925770550630954,-0.14816296190857958,-0.14446448499983736,-0.01858896234272721,-0.0049720996176645035,0.0
Medici,0.839941033673701,0.20195059946139862,0.0643592967937226,0.10494994587018554,0.10282686748549413,0.08518439845345875,-0.013872983450318854,0.16308994061716275,-0.010939176185714002,-0.14405325216273202,0.07716994489731478,0.015468053503179322,-0.05462873094764561,0.0440112943374737,0.02769367684994505,-0.12472403345791906,0.2031488021653363,0.0168988786478415,0.039224293411401844,-0.004428024415415739,-0.30463223556486235,-0.006293234891722095,0.04692004043022848,0.012808555130116812,0.013344167866554686,-0.031617082152931984,-0.004867130946951304,0.03194397908976826,0.004286029019154773,-0.008845172174417566,0.0
VolumeB,0.8422171074408537,0.05058384203550113,0.13190731591780158,0.15481233666753752,-0.07252865982072512,0.05974320800923396,0.32279924811851063,0.03718289560115579,0.0579877218959722,-0.07947473542244259,0.07875253049245225,0.052122642120203865,0.016508786777229997,-0.09075763194228546,0.06294197428389904,0.10870770947301944,0.0718912605807697,0.043296246360735605,0.006606024310080123,-0.0373576719340873,0.246404395386645,0.023293946098876504,-0.03150922221632055,0.059642563153729414,0.044961679184160656,-0.047013979744282806,0.012467152043583347,0.0740330992231195,0.009676704341255045,-0.014408991990720857,0.0
SpectatoriS,0.2957235639385103,-0.018037097570650897,0.9046981502165035,0.03846451935657776,0.03242722512360598,0.1166401986089659,0.06857466721884832,0.06186716456202989,-0.046818777472375554,-0.034763946030612,0.02851247012530042,0.062474605746469423,-0.0052846871326823535,0.05896680929897107,0.100312105647755,0.03354348740814784,0.06882136872069392,-0.012887790697049628,-0.016220504823921553,-0.05211631350072039,0.015957544302001237,-0.008548003038802598,-0.05472395832953887,0.007604708811488309,0.039272813508343336,0.16830210949763005,-0.00825100120034209,0.00022223189938489363,0.007784231759357151,0.0034515096323938137,0.0
VizitatoriM,0.08988842783733757,0.13226815335115022,0.8631673561425331,0.07530131457519607,0.030923949051352515,-0.023257848831733933,-0.005761847347227054,0.07884726520949097,0.07730991759062103,-0.013103846989036268,0.07039713339964898,-0.14874754877486093,0.10496840819003361,0.2732883429439233,0.12533801685053111,0.004673911667018785,0.0015096960394538645,0.1568725271345966,0.06271174830386046,0.019867680531084075,-0.017556798491114807,-0.0012243392055081503,0.06983561449641403,0.0058019671634303785,-0.04001594726553635,-0.20055652943914526,0.014141350823808496,0.0010449258008246739,-0.00963190133707404,-0.0029295660916167448,0.0
SportiviL,0.3297144826423759,0.21467296411627512,0.06890439691295767,-0.07605460747547578,0.11382560146078466,0.08769220400651226,0.08198560582156048,0.1682101207778172,0.11931280512285104,-0.03793373851107914,-0.023814114670362242,-0.00931354646835175,-0.12732633046046268,0.07931083950545963,0.1871707596614318,0.0575960983945246,0.8344798818137446,-0.0003107251222015286,-0.0006152804313881183,-0.011679451334945789,-0.006545915596621843,-0.01574116952809185,7.212614708188527e-05,0.005753472674951658,0.003376009705675671,0.0006374338758259858,-0.00015455681822438373,0.00038947712451531814,-0.00034906546829132425,0.00023450884345410913,0.0
PIB,0.6243437210759304,0.29065596479818434,0.13657058849423936,-0.02759350070721235,0.22204216660143308,0.02756910574978644,0.29373802164872065,0.26427974222781336,0.045017985691063314,-0.15090926402062252,0.19603073482925767,0.19113333523578915,-0.22724788013846728,0.06263955860273548,0.10785361298438172,-0.028558451197411114,0.19318456109109783,0.15395809914942998,0.18604624228167646,-0.0006515522543797569,0.1010608836345522,-0.06738030723120435,0.015610375191723017,-0.03417623492583552,-0.05158634697934763,0.03972296021328953,0.01828788156421707,0.032005921185455304,0.03262001170079736,0.09421010174743111,0.0
SalariatiC,0.33420038760664444,0.25392577943102707,0.21924165593684422,0.13676796691193668,0.517214624081751,0.20673558684013824,0.1695271902756742,0.32358777785930726,0.05650231704057949,-0.06968933454364862,0.26077040329504036,0.12387190737288228,-0.23762292287939796,-0.06627632238019304,-0.01956517104072513,-0.07650385303672141,0.07116600521682911,0.21512151771988489,-0.01146024653480434,0.0028655013261710575,0.013832255376085647,0.02399533194437479,0.0075660215642841385,0.31184839673125286,-0.005198693602202065,-0.0006921600863929772,-0.012317679262518711,0.011239139839630784,0.0032780695011269297,-0.0011993362745696522,0.0
PAgrVeg,-0.22546149740639373,-0.2689308951890007,-0.23877474069078314,-0.2830742107810143,-0.22252854778182277,-0.0629621523039088,-0.06579089896364736,-0.01764330494010566,-0.1263984433451418,0.24405229771485074,-0.17196308373852212,0.06930455805758345,0.0557059288715831,-0.15920440902530264,-0.15724475352431086,-0.19379891034701435,-0.002595611694440123,-0.6844797492575085,-0.062446969378885886,0.056268630256418754,-0.0012905723424960357,-0.002764441837007898,-0.0021217703463999424,-0.01444500726714247,-0.008846108705628915,0.005226885409206257,-0.004536984066075563,0.0007982075030243878,0.000453224398905488,-0.000450641133630025,0.0
PAgrAnim,-0.25305388716197696,-0.13208153026715988,-0.0697668074000055,-0.09592310081072696,-0.24574314854554594,-0.029985906345377143,0.010550559409335863,-0.00033070667479317506,0.054201955449007286,0.22843770022174803,-0.7706082624247156,-0.038190981377025875,0.18561787768149718,-0.038936889470750746,-0.05170531449490458,0.1272904425980582,0.021138408671556717,-0.07690333509279482,-0.023167556132998285,0.005822923015459417,0.0003955621072852322,0.012934774236475812,1.7961893231810996e-05,-0.01013116702814424,-0.006697597836420086,0.0010887297362416753,-0.0024788799523179587,0.00022446062144788155,0.00011223119258092267,-0.0005987757418682066,0.0
ServAgr,0.054949583514419344,0.04962982236670313,-0.04346354949028127,0.007139561568635834,-0.0305476056424414,-0.07153891153927365,0.03181420405872861,-0.02315149905304012,-0.07766288175930482,-0.02556304790634738,0.02652655202168216,0.9598685983786123,0.003064344931675775,-0.07634929770196931,0.09949452649207324,-0.1350075142221088,0.0003709943679460381,-0.022630668028972362,-0.004676551630449465,0.03521537785184387,0.0009884193993755352,-0.0075806040709359345,-0.0003912772421481512,0.00585755283993921,0.004966024261783677,0.0029223993158236086,-0.0018592260487525687,0.0012891526886081308,0.0008034249454960179,0.00029931869310840923,0.0
Silvicultura,0.011015479546857767,-0.018473662319032205,0.030746825959636053,-0.114944544882509,-0.0242188573217066,0.07523648886245689,0.030192682875364998,-0.06330507214093137,0.10116741535162915,0.08099438739800276,-0.08145453817759127,-0.13922193221488244,0.0929221531736864,0.04744045479670992,-0.01982916619039044,0.9199033339376985,0.03865106493476834,0.06646037365069052,0.0031936437601664315,-0.028823695023906998,0.007293927120736269,-0.0027822468037862176,0.001271577985256871,-0.00289847113816941,0.002005643903550707,0.0008228594612096141,-6.99490409273383e-05,-0.00036326573913889515,0.0004783816531491749,-0.00011364773092900519,0.0
SupLoc,-0.06321792840912215,0.22469144744989916,0.010137844946889275,-0.06063025177944847,0.9104102423820858,0.10167032655395962,0.04255971907227525,0.17610064455414973,-0.021927421378572287,-0.09613278430746564,0.16631335898157065,-0.06153516134287768,-0.0872677120802423,0.000908967159879958,0.008886590756914566,-0.01870185113816876,0.0840499977687388,0.06856753853639083,0.016648231992648286,-0.04723912901899427,-0.010815255397585702,-0.018665982665571096,0.0023674742328062682,-0.026925447833253922,0.006794088952100196,-0.00020749429895176578,0.0006802045754647158,0.0001304314213315175,-0.0004113342878585993,0.0005790930993067191,0.0
DrumuriM,-0.22535555506685093,-0.1440571936143108,-0.027166285409734495,-0.017514962349696492,-0.10301474316268504,-0.24040427937604178,0.09834315851844691,-0.047428259640458936,0.055299577180470655,0.8831774177461843,-0.17173209852022492,-0.023837518274124645,-0.04188000535577644,0.006391784131606241,-0.022070541547198584,0.11103305270480829,-0.02289082170708541,-0.10872213078047814,0.01010875163599315,0.04270714317662574,0.0027963191705988938,0.0032197953755362376,0.005713500895787422,-0.005519450070861736,0.0011543470711934867,-0.0004821285492843478,-0.002647339184216005,-0.0014731118211538414,-8.123731919733413e-05,-0.00042717336850947043,0.0
Innoptari,0.08311877942854387,0.1654106784129586,0.2564268124128526,-0.055966414499095986,-0.008890977161429498,-0.007116834271380185,0.04141266783723514,-0.01333617524138772,-0.057482511426801546,-0.0028435235175406554,0.039143065471617444,-0.08691707962587383,0.05671434258521891,0.9157185611490036,0.10580700008812795,0.05428042345487491,0.06592355292211435,0.062209565204205286,0.018404110315949566,-0.03676925733366977,-0.004593449067064437,-0.00817289025956545,0.003005393517580554,-0.004337286796609215,0.005802245618968415,0.0006801517962783541,0.0015917618713655588,-0.002383348791716932,0.0003096693690584591,0.0003984629660552883,0.0
BugetVenituri,0.22246313920173771,0.15078337131661254,0.051744170900164095,0.11019788582289372,0.079154633871247,0.021635404090116238,0.9142942915833514,-0.026977798570783012,0.18448905678294344,0.09642888674365581,-0.005846291912165101,0.03850485591299701,0.08635695735682893,0.0539930446902438,0.05067407131718007,0.03379949180048324,0.06789851472139012,0.028210704190568096,-0.003995750088309629,-0.010798120321597868,-0.002019770060274839,0.004380177439419512,0.0037935783462813705,0.00630342416805968,-1.2763228454292348e-05,0.0016591679033060287,0.002088801981846199,-6.0376841207355495e-05,-0.0006406294335754692,-0.0007931480428189407,0.0
BugetSubventii,-0.31671113492788777,-0.018131055008865575,-0.0783878647908856,0.04457452838279964,-0.2799317533906882,-0.1860652250662547,0.3765140238060558,-0.29890487715221953,-0.09303833999023255,0.38759154344296504,-0.27963310484900056,-0.13001994099362324,0.2723935473482107,-0.10751329961735323,-0.1569471458010247,-0.03283812867890735,-0.20109271989780936,0.004664570939699315,-0.05739547895780602,-0.0645800575113062,0.010843156268773147,0.3568449564138599,-0.029245825493194745,0.01620492792639724,0.0047202492464508946,-0.0006722081276869571,-0.011017449004461933,-0.006623739496665383,-0.002457920121835366,-0.0013688236604279752,0.0
Apa,0.3165312539225399,0.1635424054452103,0.27367099469526057,-0.07110939083122489,-0.009828312049079376,-0.1449974700008127,0.07431166915792355,0.1490612788773964,0.10983034379261442,-0.056380992526141586,0.06110819435788526,0.16776574007100187,-0.003874288851733976,0.14714803587648223,0.7825790576559216,-0.04820164252320213,0.2098024393789622,0.0913416180964519,0.04387838808335283,-0.024623407743431417,-0.00021074839751789932,-0.018626628248979656,0.005382681012635531,-8.265323842900639e-05,-0.020224111019400345,-0.004146010451588447,0.003067603176408357,-0.0011287797365103062,0.0007278593206165586,0.0011448553281229847,0.0
Canal,0.49118078062003656,0.06348229775859529,0.33256934792278786,0.07747569632052281,0.13400884928243115,-0.001956400780618702,0.00536155361206518,0.17754702339854425,0.290182149971763,0.025057217348116462,0.23491637448044808,0.19292707339474727,-0.023194590730055163,0.18576250393948235,0.4327871581500129,0.05018427623100995,0.2999024407763842,0.10900448630598271,0.016427698778426918,-0.0006946235076613326,0.009753113901672758,0.009506603580767648,0.024157649555209805,-0.007340810745179413,0.2791245183942931,0.02274768197510428,0.009119022301964355,0.007135459336388896,0.0014833152973729481,-0.002021055568305548,0.0
Export,0.2236697190674331,0.224489073448358,0.11929655906968561,-0.03424821845012434,0.2295893750271091,0.030684078213728424,-0.044495132540859766,0.8772822892455037,0.06667966152690331,-0.05253218437363519,0.0049967913471864606,-0.04600590687010397,-0.018186808020067394,-0.011949564312485703,0.12400824901828664,-0.08091138770814535,0.14465030970692824,0.008911409953669522,0.01713562496581657,-0.022271578580375342,-0.0083789989973012,-0.013054654036439331,0.00449838540892631,0.0056498945638610645,0.007928243527828734,-0.0020874037004051816,0.003968250841137124,0.0003249668798695199,-0.0005338557949495958,-0.00079824501257709,0.0
