Indicatori,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
SportiviL,0.37804869691515963,0.39100774242462927,0.46245065112590067,0.47750556651914206,0.5255984381077031,0.5709181145476783,0.5839476751930864,0.64893919143391,0.7080147264960917,0.7159713608703221,0.7827395018917311,0.805507804203694,0.8621252244426223,0.8796628819684208,0.9539838647898912,0.9759302417694712,0.9760640510854325,0.9760864589922268,0.9932197189329655,0.9935908311114227,0.9947056070448291,0.9960377224762338,0.996467112574459,0.9970763588145717,0.9973618541505621,0.997600460140754,0.9989510162958075,0.9991578958384533,0.9993617671851769,0.9997359550498471,0.9999999999999994
PIB,0.805674286777069,0.8091927252479194,0.8127558386880508,0.8641516229532944,0.8921260458596381,0.8927415171322755,0.8946027377224205,0.8947009244923394,0.8952158329655991,0.9245874034680553,0.9252911519922346,0.927073933532237,0.9292638477412045,0.9336454645277774,0.9469944628062692,0.9516828330837342,0.9577442053627323,0.9579964876645033,0.9628883924276549,0.9755535972366781,0.9829379059800751,0.9870387051795018,0.987359496754837,0.9887904946042559,0.9893632695753445,0.9906355960173596,0.9930678980238848,0.9947666505095563,0.994865932816868,0.9997397048544502,0.9999999999999991
SalariatiC,0.6132163686066955,0.7332740329592945,0.7396885766112602,0.7413772751822337,0.7446577443921902,0.808045725746987,0.8080862966670853,0.8605401311100659,0.8950328809023691,0.9164455473471628,0.916805797770017,0.921970148535834,0.9232425412807279,0.9296053568197278,0.9324261977722804,0.9371795304217123,0.9372685926237829,0.9417143964960144,0.9417375977579867,0.9573348246754614,0.961935691711353,0.9631966190355302,0.9770132566796664,0.9886178703204171,0.991238221360935,0.9922065900540755,0.9968984833190836,0.9996244696319126,0.9997068109428431,0.9999800384654204,0.9999999999999989
PAgrVeg,0.4771666180312691,0.4799609434639129,0.48082094027115535,0.6044792603826958,0.6223196338457395,0.7033091027461458,0.7185164514214946,0.7843453928112276,0.8107067918733851,0.8150142851862372,0.8290501999275077,0.8323170164746152,0.842487949098145,0.9074027071850826,0.9085817577905373,0.9278652410212069,0.9286641949349501,0.9751858563813175,0.9757730070956234,0.9853902308234458,0.9860084022717642,0.9860411258878522,0.9894498791946661,0.9900890288752756,0.9970137885109528,0.9981928745782496,0.9982256155794569,0.9982269024501408,0.9994278916663939,0.9997946093608626,1.0000000000000002
PAgrAnim,0.3258841941642442,0.47434248072903573,0.47524542472011083,0.48485274246228693,0.5667224008526628,0.5951155167388614,0.6052714539032283,0.7079974618640847,0.7433799739709832,0.7957607890404949,0.8029691213447492,0.8246404420052165,0.8331773045750116,0.8484721081969934,0.907099340060885,0.9265623464890478,0.948277385241147,0.9791257814237603,0.9791612134699679,0.9936146373591282,0.9937786392618371,0.9943537698560266,0.9943537724814112,0.9944048453712194,0.9990855676239531,0.9991014490261224,0.9991360083375033,0.999908204237711,0.9999727392994276,0.9999803411679341,1.000000000000002
ServAgr,0.004804919065903023,0.024529089736597162,0.027445053348249194,0.39750621767241084,0.39809783750208705,0.4017957731460136,0.6194487837869075,0.6337560945248777,0.6819222464230532,0.6954764658934622,0.9138409428111861,0.9340706723828776,0.9406271864575031,0.9664482120897946,0.9759103218318734,0.977711425887482,0.9809260049496221,0.9812991614887305,0.9826575680993261,0.9862784489858515,0.9938792609603406,0.9944067682968923,0.9950436146275613,0.9976312092186904,0.9985353798388863,0.9993526970071994,0.9993580247143967,0.9994062545473104,0.9995298533200113,0.9999090744187817,0.9999999999999992
Silvicultura,0.001665021223983173,0.19678087243186473,0.21490030842894986,0.3957872785540801,0.4356668237649945,0.4856764035364618,0.6079643103059292,0.6151449123386857,0.6329057822602008,0.6901661583830494,0.8340442436614706,0.8605221174538896,0.9583343584518325,0.9599745368390337,0.9672112910750489,0.9689300360855607,0.9753163075504464,0.9904340144214997,0.9921007084660092,0.9921257387840186,0.9921626197293765,0.9971128721680098,0.9971736047872036,0.9971739330889454,0.9973079657202111,0.9987444244167519,0.9988336614104651,0.998871077043485,0.999815914682133,0.9999409342149306,1.0000000000000007
SupLoc,0.1583832368233955,0.36669857907793435,0.5882474105358528,0.6361852692798571,0.6362905418238274,0.7165101525451025,0.7301871123605151,0.7743017214974677,0.8052336198451773,0.8212752214539647,0.8265934429843085,0.8721726694156247,0.878269172785963,0.8858992324205519,0.8872287915742783,0.8872519982352524,0.9606475341576007,0.960666048237391,0.9615771638131317,0.9822296751318993,0.9911242261978017,0.9913191902599948,0.9913883796696249,0.9982436793912695,0.9984773684354576,0.9986888333232931,0.9986984688396487,0.9995168383129597,0.9997816986878723,0.9999913846536037,0.9999999999999996
DrumuriM,0.22564403521907486,0.41445579836534574,0.41462839416421793,0.44929894355136984,0.47736781346158136,0.6057199976997242,0.6297478351099757,0.723076114723705,0.7878737469458036,0.8306788699875234,0.8339831998772338,0.8452859119097548,0.8612461196548779,0.9354116854666017,0.946466327639322,0.9585129878076012,0.9591920248649106,0.9842967678144824,0.984659446959885,0.9847025407703285,0.9849208118001034,0.9888639011811831,0.9898216096605654,0.9908786794829929,0.9990228043095456,0.9991840075099006,0.9995526583575399,0.9995528147644719,0.9997339183128685,0.9997344074856847,1.0
Innoptari,0.10623456690591922,0.27560832471789914,0.32388410113350796,0.3968452384239723,0.5142618344800517,0.5168069052598752,0.5575869715763472,0.6078275379169864,0.7650673018786783,0.7714387968473323,0.7811851292982728,0.8813987253977825,0.8814208163262581,0.9249002202817033,0.9558134209782517,0.9787406967184602,0.9900568034040569,0.9906471513003832,0.9920997385758957,0.9929487041165371,0.9975617326500422,0.9978861989782881,0.9980093677877394,0.9980306148850238,0.9981369360018637,0.9981481493101797,0.9982959436809095,0.998434242816359,0.9998777761483282,0.9999485934824862,0.9999999999999998
BugetVenituri,0.13400494253537318,0.2314308143242863,0.24662352898329912,0.2492608325709668,0.6001264462323657,0.7313376478666154,0.7892254311174094,0.7926297040463595,0.8113864832311344,0.8534386080277864,0.8539898299541635,0.9268557980519594,0.9468772247031897,0.9487559377834012,0.9550409797401352,0.9555599103277457,0.9649815758307303,0.9686897106758856,0.9802165805908891,0.983717904471968,0.9882326562302973,0.9937168340658741,0.9941859857220079,0.9942007671481431,0.9943177677223595,0.9943314492430202,0.9960416619278308,0.9989162099830294,0.9996843240491902,0.9998895159027227,0.9999999999999991
BugetSubventii,0.38891661402678906,0.49956829940718017,0.5414659939072769,0.5593508696922271,0.6793163874222964,0.7935617303727578,0.8664957798134393,0.8666060386315876,0.8742432602982145,0.8889911591872903,0.9124328184154482,0.9127920112959029,0.9128625844645143,0.9234413751805002,0.9283946778508616,0.9363715560444058,0.9440355386405135,0.947424445945911,0.957360679807676,0.9734101972351377,0.973505400054964,0.9808333328448943,0.9821186263879279,0.9911138780379942,0.9931627569529418,0.9931692832047386,0.9958382506298559,0.9994892402858694,0.9997779320419613,0.9998409230120922,0.9999999999999999
Apa,0.3921815261947576,0.5561708271039071,0.5886523553643567,0.7101933819881632,0.740728528213116,0.7411930365513252,0.7511456332588534,0.7511525435046132,0.751490962379301,0.79299359966493,0.8172768976757278,0.8272765357038998,0.8277934506279232,0.8775432604928317,0.8775779943542524,0.9591113826696905,0.9591457579857448,0.9650933290227012,0.9736260894991086,0.9778270457445541,0.9794804266624316,0.9870624243104476,0.993219739529631,0.9958870676839271,0.9980019716688172,0.9988502225464037,0.9988507464892252,0.9990878892774815,0.9996982630375563,0.999763431311882,0.9999999999999997
Canal,0.6351261851875688,0.7538584885137817,0.754942753960666,0.8109480799840695,0.8322346966302616,0.8323002733334188,0.840744442076309,0.8486751506912787,0.8588221393569491,0.8716473340916159,0.9075217741683351,0.9125388935502116,0.915688148337334,0.9273698476908483,0.9359944876152546,0.9424603753416804,0.9425452467360993,0.9457778964428749,0.9457781974547244,0.9547264259615326,0.9656879122486051,0.9656966089854034,0.9726045965636468,0.9780159042561971,0.9930792658872484,0.994902249117662,0.9978834395102921,0.9984462730656148,0.9988263193784824,0.9999632284717238,0.9999999999999983
Export,0.332394001851005,0.34874358302386543,0.46469284716138337,0.47099904725338015,0.47100250699801605,0.4723939654547997,0.47491440370285637,0.707786179672837,0.708781916410745,0.7755776040739902,0.8194674683541088,0.8195174311509225,0.9095912250728629,0.9096410012253828,0.9250241268588683,0.9256298749998648,0.9702247593426008,0.9786028256255976,0.9833229848304966,0.9873664108328977,0.9874482273309734,0.992784146515436,0.9928687255084758,0.9975051066812491,0.9984351946449095,0.999210773618669,0.9994448654550526,0.9995632568984804,0.9996046688049299,0.9999887411485073,1.0000000000000013
