Country,Continent,Code,2000,2005,2010,2015,2018,Consum mediu,Clusters
Pakistan,Europe,PAK,0.085,0.16,0.19,0.29,0.34,0.213,C1
Panama,Asia,PAN,5.48,5.49,6.84,7.71,7.98,6.7,C2
Papua New Guinea,Europe,PNG,1.79,1.6,1.67,1.39,1.39,1.568,C1
Paraguay,Africa,PRY,6.38,6.66,7.58,7.26,7.58,7.091999999999999,C2
Peru,Africa,PER,6.54,6.99,7.69,6.63,6.38,6.846000000000001,C2
Philippines,Asia,PHL,6.06,5.67,6.98,6.7,6.86,6.454000000000001,C2
Poland,Asia,POL,9.17,10.6,11.21,11.63,11.71,10.864,C2
Portugal,Africa,PRT,14.08,13.37,12.51,11.88,12.03,12.774000000000001,C2
Qatar,Europe,QAT,1.15,1.67,1.69,1.62,1.59,1.544,C1
Romania,Africa,ROU,17.45,15.84,13.97,11.64,11.74,14.128,C2
Rwanda,Africa,RWA,13.73,13.0,10.27,9.26,8.95,11.041999999999998,C2
Saint Kitts and Nevis,Americas,KNA,9.51,11.53,9.45,8.88,8.94,9.661999999999999,C2
Saint Lucia,Oceania,LCA,11.8,11.62,9.69,9.96,10.6,10.734,C2
Saint Vincent and the Grenadines,Europe,VCT,5.01,5.99,7.03,8.46,9.06,7.110000000000001,C2
Samoa,Europe,WSM,3.79,4.2,2.97,2.59,2.66,3.242,C1
Sao Tome and Principe,Europe,STP,8.2,8.72,8.34,7.19,5.88,7.666000000000001,C2
Saudi Arabia,Americas,SAU,0.18,0.17,0.17,0.2,0.19,0.182,C1
Senegal,Africa,SEN,0.96,0.85,0.6,0.73,0.76,0.78,C1
Serbia,Africa,SRB,6.100908455,6.130813329,11.69,8.7,8.75,8.2743443568,C2
Seychelles,Asia,SYC,7.62,6.13,10.19,18.35,20.5,12.558,C2
Sierra Leone,Africa,SLE,5.8,5.57,5.83,5.63,5.7,5.706,C2
Singapore,Oceania,SGP,2.49,1.78,2.19,2.07,2.03,2.112,C1
Slovakia,Asia,SVK,12.47,12.06,12.0,11.53,11.14,11.84,C2
Slovenia,Europe,SVN,12.6,12.3,11.54,12.74,11.9,12.216,C2
Solomon Islands,Oceania,SLB,1.2,1.6,1.6,1.55,1.83,1.556,C1
Somalia,Oceania,SOM,6.100908455,0.068,0.28,0.013,0.009,1.294181691,C1
South Africa,Americas,ZAF,10.02,9.58,10.04,9.61,9.52,9.754,C2
Spain,Africa,ESP,12.43,12.83,10.03,11.32,12.72,11.866,C2
Sri Lanka,Africa,LKA,2.22,2.59,3.92,4.1,4.1,3.386,C1
Sudan,Oceania,SDN,6.100908455,6.130813329,6.158073675,0.52,0.51,3.8839590918000004,C1
Suriname,Oceania,SUR,5.29,5.41,6.22,5.81,5.33,5.611999999999999,C2
Sweden,Europe,SWE,8.53,8.64,9.49,9.13,8.93,8.944,C2
Switzerland,Asia,CHE,12.49,11.64,11.41,11.58,11.53,11.73,C2
Tajikistan,Oceania,TJK,2.97,2.51,2.4,3.11,3.28,2.854,C1
Thailand,Asia,THA,6.49,6.81,7.71,8.36,8.3,7.534000000000001,C2
Togo,Americas,TGO,1.79,3.26,2.11,2.37,2.46,2.3980000000000006,C1
Tonga,Americas,TON,1.7,2.32,1.39,0.68,0.8,1.3779999999999997,C1
Trinidad and Tobago,Asia,TTO,5.27,6.17,6.21,6.88,6.72,6.249999999999999,C2
Tunisia,Oceania,TUN,1.36,1.46,1.4,1.99,2.12,1.6660000000000004,C1
Turkey,Europe,TUR,2.41,2.12,2.32,2.12,2.05,2.2039999999999997,C1
Turkmenistan,Europe,TKM,4.82,4.88,4.82,5.3,4.93,4.95,C2
Tuvalu,Americas,TUV,1.96,2.03,1.68,1.98,1.52,1.834,C1
Uganda,Asia,UGA,13.61,12.92,13.5,15.14,15.09,14.052000000000001,C2
Ukraine,Africa,UKR,12.46,12.01,13.57,10.16,8.32,11.304,C2
United Arab Emirates,Europe,ARE,2.58,3.64,3.15,3.79,3.9,3.412,C1
United Kingdom,Europe,GBR,13.73,13.89,12.06,11.21,11.45,12.468,C2
Uruguay,Africa,URY,8.09,7.46,7.1,6.99,6.92,7.312,C2
Uzbekistan,Americas,UZB,5.68,4.15,3.01,2.59,2.59,3.604,C1
Vanuatu,Americas,VUT,1.17,1.2,1.7,2.14,2.25,1.6920000000000002,C1
Venezuela,Americas,VEN,9.15,9.42,8.67,6.82,4.14,7.640000000000001,C2
Yemen,Americas,YEM,0.79,0.34,0.18,0.055,0.051,0.2832,C1
Zambia,Oceania,ZMB,4.05,3.9,5.43,6.89,6.54,5.362,C2
Zimbabwe,Africa,ZWE,2.46,2.77,3.93,4.92,4.67,3.75,C1
