Indicativ,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
cl,0.30476190476190546,2.9547619047619076,1.9642857142857144,-62.22604761904762,-156.62957142857144,0.36904761904761907,-88.30952380952385,-75.7774761904762,-0.5537619047618989,-197.45238095238096,-29.664000000000016,-203.61459523809526,-155.1613095238095,-1357.8518809523812,0.0,-263.02478571428577,-4.043166666666668,-12894.33769047619,-16.423099999999977,384.64878571428517,1032.756880952381,138.136,-0.550609756097561,-5.103809523809524,-21.800476190476246,-909.243738095238,-213.69340476190473,231.03311904761904,-16.006666666666668,-22.297976190476188,-1880.2199803619044
cs,-1.8952380952380956,0.7547619047619047,-2.2357142857142858,108.4279523809524,-129.92657142857144,-0.5309523809523808,-207.30952380952385,-47.958476190476176,-10.718761904761898,47.54761904761904,-31.767000000000024,26.595404761904774,-77.29930952380951,-1221.1308809523816,-66.77421951219513,193.72321428571422,-2.2051666666666687,-5166.554690476187,0.0,-649.0262142857146,195.24988095238086,-75.50900000000001,1.395390243902439,1.2271904761904793,262.5505238095237,1107.012261904762,358.9005952380953,187.61411904761906,-4.403666666666666,-1.217976190476186,-1586.4000403619045
cj,1.204761904761904,-1.6452380952380938,-1.935714285714286,-28.903047619047612,-110.09457142857143,-2.3309523809523807,886.6904761904761,15.787523809523805,-21.255761904761897,112.54761904761904,80.46099999999998,359.5374047619048,330.8626904761905,6957.497119047619,36.88078048780487,-67.71478571428577,5.764833333333332,29244.53330952381,182.1599,-1486.0902142857146,-680.331119047619,-70.68200000000002,-0.7606097560975611,1.5141904761904783,-88.41347619047625,27.65126190476201,504.86259523809485,0.4471190476190259,26.511333333333326,27.096023809523807,-374.25876836190446
ct,0.004761904761904745,-0.9452380952380945,1.4642857142857144,24.815952380952382,-129.24857142857144,-0.9309523809523808,60.69047619047615,-66.40747619047619,-16.743761904761897,161.54761904761904,27.786999999999978,44.61340476190469,89.60969047619045,-1295.0498809523815,-40.86221951219513,400.60121428571426,4.10083333333333,13292.831309523812,-42.82609999999997,-1410.2802142857147,-678.4491190476191,-17.60100000000002,-1.126609756097561,0.45519047619047726,-91.59147619047624,5748.0522619047615,18.72059523809503,-177.06088095238096,17.40533333333333,18.313023809523806,-55.27190536190437
cv,1.0047619047619047,-1.1452380952380938,-0.03571428571428559,-97.94104761904762,-172.59557142857142,1.169047619047619,-278.30952380952385,4.54452380952381,1.889238095238099,-61.45238095238096,-6.652000000000015,263.91840476190475,-63.82530952380952,751.2951190476188,74.02578048780487,-406.78578571428574,1.2718333333333334,-6419.740690476188,-77.75309999999996,1577.1557857142852,229.8538809523809,-55.856000000000016,1.517390243902439,-1.6228095238095221,71.59752380952375,1324.7562619047621,-297.50740476190504,-88.68288095238097,-3.0876666666666637,7.865023809523812,-1477.3981583619045
db,0.30476190476190546,0.5547619047619055,-1.0357142857142856,-49.764047619047616,-141.7135714285714,-0.7309523809523806,-130.30952380952385,-59.2604761904762,-1.8417619047618992,2.547619047619037,-21.132000000000005,-155.90959523809528,-164.11630952380952,-1798.0338809523819,-60.001219512195135,219.6282142857142,-2.716166666666668,-8004.64269047619,-76.26709999999997,1129.4027857142855,-502.9831190476191,-79.50700000000002,-0.534609756097561,-2.085809523809523,-50.61447619047624,-589.223738095238,-656.4974047619048,-103.90388095238097,1.7763333333333264,-21.03397619047619,-1575.2110943619045
dj,-0.2952380952380951,1.4547619047619076,1.8642857142857139,-52.24204761904761,-149.26057142857144,3.169047619047619,109.69047619047615,-39.34647619047618,25.295238095238098,-12.452380952380963,13.804000000000002,138.43640476190478,280.0356904761905,921.3871190476184,-34.06621951219513,-263.96978571428576,-2.1111666666666675,-3407.64269047619,-42.40109999999997,1567.667785714285,-454.08611904761915,-13.838000000000022,-0.928609756097561,0.4201904761904771,-109.55347619047623,-802.853738095238,-686.4684047619048,-168.06388095238094,-15.75266666666667,-2.2089761904761858,1188.276011638096
gl,-0.6952380952380954,-1.3452380952380931,-0.3357142857142863,133.90095238095236,901.5194285714285,2.5690476190476192,-48.30952380952385,-19.1774761904762,14.6752380952381,201.54761904761904,11.883999999999986,-41.90259523809527,-40.32130952380953,130.2641190476188,-1.9172195121951319,-139.05578571428578,-2.2471666666666685,-8586.181690476187,-34.01709999999997,-49.30621428571476,-676.9281190476191,26.84999999999998,-1.105609756097561,-1.7978095238095229,-78.42047619047622,-760.909738095238,-204.69040476190503,-106.67588095238096,19.138333333333335,23.26302380952381,-693.0543983619045
gr,0.30476190476190546,4.5547619047619055,-1.0357142857142856,-89.73004761904761,-156.53057142857142,-1.3309523809523807,34.69047619047615,-51.52547619047618,-6.3597619047619,-252.45238095238096,-37.015000000000015,-314.99259523809525,-159.07530952380952,-3005.9058809523817,-68.91621951219513,-518.9937857142858,-1.8741666666666674,-19969.012690476186,-113.76809999999998,1902.2237857142854,-358.7621190476191,45.41599999999998,-0.801609756097561,-2.648809523809522,126.30352380952377,-916.391738095238,-102.43240476190476,182.19111904761905,-28.24066666666667,-23.413976190476188,-2641.9558256619043
gj,-0.9952380952380953,-0.5452380952380942,0.1642857142857137,-72.07804761904761,-174.56157142857143,-0.13095238095238093,0.6904761904761472,24.716523809523807,-5.601761904761901,276.54761904761904,-2.4560000000000173,110.86440476190478,-23.534309523809526,-501.3448809523816,1.6987804878048678,-91.03278571428575,-7.347166666666668,12167.386309523812,-107.89009999999998,-448.5452142857148,-288.75411904761904,-80.17200000000001,0.0033902439024389164,-0.8158095238095235,118.95052380952376,-455.084738095238,66.27459523809512,225.986119047619,-9.327666666666673,-19.47997619047619,-2701.3844505619045
hr,0.9047619047619051,-0.9452380952380945,0.5642857142857141,-114.65204761904761,-166.90957142857144,0.5690476190476192,-374.30952380952385,36.6555238095238,1.1452380952380992,-50.45238095238096,2.1839999999999975,18.434404761904716,-68.51330952380954,630.4231190476185,16.937780487804872,-458.25878571428575,4.987833333333331,-5221.470690476184,-105.62909999999997,-926.6132142857145,149.63488095238085,-80.37500000000001,4.611390243902439,-2.422809523809523,50.989523809523746,108.68726190476207,-183.0554047619048,16.705119047619064,-4.117666666666665,7.082023809523811,-1930.6312361619043
hd,-1.4952380952380953,2.2547619047619047,1.2642857142857142,44.92795238095238,-148.41957142857143,-0.5309523809523808,-240.30952380952385,306.5515238095238,-15.305761904761898,590.547619047619,-18.637,212.6034047619047,30.958690476190498,52.537119047618944,-57.510219512195135,510.5892142857143,4.758833333333332,-1930.800690476186,-4.407099999999971,-1329.0102142857147,-168.43311904761913,-74.25800000000001,0.6853902439024389,-0.707809523809523,174.39552380952375,-382.40373809523794,-88.88540476190474,-67.253880952381,16.64333333333333,33.27702380952382,-755.4619673619045
il,0.10476190476190439,2.654761904761907,-0.23571428571428577,-68.66404761904761,-158.71157142857143,0.9690476190476196,-206.30952380952385,-43.14047619047619,-0.5407619047619008,-139.45238095238096,-29.126000000000005,-296.02359523809525,-138.12730952380952,-1049.4858809523812,-63.62521951219513,-488.26378571428575,-3.2311666666666685,-5064.73169047619,-105.49709999999997,1125.5227857142854,621.2218809523811,272.3059999999999,-0.8876097560975611,-3.020809523809522,-32.71047619047624,-508.30173809523797,-248.6804047619048,97.525119047619,-4.526666666666671,-15.263976190476185,-2259.2863310619045
is,1.404761904761905,-3.845238095238093,-1.6357142857142861,221.4999523809524,1017.3514285714286,-0.8309523809523807,469.69047619047615,-46.52147619047619,-7.177761904761898,-1.4523809523809632,65.71099999999998,337.86040476190476,316.24969047619044,3031.524119047619,85.09678048780486,176.90521428571424,-4.259166666666667,-2643.67669047619,174.6089,-1332.4872142857146,-637.250119047619,-30.15900000000002,-0.8616097560975611,-1.967809523809521,-143.61547619047622,-489.46073809523796,-446.4374047619049,-127.77588095238099,-4.648666666666671,-7.798976190476189,-1684.0056383619044
if,2.3047619047619055,-3.645238095238094,-2.7357142857142858,-71.06004761904761,-61.35257142857142,-3.230952380952381,490.69047619047615,-29.733476190476182,-25.136761904761897,-0.4523809523809632,-50.83200000000001,-330.16159523809523,-66.88130952380953,-5418.019880952382,-85.59121951219512,-488.1687857142858,1.9178333333333306,15295.113309523811,572.0549000000001,-2080.6692142857146,-1342.9621190476191,36.90199999999999,-1.122609756097561,19.800190476190476,-163.28947619047625,-726.085738095238,-167.44040476190503,-323.76588095238094,-18.96666666666667,-4.555976190476187,2873.2766706380953
mm,0.20476190476190403,-1.5452380952380942,1.564285714285714,-16.336047619047605,-130.84257142857143,-1.630952380952381,-262.30952380952385,-8.363476190476177,-3.277761904761899,-3.452380952380963,-5.15900000000002,-8.245595238095234,-75.60430952380952,-518.0048809523814,-65.52821951219514,28.600214285714287,0.37983333333333036,-6657.447690476183,-107.06909999999998,-1159.9422142857147,133.19188095238087,-80.71000000000002,0.08439024390243888,-1.5008095238095223,-92.53847619047625,-142.18573809523798,-201.16140476190503,92.31311904761901,-10.68266666666667,-6.768976190476188,127.00653763809532
mh,-1.095238095238095,2.654761904761907,-0.7357142857142858,-45.84804761904762,-156.18357142857144,2.4690476190476196,-171.30952380952385,-57.0224761904762,23.5832380952381,51.54761904761904,-13.655000000000001,-30.938595238095218,-66.02430952380953,-595.8688809523819,41.10778048780486,-45.48178571428576,-3.8161666666666676,-13835.361690476188,0.0,1704.7737857142856,33.12588095238084,-48.689000000000014,-0.286609756097561,-0.707809523809523,286.60652380952376,-193.107738095238,648.3405952380949,255.328119047619,8.040333333333336,1.8400238095238137,-2357.1122139619047
b,0.8047619047619055,-1.8452380952380931,-3.435714285714286,129.31195238095236,548.5914285714287,-2.730952380952381,1550.6904761904761,70.9165238095238,-31.1187619047619,492.54761904761904,86.749,601.6744047619047,593.8526904761904,12127.24311904762,159.86178048780488,214.23121428571426,11.454833333333333,97616.60830952381,588.9689000000001,-3143.6982142857146,-1579.482119047619,322.813,-2.220446049250313e-16,3.0141904761904783,-246.37647619047624,-89.07173809523795,1998.7835952380951,-427.549880952381,29.58933333333333,48.61202380952381,3699.9862336380957
ms,0.8047619047619055,-0.14523809523809383,1.564285714285714,-48.41304761904762,-154.03457142857144,-1.2309523809523806,117.69047619047615,-31.087476190476195,8.086238095238102,-30.452380952380963,12.11099999999999,150.02940476190474,301.4866904761905,774.2121190476182,5.067780487804868,299.38521428571426,6.744833333333332,-3228.415690476184,-68.47909999999997,131.6727857142855,-92.36611904761912,-67.17400000000002,0.367390243902439,-2.233809523809523,-132.48247619047623,370.835261904762,-358.5014047619047,-120.09188095238096,-5.896666666666668,2.2160238095238114,-1017.9354233619044
nt,-1.095238095238095,0.5547619047619055,2.8642857142857148,42.09595238095238,11.85642857142858,1.0690476190476192,-267.30952380952385,-73.12147619047619,6.436238095238103,-61.45238095238096,-10.804000000000002,-100.91859523809524,-91.34030952380954,-83.02888095238177,-18.900219512195136,229.00921428571428,-7.680166666666668,-12698.552690476186,-96.27009999999997,-834.4372142857146,-10.107119047619108,-28.968000000000018,1.5233902439024392,5.4561904761904785,-103.20347619047624,-139.33673809523793,-209.19340476190473,90.30211904761904,-10.99666666666667,-12.732976190476187,-2011.4365569619044
ot,-1.095238095238095,2.5547619047619055,0.8642857142857139,-58.335047619047614,-164.35357142857143,1.9690476190476196,6.690476190476147,-52.72147619047618,7.271238095238104,-168.45238095238096,-22.0,-117.42259523809525,-87.76830952380953,-1465.1028809523814,13.604780487804874,-489.56178571428575,-6.668166666666668,-9544.08769047619,-98.57909999999997,1962.3167857142853,-116.93611904761906,143.91,-0.9706097560975611,-0.9548095238095229,45.51652380952379,-850.888738095238,-365.20640476190465,-106.22388095238097,-18.75266666666667,-13.853976190476189,1202.2335096380957
ph,-0.6952380952380954,1.8547619047619062,-1.5357142857142856,-43.04204761904761,-157.59257142857143,-1.0309523809523808,163.69047619047615,-48.821476190476204,-15.6197619047619,164.54761904761904,-16.818000000000012,-14.73659523809522,-109.33030952380952,-1285.3048809523816,-39.60821951219513,325.26021428571426,-2.6251666666666686,5516.553309523813,-93.78809999999997,-1404.6392142857146,-681.8531190476191,-70.83100000000002,-0.4996097560975611,-0.7198095238095235,-170.39047619047625,238.5132619047621,-534.219404761905,-126.31388095238094,23.888333333333335,-3.653976190476186,557.4255706380955
sj,1.6047619047619044,-0.14523809523809383,3.064285714285714,-59.350047619047615,-154.47357142857143,1.2690476190476194,-180.30952380952385,54.21752380952381,19.5782380952381,-23.452380952380963,1.6709999999999923,-14.743595238095281,-67.78230952380952,2053.595119047619,30.352780487804864,-137.66078571428574,1.4068333333333314,-2235.0256904761845,-103.04709999999997,1478.6407857142858,226.54788095238086,-68.74800000000002,-0.08560975609756105,-0.17380952380952408,-70.68447619047623,-710.998738095238,680.3485952380947,154.357119047619,2.4273333333333227,-0.5389761904761912,97.49395663809537
sm,-0.49523809523809526,-1.4452380952380945,-0.7357142857142858,-6.711047619047605,-142.70057142857144,-0.23095238095238058,-201.30952380952385,25.624523809523822,3.1232380952381007,-206.45238095238096,-9.856000000000023,-89.13659523809531,-91.11030952380952,-564.1898809523818,5.096780487804864,-424.33878571428573,3.2198333333333338,-3820.0926904761873,-104.96009999999997,2070.8447857142855,-308.58111904761904,-34.27300000000002,-0.700609756097561,1.0511904761904773,-19.682476190476223,-592.132738095238,-208.009404761905,-62.50288095238096,-0.9036666666666662,5.768023809523811,40.63718263809551
sb,0.30476190476190546,-2.845238095238093,0.26428571428571423,83.17895238095238,-121.86657142857143,-1.130952380952381,307.69047619047615,49.303523809523796,-7.320761904761898,80.54761904761904,32.53099999999998,64.33940476190469,87.12569047619047,2793.300119047619,236.45478048780487,1714.9102142857146,2.1928333333333327,13212.631309523815,356.4529,-1510.8552142857145,-223.410119047619,-72.88600000000002,-0.06460975609756114,2.3011904761904773,49.51352380952375,830.9182619047621,281.0115952380952,14.11311904761908,13.328333333333333,32.80802380952381,4766.366837638096
sv,2.6047619047619044,-2.4452380952380945,2.564285714285714,7.049952380952391,66.87042857142859,1.169047619047619,-211.30952380952385,-33.28847619047619,7.997238095238103,-143.45238095238096,30.978999999999985,-138.09259523809527,-130.15030952380954,615.6161190476187,-52.49021951219513,130.86021428571428,-6.230166666666667,-13356.780690476186,-4.103099999999969,259.6247857142853,495.1148809523811,-48.491000000000014,2.163390243902439,-0.26380952380952394,53.14952380952377,335.65026190476203,-43.97940476190479,-0.781880952381016,-29.74966666666667,-18.113976190476187,-2056.0591968619046
tr,-1.795238095238095,6.0547619047619055,-3.2357142857142858,-30.342047619047605,-147.16057142857142,2.669047619047619,-318.30952380952385,16.972523809523807,37.673238095238105,-152.45238095238096,-43.254000000000005,-55.551595238095274,-131.58830952380953,-2745.0308809523813,-81.10121951219513,-519.9427857142857,-3.8341666666666683,-13708.250690476187,-105.55009999999997,2824.480785714285,292.6648809523808,-32.637000000000015,-1.005609756097561,-2.178809523809523,122.39052380952376,-972.388738095238,-369.451404761905,61.47311904761898,-34.74966666666667,-21.99097619047619,-2443.5683159619043
tm,0.8047619047619055,-2.2452380952380935,-1.7357142857142858,77.34195238095239,-94.18457142857143,-2.6309523809523805,678.6904761904761,-27.527476190476193,-25.6857619047619,42.54761904761904,35.17599999999999,159.8534047619047,502.7456904761904,85.51911904761891,-37.14321951219513,-439.83578571428575,9.238833333333332,24235.08130952382,140.6499,263.21178571428527,677.4788809523811,-1.6070000000000135,-0.7786097560975611,2.590190476190479,-31.086476190476247,-413.872738095238,-247.12340476190502,-188.70888095238098,20.72933333333333,16.01602380952381,7401.249945638096
tl,-0.9952380952380953,0.6547619047619069,5.664285714285714,35.17095238095237,-153.61357142857145,-0.9309523809523808,-36.30952380952385,59.668523809523805,-5.465761904761898,-111.45238095238096,-21.982,-202.76059523809528,-105.51130952380953,580.2231190476186,2.4227804878048715,298.79921428571424,-1.5681666666666683,-4863.369690476189,-2.1400999999999755,179.31878571428524,463.09688095238084,-24.346000000000018,-0.296609756097561,-0.37280952380952215,117.45352380952374,482.1772619047621,1904.5335952380951,525.5701190476191,9.243333333333325,-11.606976190476189,-68.08107736190459
vl,-1.6952380952380954,-4.2452380952380935,-2.7357142857142858,-68.16404761904761,-162.63357142857143,-0.33095238095238066,-251.30952380952385,58.60552380952382,-9.250761904761898,2.547619047619037,-26.265000000000015,61.66240476190478,-51.474309523809524,-545.8278809523817,-29.08521951219513,266.0612142857143,0.9678333333333313,-2399.6576904761896,-77.11009999999997,-155.66621428571443,512.5998809523808,-68.98400000000002,0.41739024390243884,-0.7758095238095208,24.63952380952378,2007.9392619047621,371.07559523809505,144.607119047619,3.126333333333335,-10.345976190476186,-1992.6429689619044
vs,0.4047619047619051,-2.2452380952380935,-1.935714285714286,244.62695238095236,1485.1994285714286,3.4690476190476196,-184.30952380952385,-36.28847619047619,37.307238095238105,-219.45238095238096,-9.38900000000001,-105.50859523809527,-131.98930952380954,-804.4738809523815,-63.75621951219513,-299.16978571428575,-3.570166666666667,-20903.681690476187,-78.67009999999996,-713.2762142857146,7.194880952381027,-63.70800000000001,-0.712609756097561,-4.332809523809523,130.8195238095238,-833.070738095238,200.2945952380951,274.60011904761905,-32.31766666666667,-18.50297619047619,-2439.3597296619046
vn,-0.3952380952380956,0.2547619047619065,-0.43571428571428594,-19.360047619047606,-140.71157142857143,0.2690476190476194,-296.30952380952385,-58.4694761904762,15.796238095238103,-236.45238095238096,-13.076000000000022,-216.83259523809528,-112.10930952380951,-2332.546880952382,-0.8802195121951257,-136.12678571428575,8.650833333333331,-11595.357690476187,-102.68209999999998,191.14578571428547,285.3768809523808,-21.045000000000016,0.38339024390243903,1.2541904761904767,-20.435476190476237,-837.734738095238,-80.03640476190503,15.620119047619028,1.7053333333333285,-10.120976190476192,-2151.2324987619045
