Siruta,Judet,Localitate,Total_medici_sanatate
110688,MH,Balvanesti,4
110740,MH,Breznita-Motru,4
110820,MH,Breznita-Ocol,11
110875,MH,Brosteni,9
110946,MH,Burila Mare,10
111006,MH,Butoiesti,8
111097,MH,Cazanesti,5
111220,MH,Ciresu,6
111275,MH,Corcova,11
111417,MH,Corlatel,5
111444,MH,Cujmir,17
111480,MH,Devesel,9
111550,MH,Darvari,5
111587,MH,Dumbrava,4
111685,MH,Floresti,4
111783,MH,Garla Mare,11
111818,MH,Godeanu,1
111863,MH,Gogosu,10
111916,MH,Greci,3
111989,MH,Grozesti,4
112030,MH,Gruia,6
112076,MH,Hinova,9
112129,MH,Husnicioara,3
112245,MH,Eselnita,6
112263,MH,Ilovat,7
112334,MH,Ilovita,0
112370,MH,Isverna,4
112469,MH,Izvoru Barzii,9
112548,MH,Jiana,14
112600,MH,Livezile,4
112664,MH,Malovat,5
112744,MH,Obarsia De Camp,4
112771,MH,Oprisor,6
112806,MH,Padina,1
112879,MH,Patulele,13
112904,MH,Dubova,5
112959,MH,Podeni,1
112995,MH,Ponoarele,4
113153,MH,Poroina Mare,3
113206,MH,Pristol,4
113233,MH,Prunisor,6
113395,MH,Punghina,10
113466,MH,Rogova,4
113493,MH,Salcia,8
113518,MH,Stangaceaua,3
113607,MH,Svinita,4
113625,MH,Sisesti,7
113698,MH,Sovarna,3
113732,MH,Tamna,8
113849,MH,Vanatori,8
113894,MH,Vanjulet,18
113929,MH,Vladaia,5
113974,MH,Voloiac,5
114060,MH,Branistea,1
114079,MH,Vrata,2
114319,MS,Municipiul Targu Mures,4866
114355,MS,Cristesti,11
114382,MS,Sancraiu De Mures,29
114417,MS,Sangeorgiu De Mures,20
114453,MS,Santana De Mures,9
114514,MS,Municipiul Sighisoara,298
114603,MS,Albesti,6
114710,MS,Oras Ludus,214
114809,MS,Municipiul Reghin,353
114854,MS,Oras Sovata,44
114925,MS,Municipiul Tarnaveni,323
114970,MS,Acatari,14
115076,MS,Adamus,7
115147,MS,Alunis,6
115183,MS,Apold,3
115236,MS,Atintis,6
115307,MS,Bahnea,5
115389,MS,Band,8
115520,MS,Batos,6
115575,MS,Bagaciu,3
115600,MS,Bala,1
115637,MS,Balauseri,8
115708,MS,Beica De Jos,4
115771,MS,Bichis,2
115824,MS,Bogata,3
115851,MS,Breaza,3
115897,MS,Brancovenesti,37
115959,MS,Ceuasu De Campie,32
116046,MS,Chetani,6
116126,MS,Chiheru De Jos,0
116171,MS,Coroisanmartin,3
116224,MS,Cozma,1
116288,MS,Craciunesti,8
116340,MS,Craiesti,3
116395,MS,Cucerdea,4
116439,MS,Cuci,3
116493,MS,Danes,11
116545,MS,Deda,19
116590,MS,Eremitu,17
116652,MS,Ernei,11
116723,MS,Faragau,5
116796,MS,Fantanele,11
116867,MS,Galesti,3
116938,MS,Ganesti,7
116983,MS,Gheorghe Doja,3
117042,MS,Ghindari,1
117113,MS,Glodeni,17
117177,MS,Gornesti,20
117275,MS,Grebenisu De Campie,4
117319,MS,Gurghiu,11
117426,MS,Hodac,7
117505,MS,Hodosa,0
117550,MS,Ibanesti,3
117667,MS,Iclanzel,10
117783,MS,Ideciu De Jos,8
117827,MS,Oras Iernut,20
117925,MS,Livezeni,5
117998,MS,Lunca,11
118058,MS,Lunca Bradului,3
118094,MS,Magherani,5
118209,MS,Mica,6
118281,MS,Oras Miercurea Nirajului,15
118370,MS,Mihesu De Campie,7
118469,MS,Nades,3
118511,MS,Neaua,3
118575,MS,Ogra,8
118637,MS,Papiu Ilarian,3
118691,MS,Panet,9
118753,MS,Pasareni,10
118799,MS,Petelea,3
118824,MS,Pogaceaua,5
118931,MS,Rastolita,4
118995,MS,Raciu,6
119153,MS,Rusii-Munti,4
119206,MS,Saschiz,7
119242,MS,Oras Sarmasu,14
119331,MS,Oras Sangeorgiu De Padure,34
119386,MS,Sanger,5
119466,MS,Sanpaul,10
119527,MS,Sanpetru De Campie,10
119590,MS,Solovastru,3
119625,MS,Stanceni,4
119661,MS,Suplac,4
119723,MS,Suseni,3
119750,MS,Saulia,3
119803,MS,Sincai,3
119858,MS,Taureni,4
119894,MS,Oras Ungheni,12
119974,MS,Valea Larga,9
120076,MS,Vargata,5
120138,MS,Vatava,4
120174,MS,Vetca,3
120218,MS,Viisoara,4
120254,MS,Vanatori,5
120316,MS,Voivodeni,1
120343,MS,Zagar,4
120370,MS,Zau De Campie,2
120478,MS,Chibed,0
120487,MS,Corunca,7
120496,MS,Sarateni,15
120502,MS,Madaras,0
120511,MS,Bereni,0
120726,NT,Municipiul Piatra-Neamt,1703
120771,NT,Dumbrava Rosie,15
120824,NT,Savinesti,5
120860,NT,Municipiul Roman,1166
120888,NT,Cordun,10
120922,NT,Horia,10
120968,NT,Oras Bicaz,136
121055,NT,Oras Targu Neamt,259
121108,NT,Agapia,5
121153,NT,Bahna,8
121242,NT,Baltatesti,10
121297,NT,Bicaz-Chei,45
121340,NT,Bicazu Ardelean,9
121386,NT,Bira,4
121466,NT,Bargauani,18
121607,NT,Bodesti,23
121652,NT,Borca,14
121732,NT,Borlesti,19
121796,NT,Botesti,17
121876,NT,Bozieni,5
121938,NT,Brusturi,5
122025,NT,Ceahlau,8
122061,NT,Candesti,7
122132,NT,Costisa,5
122187,NT,Cracaoani,8
122249,NT,Damuc,7
122285,NT,Dobreni,5
122347,NT,Doljesti,7
122392,NT,Dragomiresti,5
122463,NT,Dulcesti,21
122551,NT,Farcasa,5
122613,NT,Faurei,3
122668,NT,Gheraesti,9
122702,NT,Girov,7
122828,NT,Garcina,12
122864,NT,Grinties,5
122908,NT,Grumazesti,7
122953,NT,Hangu,7
123013,NT,Icusesti,8
123102,NT,Ion Creanga,9
123175,NT,Margineni,7
123228,NT,Moldoveni,5
123255,NT,Oniceni,5
123371,NT,Pastraveni,7
123424,NT,Petricani,11
123479,NT,Piatra Soimului,17
123521,NT,Pipirig,14
123601,NT,Pangarati,11
123674,NT,Podoleni,9
123709,NT,Poienari,4
123790,NT,Poiana Teiului,10
123914,NT,Raucesti,10
123969,NT,Razboieni,22
124028,NT,Rediu,8
124073,NT,Romani,8
124117,NT,Oras Roznov,58
124153,NT,Sagna,9
124206,NT,Sabaoani,15
124233,NT,Secuieni,8
124331,NT,Stanita,4
124411,NT,Stefan Cel Mare,6
124493,NT,Tarcau,4
124563,NT,Tasca,7
124616,NT,Tazlau,5
124634,NT,Tamaseni,13
124661,NT,Timisesti,6
124723,NT,Trifesti,8
124750,NT,Tupilati,5
124803,NT,Tibucani,11
124849,NT,Urecheni,9
124885,NT,Valea Ursului,8
124938,NT,Alexandru Cel Bun,107
125016,NT,Vanatori-Neamt,19
125061,NT,Zanesti,11
125098,NT,Dochia,3
125105,NT,Ruginoasa,4
125114,NT,Ghindaoani,4
125123,NT,Valeni,4
125132,NT,Draganesti,4
125141,NT,Pancesti,5
125150,NT,Gadinti,5
125169,NT,Negresti,4
125178,NT,Boghicea,4
125347,OT,Municipiul Slatina,1718
125374,OT,Slatioara,6
125418,OT,Oras Bals,193
125472,OT,Municipiul Caracal,558
125490,OT,Draghiceni,4
125542,OT,Oras Corabia,205
125588,OT,Garcov,5
125622,OT,Oras Draganesti-Olt,31
125659,OT,Babiciu,8
125677,OT,Baldovinesti,4
125757,OT,Barasti,3
125846,OT,Barza,5
125873,OT,Bobicesti,6
125962,OT,Brastavatu,7
125999,OT,Brebeni,4
126022,OT,Brancoveni,8
126077,OT,Bucinisu,4
126102,OT,Cezieni,21
126148,OT,Cilieni,7
126166,OT,Carlogani,4
126228,OT,Colonesti,6
126326,OT,Corbu,8
126380,OT,Coteana,5
126406,OT,Crampoia,3
126433,OT,Curtisoara,7
126503,OT,Cungrea,8
126585,OT,Daneasa,7
126647,OT,Deveselu,10
126674,OT,Dobretu,4
126718,OT,Dobrosloveni,5
126772,OT,Dobroteasa,3
126825,OT,Dobrun,4
126905,OT,Fagetelu,4
126978,OT,Falcoiu,14
127019,OT,Farcasele,6
127064,OT,Ganeasa,8
127126,OT,Giuvarasti,3
127144,OT,Gostavatu,3
127171,OT,Gradinari,6
127224,OT,Grojdibodu,8
127251,OT,Ianca,7
127288,OT,Iancu Jianu,7
127322,OT,Icoana,5
127368,OT,Izbiceni,8
127386,OT,Izvoarele,5
127411,OT,Leleasca,3
127493,OT,Maruntei,7
127536,OT,Mihaesti,1
127563,OT,Milcov,5
127625,OT,Morunglav,10
127689,OT,Movileni,7
127714,OT,Nicolae Titulescu,3
127750,OT,Obarsia,6
127812,OT,Oboga,6
127858,OT,Oporelu,4
127901,OT,Optasi-Magura,3
127938,OT,Orlea,5
127983,OT,Osica De Sus,11
128052,OT,Perieti,6
128105,OT,Oras Piatra-Olt,17
128178,OT,Parscoveni,7
128221,OT,Plesoiu,8
128301,OT,Poboru,4
128374,OT,Oras Potcoava,11
128436,OT,Priseaca,3
128472,OT,Radomiresti,4
128524,OT,Redea,7
128560,OT,Rotunda,5
128588,OT,Rusanesti,9
128613,OT,Scarisoara,7
128659,OT,Schitu,52
128711,OT,Oras Scornicesti,70
128864,OT,Seaca,7
128882,OT,Samburesti,3
128962,OT,Spineni,15
129040,OT,Sprancenata,4
129095,OT,Stoenesti,3
129111,OT,Stoicanesti,4
129139,OT,Strejesti,4
129184,OT,Studina,4
129246,OT,Serbanesti,5
129282,OT,Stefan Cel Mare,4
129317,OT,Tatulesti,3
129380,OT,Teslui,5
129460,OT,Tia Mare,4
129503,OT,Topana,3
129567,OT,Traian,5
129585,OT,Tufeni,7
129629,OT,Urzica,4
129656,OT,Valea Mare,6
129718,OT,Vadastra,5
129745,OT,Vadastrita,7
129763,OT,Valeni,4
129816,OT,Verguleasa,6
129898,OT,Visina,7
129914,OT,Vitomiresti,4
129987,OT,Valcele,6
130026,OT,Vladila,8
130062,OT,Voineasa,3
130124,OT,Vulpeni,6
130231,OT,Vulturesti,6
130286,OT,Balteni,3
130295,OT,Calui,3
130302,OT,Gavanesti,3
130311,OT,Ghimpeteni,5
130320,OT,Gradinile,4
130339,OT,Gura Padinii,4
130348,OT,Ipotesti,4
130357,OT,Osica De Jos,3
130366,OT,Sarbii - Magura,4
130375,OT,Visina Noua,4
130384,OT,Soparlita,13
130534,PH,Municipiul Ploiesti,3661
130552,PH,Barcanesti,18
130614,PH,Berceni,9
130678,PH,Blejoi,23
130712,PH,Brazi,27
130785,PH,Bucov,19
130847,PH,Paulesti,31
130892,PH,Targsoru Vechi,14
130954,PH,Oras Azuga,95
130981,PH,Oras Baicoi,123
131069,PH,Oras Boldesti-Scaeni,54
131103,PH,Oras Breaza,88
131210,PH,Oras Busteni,85
131256,PH,Municipiul Campina,769
131274,PH,Poiana Campina,42
131336,PH,Oras Comarnic,22
131407,PH,Oras Mizil,93
131443,PH,Oras Plopeni,83
131461,PH,Dumbravesti,6
131540,PH,Oras Sinaia,158
131577,PH,Oras Slanic,19
131620,PH,Oras Urlati,109
131817,PH,Oras Valenii De Munte,193
131835,PH,Gura Vitioarei,9
131899,PH,Adunati,7
131933,PH,Albesti-Paleologu,10
131988,PH,Alunis,6
132011,PH,Apostolache,6
132075,PH,Aricestii Rahtivani,52
132137,PH,Aricestii Zeletin,4
132164,PH,Baba Ana,8
132226,PH,Balta Doamnei,5
132271,PH,Baltesti,5
132315,PH,Banesti,14
132342,PH,Bertea,7
132379,PH,Boldesti-Gradistea,4
132404,PH,Brebu,18
132459,PH,Calugareni,3
132486,PH,Carbunesti,3
132510,PH,Ceptura,9
132574,PH,Cerasu,8
132645,PH,Chiojdeanca,3
132681,PH,Ciorani,15
132716,PH,Cocorastii Mislii,10
132752,PH,Colceag,8
132805,PH,Cornu,8
132841,PH,Cosminele,0
132896,PH,Drajna,57
133018,PH,Draganesti,13
133090,PH,Dumbrava,8
133161,PH,Filipestii De Padure,27
133214,PH,Filipestii De Targ,19
133278,PH,Fantanele,8
133330,PH,Floresti,70
133394,PH,Fulga,11
133429,PH,Gherghita,5
133508,PH,Gorgota,19
133562,PH,Gornet,9
133615,PH,Gornet-Cricov,5
133688,PH,Gura Vadului,3
133722,PH,Iordacheanu,8
133795,PH,Izvoarele,13
133866,PH,Jugureni,3
133919,PH,Lapos,1
133964,PH,Lipanesti,7
134014,PH,Magurele,7
134050,PH,Magureni,14
134096,PH,Maneciu,27
134194,PH,Manesti,8
134336,PH,Pacureti,3
134390,PH,Plopu,5
134443,PH,Podenii Noi,8
134559,PH,Poienarii Burchii,15
134648,PH,Posesti,4
134755,PH,Predeal-Sarari,4
134853,PH,Provita De Jos,5
134899,PH,Provita De Sus,4
134942,PH,Puchenii Mari,17
135020,PH,Rafov,8
135128,PH,Salcia,1
135146,PH,Salciile,4
135164,PH,Scorteni,28
135226,PH,Secaria,5
135244,PH,Sangeru,5
135315,PH,Starchiojd,4
135404,PH,Surani,5
135431,PH,Sirna,7
135501,PH,Soimari,5
135547,PH,Sotrile,6
135618,PH,Stefesti,4
135654,PH,Talea,0
135681,PH,Tataru,3
135725,PH,Teisani,8
135789,PH,Telega,9
135850,PH,Tinosu,5
135896,PH,Tomsani,9
135949,PH,Valea Calugareasca,20
136107,PH,Valea Doftanei,13
136134,PH,Varbilau,13
136198,PH,Valcanesti,4
136241,PH,Cocorastii Colt,5
136250,PH,Olari,3
136269,PH,Vadu Sapat,1
136278,PH,Batrani,4
136483,SM,Municipiul Satu Mare,1610
136526,SM,Municipiul Carei,257
136553,SM,Capleni,10
136599,SM,Oras Negresti-Oas,213
136642,SM,Oras Tasnad,66
136713,SM,Acas,4
136768,SM,Andrid,4
136802,SM,Apa,4
136848,SM,Oras Ardud,17
136919,SM,Batarci,3
136964,SM,Beltiug,0
137032,SM,Berveni,4
137069,SM,Bixad,27
137103,SM,Barsau,0
137130,SM,Bogdand,4
137185,SM,Botiz,5
137229,SM,Calinesti-Oas,14
137274,SM,Camarzana,3
137292,SM,Cauas,3
137363,SM,Cehal,3
137407,SM,Certeze,3
137443,SM,Craidorolt,4
137504,SM,Crucisor,3
137540,SM,Culciu,5
137611,SM,Doba,4
137675,SM,Dorolt,8
137728,SM,Foieni,7
137746,SM,Gherta Mica,3
137764,SM,Halmeu,13
137844,SM,Hodod,6
137899,SM,Homoroade,4
137960,SM,Lazuri,11
138039,SM,Oras Livada,21
138084,SM,Mediesu Aurit,12
138164,SM,Micula,10
138208,SM,Moftin,6
138280,SM,Odoreu,10
138351,SM,Orasu Nou,11
138431,SM,Paulesti,13
138501,SM,Petresti,6
138538,SM,Pir,3
138574,SM,Piscolt,4
138618,SM,Pomi,8
138663,SM,Sanislau,5
138734,SM,Santau,1
138770,SM,Sacaseni,0
138805,SM,Sauca,0
138869,SM,Socond,2
138921,SM,Supur,15
139009,SM,Tarna Mare,6
139054,SM,Terebesti,12
139107,SM,Tiream,6
139143,SM,Tarsolt,3
139170,SM,Turt,16
139214,SM,Turulung,5
139250,SM,Urziceni,3
139287,SM,Valea Vinului,6
139330,SM,Vama,4
139358,SM,Vetis,9
139394,SM,Viile Satu Mare,3
139704,SJ,Municipiul Zalau,1115
139740,SJ,Oras Cehu Silvaniei,41
139811,SJ,Oras Jibou,95
139884,SJ,Oras Simleu Silvaniei,177
139937,SJ,Agrij,3
139982,SJ,Almasu,5
140084,SJ,Babeni,5
140146,SJ,Balan,5
140208,SJ,Banisor,4
140244,SJ,Benesat,1
140280,SJ,Bobota,8
140324,SJ,Bocsa,8
140379,SJ,Buciumi,5
140440,SJ,Camar,3
140477,SJ,Carastelec,3
140501,SJ,Chiesd,4
140547,SJ,Cizer,4
140583,SJ,Coseiu,0
140627,SJ,Crasna,38
140672,SJ,Creaca,6
140770,SJ,Cristolt,4
140823,SJ,Criseni,5
140869,SJ,Cuzaplac,5
140958,SJ,Dobrin,3
141027,SJ,Dragu,3
141081,SJ,Fildu De Jos,4
141134,SJ,Galgau,5
141232,SJ,Garbou,4
141312,SJ,Halmasd,4
141376,SJ,Hereclean,8
141447,SJ,Hida,9
141535,SJ,Horoatu Crasnei,3
141580,SJ,Ileanda,20
141722,SJ,Ip,4
141786,SJ,Letca,5
141884,SJ,Lozna,1
141946,SJ,Marca,4
142006,SJ,Maeriste,3
142079,SJ,Mesesenii De Jos,4
142122,SJ,Mirsid,5
142177,SJ,Napradea,3
142239,SJ,Nusfalau,18
142284,SJ,Pericei,23
142337,SJ,Plopis,4
142373,SJ,Poiana Blenchii,3
142426,SJ,Romanasi,5
142499,SJ,Rus,4
142550,SJ,Salatig,4
142612,SJ,Sag,4
142676,SJ,Sanmihaiu Almasului,4
142710,SJ,Somes-Odorhei,3
142774,SJ,Surduc,9
142854,SJ,Samsud,4
142881,SJ,Sarmasag,11
142952,SJ,Valcau De Jos,4
143021,SJ,Varsolt,4
143067,SJ,Zalha,0
143147,SJ,Zimbor,1
143450,SB,Municipiul Sibiu,3359
143487,SB,Cristian,7
143502,SB,Poplaca,4
143520,SB,Rasinari,15
143557,SB,Selimbar,14
143619,SB,Municipiul Medias,440
143646,SB,Tarnava,1
143682,SB,Oras Agnita,71
143735,SB,Oras Cisnadie,97
143771,SB,Oras Copsa Mica,11
143806,SB,Oras Dumbraveni,24
143851,SB,Oras Ocna Sibiului,16
143888,SB,Altina,3
143922,SB,Apoldu De Jos,4
143959,SB,Arpasu De Jos,4
143995,SB,Atel,4
144054,SB,Oras Avrig,57
144116,SB,Axente Sever,7
144152,SB,Bazna,10
144198,SB,Biertan,13
144232,SB,Barghis,3
144303,SB,Blajel,4
144349,SB,Brateiu,4
144376,SB,Bradeni,0
144410,SB,Bruiu,3
144456,SB,Chirpar,3
144508,SB,Carta,4
144535,SB,Cartisoara,2
144553,SB,Darlos,3
144599,SB,Gura Raului,7
144615,SB,Hoghilag,0
144651,SB,Iacobeni,3
144713,SB,Jina,6
144731,SB,Laslea,6
144795,SB,Loamnes,4
144866,SB,Ludos,0
144893,SB,Marpod,3
144928,SB,Oras Miercurea Sibiului,9
144964,SB,Merghindeal,3
144991,SB,Micasasa,3
145042,SB,Mihaileni,3
145104,SB,Mosna,3
145140,SB,Nocrich,3
145202,SB,Orlat,7
145220,SB,Pauca,6
145275,SB,Poiana Sibiului,5
145293,SB,Porumbacu De Jos,7
145355,SB,Racovita,6
145382,SB,Rau Sadului,0
145408,SB,Rosia,9
145471,SB,Sadu,4
145499,SB,Oras Saliste,17
145603,SB,Slimnic,9
145667,SB,Seica Mare,8
145738,SB,Seica Mica,4
145765,SB,Sura Mare,6
145792,SB,Sura Mica,7
145827,SB,Oras Talmaciu,31
145907,SB,Tilisca,6
145934,SB,Turnu Rosu,6
145961,SB,Valea Viilor,3
145998,SB,Vurpar,4
146012,SB,Alma,0
146021,SB,Boita,27
146263,SV,Municipiul Suceava,2287
146281,SV,Ipotesti,15
146325,SV,Mitocu Dragomirnei,22
146370,SV,Oras Salcea,13
146432,SV,Scheia,56
146502,SV,Municipiul Campulung Moldovenesc,324
146539,SV,Municipiul Falticeni,418
146584,SV,Oras Gura Humorului,185
146628,SV,Municipiul Radauti,493
146655,SV,Oras Siret,132
146708,SV,Oras Solca,10
146744,SV,Municipiul Vatra Dornei,250
146799,SV,Adancata,13
146860,SV,Arbore,11
146904,SV,Baia,10
146931,SV,Oras Milisauti,10
146995,SV,Balcauti,5
147036,SV,Bilca,8
147054,SV,Bogdanesti,11
147072,SV,Boroaia,11
147134,SV,Bosanci,13
147161,SV,Botosana,6
147205,SV,Breaza,5
147241,SV,Brodina,8
147358,SV,Oras Brosteni,10
147465,SV,Bunesti,5
147526,SV,Cacica,10
147580,SV,Calafindesti,6
147633,SV,Oras Cajvana,14
147660,SV,Ilisesti,15
147713,SV,Carlibaba,5
147786,SV,Cornu Luncii,83
147884,SV,Crucea,5
147937,SV,Darmanesti,13
148006,SV,Oras Dolhasca,10
148097,SV,Dolhesti,6
148131,SV,Dorna-Arini,10
148202,SV,Dorna Candrenilor,8
148293,SV,Dornesti,8
148328,SV,Dragoiesti,8
148382,SV,Draguseni,7
148426,SV,Dumbraveni,21
148453,SV,Fantanele,6
148514,SV,Forasti,9
148612,SV,Oras Frasin,12
148667,SV,Fratautii Noi,8
148694,SV,Fratautii Vechi,7
148729,SV,Frumosu,11
148765,SV,Fundu Moldovei,16
148872,SV,Galanesti,6
148916,SV,Gramesti,6
148970,SV,Granicesti,10
149049,SV,Horodniceni,6
149101,SV,Horodnic De Jos,4
149138,SV,Iacobeni,8
149183,SV,Izvoarele Sucevei,4
149227,SV,Oras Liteni,11
149290,SV,Marginea,14
149316,SV,Malini,20
149370,SV,Manastirea Humorului,6
149414,SV,Moara,11
149502,SV,Moldova-Sulita,4
149539,SV,Moldovita,8
149584,SV,Musenita,3
149655,SV,Ostra,9
149682,SV,Panaci,9
149753,SV,Paltinoasa,9
149780,SV,Partestii De Jos,7
149833,SV,Patrauti,9
149851,SV,Poiana Stampei,4
149931,SV,Pojorata,20
149968,SV,Preutesti,6
150043,SV,Putna,11
150070,SV,Radaseni,6
150114,SV,Rasca,10
150178,SV,Sadova,5
150196,SV,Satu Mare,5
150221,SV,Siminicea,6
150258,SV,Slatina,5
150294,SV,Straja,16
150310,SV,Stroiesti,5
150356,SV,Stulpicani,7
150418,SV,Sucevita,9
150445,SV,Saru Dornei,8
150524,SV,Todiresti,73
150588,SV,Udesti,13
150702,SV,Ulma,4
150766,SV,Vadu Moldovei,25
150891,SV,Valea Moldovei,6
150935,SV,Vama,14
150980,SV,Vatra Moldovitei,10
151022,SV,Veresti,16
151077,SV,Vicovu De Jos,12
151095,SV,Oras Vicovu De Sus,25
151120,SV,Volovat,9
151157,SV,Vulturesti,12
151246,SV,Zamostea,10
151344,SV,Zvoristea,33
151433,SV,Comanesti,5
151442,SV,Iaslovat,5
151451,SV,Ciocanesti,6
151460,SV,Serbauti,5
151479,SV,Horodnic De Sus,5
151488,SV,Fantana Mare,3
151497,SV,Cosna,1
151503,SV,Capu Campului,5
151512,SV,Hantesti,16
151521,SV,Burla,4
151530,SV,Balaceana,6
151549,SV,Hartop,5
151558,SV,Voitinel,6
151567,SV,Ciprian Porumbescu,9
151576,SV,Berchisesti,6
151585,SV,Poieni-Solca,3
151683,TR,Municipiul Turnu Magurele,311
151709,TR,Ciuperceni,5
151736,TR,Islaz,9
151763,TR,Lita,4
151790,TR,Municipiul Alexandria,1084
151816,TR,Nanov,7
151834,TR,Poroschia,69
151870,TR,Municipiul Rosiori De Vede,369
151905,TR,Oras Videle,211
151932,TR,Crevenicu,4
151978,TR,Oras Zimnicea,139
151996,TR,Balaci,20
152038,TR,Babaita,10
152083,TR,Blejesti,2
152127,TR,Bogdana,4
152172,TR,Botoroaga,10
152234,TR,Bragadiru,10
152252,TR,Branceni,7
152270,TR,Bujoreni,0
152314,TR,Bujoru,4
152332,TR,Buzescu,6
152350,TR,Calinesti,10
152412,TR,Calmatuiu,5
152467,TR,Calmatuiu De Sus,5
152500,TR,Cervenia,14
152528,TR,Ciolanesti,5
152564,TR,Contesti,6
152582,TR,Cosmesti,4
152617,TR,Crangeni,5
152662,TR,Crangu,6
152724,TR,Didesti,3
152760,TR,Dobrotesti,11
152797,TR,Dracsenei,7
152868,TR,Draganesti De Vede,3
152902,TR,Draganesti-Vlasca,8
152948,TR,Furculesti,12
152993,TR,Frumoasa,5
153026,TR,Galateni,5
153062,TR,Gratia,8
153106,TR,Izvoarele,5
153124,TR,Lisa,4
153151,TR,Lunca,8
153204,TR,Mavrodin,11
153240,TR,Magura,6
153277,TR,Maldaeni,5
153295,TR,Mereni,4
153339,TR,Marzanesti,3
153384,TR,Mosteni,6
153400,TR,Nasturelu,7
153437,TR,Necsesti,5
153473,TR,Olteni,15
153507,TR,Orbeasca,22
153543,TR,Peretu,13
153561,TR,Piatra,9
153589,TR,Pietrosani,6
153605,TR,Plosca,9
153623,TR,Plopii-Slavitesti,5
153696,TR,Poeni,10
153776,TR,Vitanesti,5
153829,TR,Putineiu,4
153865,TR,Radoiesti,5
153909,TR,Rasmiresti,4
153936,TR,Salcia,4
153972,TR,Saceni,4
154013,TR,Scrioastea,8
154068,TR,Scurtu Mare,4
154139,TR,Seaca,4
154166,TR,Sfintesti,1
154184,TR,Segarcea-Vale,4
154228,TR,Silistea,4
154282,TR,Silistea-Gumesti,1
154308,TR,Sarbeni,4
154344,TR,Slobozia Mandra,8
154380,TR,Smardioasa,5
154415,TR,Stejaru,5
154460,TR,Suhaia,6
154497,TR,Storobaneasa,7
154521,TR,Talpa,5
154585,TR,Tatarastii De Jos,5
154665,TR,Tatarastii De Sus,9
154709,GR,Toporu,3
154736,TR,Traian,5
154754,TR,Trivalea-Mosteni,10
154790,TR,Troianul,6
154834,TR,Tiganesti,13
154852,TR,Vedea,4
154914,TR,Viisoara,4
154932,TR,Vartoape,5
154978,TR,Zambreasca,3
154996,TR,Nenciulesti,1
155083,TR,Beciu,2
155092,TR,Beuca,2
155109,TR,Dracea,0
155118,TR,Fantanele,1
155127,TR,Frasinet,1
155136,TR,Purani,3
155145,TR,Saelele,2
155154,TR,Uda-Clocociov,0
155243,TM,Municipiul Timisoara,8002
155261,TM,Dumbravita,26
155289,TM,Ghiroda,23
155314,TM,Giroc,42
155350,TM,Municipiul Lugoj,530
155403,TM,Oras Buzias,65
155458,TM,Oras Deta,87
155494,TM,Oras Jimbolia,125
155528,TM,Oras Sannicolau Mare,133
155546,TM,Balint,7
155591,TM,Banloc,8
155662,TM,Bara,0
155724,TM,Beba Veche,0
155760,TM,Becicherecu Mic,28
155797,TM,Belint,8
155840,TM,Bethausen,7
155911,TM,Biled,7
155957,TM,Barna,4
156035,TM,Bogda,4
156106,TM,Boldur,9
156151,TM,Brestovat,4
156213,TM,Carpinis,15
156259,TM,Cenad,9
156277,TM,Cenei,10
156311,TM,Cheveresu Mare,6
156357,TM,Oras Ciacova,62
156437,TM,Comlosu Mare,17
156473,TM,Costeiu,6
156534,TM,Criciova,6
156589,TM,Curtea,4
156623,TM,Darova,7
156669,TM,Denta,6
156712,TM,Dudestii Vechi,9
156767,TM,Dumbrava,6
156801,TM,Oras Faget,100
156927,TM,Fardea,7
157004,TM,Foeni,10
157031,TM,Gavojdia,52
157086,TM,Oras Gataia,119
157193,TM,Ghizela,3
157246,TM,Giarmata,20
157273,TM,Giera,6
157317,TM,Giulvaz,6
157362,TM,Jamu Mare,12
157424,TM,Jebel,94
157451,TM,Lenauheim,12
157497,TM,Liebling,13
157530,TM,Lovrin,11
157585,TM,Margina,7
157683,TM,Masloc,21
157736,TM,Manastiur,3
157781,TM,Moravita,9
157834,TM,Mosnita Noua,20
157898,TM,Nadrag,8
157923,TM,Nitchidorf,7
157969,TM,Ohaba Lunga,3
158010,TM,Ortisoara,22
158065,TM,Peciu Nou,13
158109,TM,Periam,17
158136,TM,Pietroasa,3
158181,TM,Pischia,16
158243,TM,Racovita,7
158314,TM,Oras Recas,72
158396,TM,Remetea Mare,11
158449,TM,Sacosu Turcesc,9
158528,TM,Satchinez,11
158564,TM,Sacalaz,18
158608,TM,Secas,0
158653,TM,Sanandrei,21
158699,TM,Sanmihaiu Roman,17
158733,TM,Sanpetru Mare,13
158779,TM,Sag,11
158804,TM,Stiuca,3
158859,TM,Teremia Mare,10
158895,TM,Tomesti,10
158966,TM,Topolovatu Mare,12
159035,TM,Tormac,10
159071,TM,Traian Vuia,6
159142,TM,Uivar,7
159213,TM,Varias,20
159259,TM,Victor Vlad Delamarina,6
159339,TM,Voiteg,4
159366,TM,Birda,8
159375,TM,Checea,4
159384,TM,Dudestii Noi,7
159393,TM,Fibis,4
159400,TM,Ghilad,4
159419,TM,Gottlob,4
159428,TM,Iecea Mare,7
159437,TM,Parta,4
159446,TM,Padureni,5
159455,TM,Saravale,6
159464,TM,Sandra,15
159473,TM,Tomnatic,10
159482,TM,Valcani,3
159491,TM,Livezile,6
