Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie,Total_medici_desc
75472,Oras Targu Bujor,GL,3,17,5,46,3,23
179383,Jilava,IF,11,6,9,22,6,23
128711,Oras Scornicesti,OT,5,13,7,40,5,23
157424,Jebel,TM,3,17,8,63,3,23
13392,Oras Stefanesti,AG,8,8,9,54,7,23
87424,Oras Calan,HD,10,7,14,18,5,22
69964,Bucovat,DJ,6,12,11,35,4,22
167794,Oras Brezoi,VL,6,13,9,35,3,22
131407,Oras Mizil,PH,4,13,27,44,5,22
124938,Alexandru Cel Bun,NT,1,20,13,72,1,22
101742,Cernica,IF,8,6,4,15,7,21
139811,Oras Jibou,SJ,6,11,25,49,4,21
144054,Oras Avrig,SB,12,0,36,0,9,21
40465,Oras Victoria,BV,5,13,5,11,3,21
114854,Oras Sovata,MS,7,7,8,16,6,20
20965,Oras Targu Ocna,BC,8,7,26,64,5,20
136642,Oras Tasnad,SM,8,8,22,24,4,20
27686,Bratca,BH,6,10,4,36,4,20
40394,Oras Rupea,BV,6,10,6,38,4,20
60570,Agigea,CT,4,11,10,43,4,19
175938,Dumbraveni,VN,2,15,3,54,2,19
12091,Oras Santana,AR,10,0,18,2,8,18
62761,Poarta Alba,CT,4,10,5,43,4,18
106684,Oras Baia Sprie,MM,9,1,52,3,8,18
131620,Oras Urlati,PH,4,8,15,76,6,18
146432,Scheia,SV,13,0,28,11,4,17
13757,Oras Topoloveni,AG,11,2,40,3,4,17
67595,Gura Ocnitei,DB,3,11,6,147,3,17
24524,Podu Turcului,BC,14,0,48,1,3,17
86133,Tulghes,HR,2,13,3,71,2,17
62360,Oras Murfatlar,CT,12,0,14,2,5,17
9397,Vladimirescu,AR,10,0,10,0,7,17
110232,Oras Vanju Mare,MH,13,0,7,10,4,17
1794,Oras Ocna Mures,AB,8,1,21,5,8,17
174922,Oras Marasesti,VN,6,5,5,6,6,17
63125,Valu Lui Traian,CT,8,0,20,0,8,16
124117,Oras Roznov,NT,10,0,3,39,6,16
61620,Cumpana,CT,8,1,14,9,7,16
179285,Oras Chitila,IF,8,4,8,7,4,16
81576,Runcu,GJ,2,12,3,73,2,16
41925,Sanpetru,BV,10,3,9,11,3,16
155760,Becicherecu Mic,TM,13,0,12,0,3,16
102543,1 Decembrie,IF,11,1,8,1,4,16
30915,Oras Sacueni,BH,11,0,0,3,5,16
151834,Poroschia,TR,2,11,3,51,2,15
15108,Calinesti,AG,4,7,8,42,4,15
32027,Oras Valea Lui Mihai,BH,7,1,6,7,7,15
97241,Grajduri,IS,1,13,2,80,1,15
11584,Oras Pecica,AR,8,0,13,6,7,15
26920,Oras Nucet,BH,2,11,43,86,2,15
131443,Oras Plopeni,PH,11,0,63,5,4,15
178377,Vidra,VN,2,11,6,64,2,15
110116,Oras Strehaia,MH,7,2,13,19,6,15
133330,Floresti,PH,3,8,8,48,3,14
155261,Dumbravita,TM,10,0,12,0,4,14
158314,Oras Recas,TM,9,0,11,47,5,14
120496,Sarateni,MS,7,0,1,0,7,14
61318,Cobadin,CT,7,0,12,8,7,14
132896,Drajna,PH,3,8,9,34,3,14
89561,Oras Geoagiu,HD,5,7,6,50,2,14
100781,Adunatii-Copaceni,GR,5,4,13,20,5,14
167696,Oras Baile Olanesti,VL,11,0,70,0,3,14
131069,Oras Boldesti-Scaeni,PH,6,2,27,13,6,14
73996,Sadova,DJ,8,1,12,10,5,14
19695,Valea Iasului,AG,2,10,4,45,2,14
16757,Leordeni,AG,4,7,10,22,3,14
171325,Mihaesti,VL,2,9,6,82,3,14
73709,Plenita,DJ,8,1,15,13,5,14
134096,Maneciu,PH,7,0,13,0,7,14
175019,Oras Odobesti,VN,5,4,11,4,4,13
50923,Oras Baile Herculane,CS,9,1,13,12,3,13
106782,Oras Cavnic,MM,4,6,14,27,3,13
50549,Unguriu,BZ,1,11,2,84,1,13
108473,Poienile De Sub Munte,MM,6,1,14,22,6,13
155289,Ghiroda,TM,9,0,10,0,4,13
70110,Podari,DJ,8,0,12,1,5,13
130712,Brazi,PH,9,0,14,0,4,13
125622,Oras Draganesti-Olt,OT,6,1,8,10,6,13
139740,Oras Cehu Silvaniei,SJ,6,1,19,9,6,13
40303,Oras Predeal,BV,4,5,4,34,4,13
92836,Oras Amara,IL,9,0,37,0,3,12
157834,Mosnita Noua,TM,8,0,8,0,4,12
159650,Oras Babadag,TL,7,1,3,37,4,12
10943,Gurahont,AR,6,1,10,14,5,12
109176,Oras Somcuta Mare,MM,6,0,25,1,6,12
156357,Oras Ciacova,TM,8,0,27,23,4,12
66081,Oras Titu,DB,6,1,24,8,5,12
18475,Rociu,AG,6,0,6,0,6,12
13276,Bradu,AG,7,0,10,0,5,12
70637,Amarastii De Jos,DJ,8,0,17,10,4,12
19793,Vedea,AG,3,7,3,39,2,12
63152,Lumina,CT,6,0,21,0,6,12
114382,Sancraiu De Mures,MS,8,0,17,0,4,12
14753,Bradulet,AG,2,8,2,40,2,12
153507,Orbeasca,TR,6,0,9,1,6,12
71858,Ciupercenii Noi,DJ,6,0,9,2,5,11
123479,Piatra Soimului,NT,6,0,1,5,5,11
164981,Oras Murgeni,VS,2,5,6,28,4,11
145827,Oras Talmaciu,SB,6,0,20,0,5,11
157683,Masloc,TM,9,0,10,0,2,11
12368,Siria,AR,6,0,9,2,5,11
13187,Bascov,AG,7,0,14,0,4,11
100834,Afumati,IF,7,1,4,38,3,11
132075,Aricestii Rahtivani,PH,5,1,18,23,5,11
9627,Oras Nadlac,AR,6,0,10,1,5,11
31654,Tauteu,BH,5,1,2,11,5,11
157246,Giarmata,TM,7,0,9,0,4,11
