Siruta,Judet,Localitate,PersonalMediu_privat,PersonalMediu_public
20048,AG,Raca,1,0
20055,AG,Vulturesti,0,12
20063,AG,Bughea De Sus,2,0
20297,BC,Municipiul Bacau,631,1363
20313,BC,Hemeius,2,0
20359,BC,Letea Veche,6,0
20411,BC,Magura,7,0
20466,BC,Margineni,20,0
20563,BC,Municipiul Onesti,98,377
20607,BC,Gura Vaii,2,2
20670,BC,Stefan Cel Mare,2,0
20778,BC,Oras Buhusi,60,106
20821,BC,Oras Comanesti,59,120
20876,BC,Municipiul Moinesti,73,169
20910,BC,Oras Slanic-Moldova,6,11
20965,BC,Oras Targu Ocna,26,64
21007,BC,Agas,6,0
21098,BC,Ardeoani,3,0
21123,BC,Asau,5,0
21196,BC,Balcani,3,0
21249,BC,Beresti-Bistrita,2,0
21338,BC,Beresti-Tazlau,5,0
21418,BC,Berzunti,3,1
21454,BC,Barsanesti,2,0
21506,BC,Blagesti,4,1
21560,BC,Bogdanesti,1,0
21597,BC,Brusturoasa,1,0
21668,BC,Buhoci,5,0
21720,BC,Casin,1,0
21757,BC,Caiuti,2,0
21855,BC,Cleja,4,0
21891,BC,Colonesti,1,0
21971,BC,Corbasca,2,0
22059,BC,Cotofanesti,2,0
22111,BC,Damienesti,1,0
22166,BC,Oras Darmanesti,9,32
22237,BC,Dealu Morii,1,0
22380,BC,Dofteana,8,0
22460,BC,Faraoani,4,0
22488,BC,Filipeni,1,0
22576,BC,Filipesti,3,27
22665,BC,Gaiceana,2,0
22718,BC,Ghimes-Faget,3,0
22781,BC,Garleni,5,0
22834,BC,Glavanesti,1,1
22898,BC,Helegiu,4,0
22941,BC,Horgesti,4,0
23047,BC,Huruiesti,2,0
23127,BC,Izvoru Berheciului,1,0
23207,BC,Lipova,2,1
23289,BC,Livezi,3,0
23350,BC,Luizi-Calugara,3,0
23387,BC,Magiresti,1,0
23449,BC,Manastirea Casin,3,0
23494,BC,Motoseni,2,1
23644,BC,Negri,1,0
23715,BC,Nicolae Balcescu,8,0
23797,BC,Oituz,12,0
23868,BC,Oncesti,3,0
23948,BC,Orbeni,2,0
23975,BC,Palanca,2,0
24034,BC,Parava,2,0
24089,BC,Parincea,3,10
24187,BC,Pancesti,4,0
24276,BC,Pargaresti,2,1
24338,BC,Parjol,2,0
24427,BC,Plopana,2,1
24524,BC,Podu Turcului,48,1
24631,BC,Poduri,3,0
24711,BC,Racova,2,0
24766,BC,Racaciuni,4,51
24837,BC,Rachitoasa,4,14
24999,BC,Rosiori,1,0
25068,BC,Sascut,7,1
25148,BC,Sanduleni,1,0
25228,BC,Saucesti,6,0
25291,BC,Scorteni,1,2
25362,BC,Secuieni,3,0
25488,BC,Solont,2,0
25521,BC,Stanisesti,3,0
25629,BC,Strugari,1,0
25692,BC,Tamasi,1,0
25745,BC,Tatarasti,1,0
25825,BC,Targu Trotus,7,0
25861,BC,Traian,2,0
25932,BC,Ungureni,2,17
26029,BC,Urechesti,2,1
26083,BC,Valea Seaca,3,2
26118,BC,Vultureni,1,0
26289,BC,Zemes,2,0
26320,BC,Sarata,0,0
26338,BC,Buciumi,1,0
26346,BC,Gioseni,1,0
26353,BC,Odobesti,1,0
26361,BC,Prajesti,1,0
26379,BC,Itesti,0,1
26564,BH,Municipiul Oradea,615,1757
26582,BH,Sanmartin,11,86
26653,BH,Santandrei,4,0
26699,BH,Oras Alesd,21,86
26742,BH,Astileu,5,0
26804,BH,Municipiul Beius,63,165
26840,BH,Oras Stei,9,85
26877,BH,Municipiul Marghita,73,133
26920,BH,Oras Nucet,43,86
26975,BH,Municipiul Salonta,27,74
27007,BH,Oras Vascau,0,2
27070,BH,Abram,2,0
27169,BH,Abramut,4,1
27212,BH,Auseu,2,1
27285,BH,Avram Iancu,2,0
27329,BH,Balc,5,1
27383,BH,Batar,4,0
27436,BH,Biharia,5,0
27506,BH,Boianu Mare,2,0
27560,BH,Borod,3,0
27631,BH,Bors,5,0
27686,BH,Bratca,4,36
27757,BH,Brusturi,5,0
27846,BH,Budureasa,0,1
27908,BH,Buduslau,2,0
27935,BH,Bulz,3,26
27971,BH,Buntesti,5,0
28077,BH,Cabesti,2,0
28139,BH,Capalna,3,0
28193,BH,Carpinet,0,0
28246,BH,Cefa,5,0
28335,BH,Ceica,5,0
28415,BH,Cetariu,2,0
28497,BH,Cherechiu,5,0
28530,BH,Chislaz,4,0
28610,BH,Ciuhoi,3,0
28665,BH,Ciumeghiu,3,17
28709,BH,Campani,6,0
28763,BH,Cociuba Mare,5,0
28816,BH,Copacel,2,0
28889,BH,Cristioru De Jos,1,0
28941,BH,Curatele,3,0
29001,BH,Curtuiseni,1,0
29038,BH,Derna,2,0
29092,BH,Diosig,6,2
29154,BH,Dobresti,5,2
29243,BH,Draganesti,2,0
29341,BH,Dragesti,2,0
29403,BH,Finis,6,0
29467,BH,Girisu De Cris,3,0
29519,BH,Hidiselu De Sus,5,0
29573,BH,Holod,2,0
29662,BH,Husasau De Tinca,4,0
29724,BH,Ineu,4,0
29760,BH,Lazuri De Beius,6,0
29813,BH,Lazareni,3,0
29902,BH,Lugasu De Jos,4,0
29948,BH,Lunca,4,0
30014,BH,Madaras,2,0
30069,BH,Magesti,2,0
30149,BH,Nojorid,4,0
30229,BH,Olcea,4,0
30274,BH,Osorhei,4,0
30336,BH,Pietroasa,4,0
30416,BH,Pocola,4,0
30470,BH,Pomezeu,2,0
30568,BH,Popesti,6,34
30648,BH,Rabagani,4,0
30719,BH,Remetea,2,0
30773,BH,Rieni,2,0
30844,BH,Rosia,3,0
30871,BH,Sacadat,2,0
30915,BH,Oras Sacueni,0,3
30988,BH,Salacea,0,0
31011,BH,Salard,6,0
31057,BH,Sambata,4,0
31128,BH,Sarbi,2,0
31208,BH,Spinus,4,0
31262,BH,Suplacu De Barcau,6,1
31333,BH,Simian,4,0
31379,BH,Sinteu,2,0
31422,BH,Soimi,2,0
31510,BH,Suncuius,4,1
31565,BH,Tarcea,2,0
31609,BH,Tarcaia,2,0
31654,BH,Tauteu,2,11
31716,BH,Tileagd,4,1
31789,BH,Tinca,17,47
31841,BH,Tulca,2,0
31878,BH,Tetchea,2,2
31921,BH,Uileacu De Beius,3,0
31976,BH,Vadu Crisului,2,0
32027,BH,Oras Valea Lui Mihai,6,7
32045,BH,Viisoara,2,0
32090,BH,Varciorog,2,0
32153,BH,Tamaseu,2,0
32161,BH,Paleu,1,0
32179,BH,Sannicolau Roman,2,0
32187,BH,Rosiori,2,0
32195,BH,Gepiu,3,0
32201,BH,Toboliu,1,0
32394,BN,Municipiul Bistrita,369,715
32483,BN,Oras Beclean,30,116
32544,BN,Oras Nasaud,36,116
32599,BN,Oras Sangeorz-Bai,37,2
32633,BN,Bistrita Bargaului,4,0
32660,BN,Branistea,5,0
32704,BN,Budacu De Jos,3,0
32768,BN,Budesti,1,1
32811,BN,Caianu Mic,3,1
32884,BN,Cetate,4,1
32955,BN,Ciceu-Giurgesti,2,0
33015,BN,Chiochis,2,2
33122,BN,Chiuza,2,1
33177,BN,Cosbuc,2,0
33202,BN,Dumitra,6,0
33248,BN,Feldru,11,2
33275,BN,Galatii Bistritei,1,0
33337,BN,Ilva Mare,3,1
33364,BN,Ilva Mica,3,1
33382,BN,Josenii Bargaului,5,0
33435,BN,Lechinta,5,2
33514,BN,Lesu,2,1
33541,BN,Livezile,4,1
