,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17
PIB,0.30680624793102307,-0.28446077441972634,-0.37449611194521587,-0.2795091305036819,-0.07990300294402959,0.07302624709898696,0.5122236967773034,-0.1833431248952041,-0.11162987526933328,-0.14198396127983068,0.04584946303382503,-0.044560648052598434,-0.18466899651140783,0.1733689198396272,0.18334778630453635,-0.09689361467133112,0.3844061757604633
SupUtila,0.6378052107241747,-0.16332610106940776,-0.2506443983924964,-0.45966882766593714,-0.18975932643524074,0.04095073005753647,0.14285410029068732,-0.011155289394580442,0.010809451078785275,-0.0480717127072291,0.15164039176736843,-0.13062966221111216,0.21161499699722444,0.0044092457946312245,-0.1667900933976527,0.14587574504138545,-0.11543997832115412
Export,0.4725608014964746,0.17262940436688687,-0.11617681765721886,-0.2461156793403635,-0.24541606307435823,0.16919418323963561,0.26388934009964493,-0.152018980692705,-0.28237007771607087,0.36737256593839634,0.18445778914366126,0.046231815371082986,-0.12070400525405156,0.19711203947099118,0.10283024881569237,-0.2576447213731375,0.18587027805442674
Inoptari,0.30382352666312845,-0.23969250478499712,-0.18698988733580132,-0.18099374871194351,-0.22393522017219106,0.11366600962541046,0.07661996449180312,0.044134178811789514,-0.07251152115621134,-0.08392457257425069,-0.26004943627097615,0.4683182608109521,-0.08714374934067504,-0.38452498053461476,0.21715226284742165,-0.19167185705449555,-0.054761406586036246
ExecBVenituri,0.10541516715552555,-0.33797680782426703,-0.37492956399034394,-0.19021676520330325,0.21429834233160308,-0.019515872254529432,0.22866817471271153,0.3277933740354038,-0.09445313277042847,-0.07629770996430431,-0.13334533489518202,-0.24335873919547532,-0.2250490677989091,0.34743424208562534,-0.01319234350993965,-0.36989354173379063,0.267887782141554
ExecBSubventii,-0.3625727150159943,0.26446723911402165,-0.0004602496157552051,-0.10112077549868562,0.25583013204447513,-0.1922010145368162,-0.34271069852828745,0.3331569923304464,0.04179038457054231,0.027980595772132827,-0.1396864508616195,-0.170322455691194,-0.0023809852944574684,0.06890807146096185,-0.3376399754342704,-0.300343485799671,-0.02414644111917952
Canalizare,0.3468350135268322,-0.128204718046071,-0.2955172145603878,0.07356079931608098,0.002125704029478846,0.42310703682017087,0.6167253820524279,-0.12460311882173825,-0.00392259275010684,0.015270855137853123,-0.11883483089279766,0.09431090860953209,-0.1865121477590149,-0.10855172130400023,-0.10854601256302254,-0.1228013668167154,0.18783548760515045
PAVeg,-0.5454071818674482,0.3634647075128025,0.2867317209328217,-0.12057097414780069,-0.005715845064624172,0.11310095839676035,-0.2329142316370764,-0.15092242291357655,0.30649262811843514,-0.09196972544272605,-0.12407702743518441,-0.054915444467491054,0.32508158727322606,0.14582206328188252,0.08172492304591743,-0.3374189447774811,-0.08124086437789926
PAAnim,-0.3094053336861895,0.17249250039193778,0.6784032630507526,0.026589168958368336,-0.036289378940971714,0.0737146602960864,-0.11929046587631371,0.0657888023779183,-0.12012307055025709,-0.04751528681803085,-0.25199471807974916,0.06289914636793775,-0.15652072180729418,0.002002346549239703,-0.08430033023290588,-0.321268305865483,-0.35704526384037766
ServAgr,-0.34176402278805446,0.05450675946020551,0.036231156826975176,-0.036122926959266374,-0.2408411968298139,0.22408072205299154,0.3485595823954552,-0.12441196069591781,0.0794071652930362,-0.09962464739697567,-0.2619724829462999,0.0724304198161246,0.3285980880504567,0.42604853153767713,-0.2803234051819516,-0.037408289007554045,0.23637954192017965
