Siruta,Localitate,ActivitateDominanta
106817,Oras Targu Lapus,Mobila
82243,Stejari,Alimentara
41284,Jibert,Alimentara
147786,Cornu Luncii,Alimentara
49484,Siriu,Lemnului
65869,Iedera,Lemnului
131407,Oras Mizil,Alimentara
74073,Scaesti,Alimentara
98649,Probota,CalculatoareElectronica
172377,Popesti,Lemnului
172377,Popesti,Lemnului
172377,Popesti,Lemnului
172377,Popesti,Lemnului
172377,Popesti,Lemnului
123228,Moldoveni,Alimentara
123228,Moldoveni,Alimentara
33122,Chiuza,Lemnului
16739,Izvoru,Alimentara
164197,Hoceni,Alimentara
57706,Floresti,Alimentara
57706,Floresti,Alimentara
57706,Floresti,Alimentara
131443,Oras Plopeni,Alimentara
16757,Leordeni,Textila
123255,Oniceni,Lemnului
98685,Raducaneni,Alimentara
74108,Seaca De Camp,Alimentara
65921,Oras Pucioasa,Textila
156035,Bogda,Alimentara
41346,Lisa,Lemnului
41346,Lisa,Lemnului
115076,Adamus,Lemnului
131461,Dumbravesti,ConstructiiMasini
49545,Smeeni,Alimentara
82314,Stoina,Alimentara
57742,Frata,Alimentara
74135,Seaca De Padure,Alimentara
33177,Cosbuc,Textila
41382,Maierus,Mobila
24999,Rosiori,Alimentara
24999,Rosiori,Alimentara
24999,Rosiori,Alimentara
24999,Rosiori,Alimentara
90538,Pui,Lemnului
172457,Prundeni,Alimentara
147884,Crucea,Lemnului
147884,Crucea,Lemnului
33202,Dumitra,Alimentara
98738,Romanesti,Alimentara
98738,Romanesti,Alimentara
164277,Dimitrie Cantemir,Alimentara
74171,Secu,Alimentara
139704,Municipiul Zalau,Metalurgica
156106,Boldur,Alimentara
41417,Mandra,Lemnului
115147,Alunis,Alimentara
115147,Alunis,Alimentara
115147,Alunis,Alimentara
131540,Oras Sinaia,ConstructiiMasini
98774,Ruginoasa,Metalurgica
98774,Ruginoasa,Metalurgica
66009,Branesti,Lemnului
66009,Branesti,Lemnului
66009,Branesti,Lemnului
49625,Stalpu,Alimentara
82396,Telesti,Alimentara
139740,Oras Cehu Silvaniei,Textila
172509,Racovita,Lemnului
172509,Racovita,Lemnului
172509,Racovita,Lemnului
172509,Racovita,Lemnului
