Siruta,Localitate,ActivitateDominanta
133018,Draganesti,Alimentara
133018,Draganesti,Alimentara
18331,Ratesti,Textila
42913,Bordei Verde,Lemnului
149414,Moara,Energetica
108455,Petrova,Lemnului
75686,Baneasa,Alimentara
75686,Baneasa,Alimentara
116652,Ernei,ConstructiiMasini
51118,Oras Oravita,Lemnului
100273,Bals,Alimentara
124849,Urecheni,Alimentara
141232,Garbou,Lemnului
108473,Poienile De Sub Munte,Lemnului
100282,Costesti,Lemnului
100282,Costesti,Lemnului
100282,Costesti,Lemnului
100282,Costesti,Lemnului
165817,Rosiesti,Alimentara
75711,Branistea,Textila
75711,Branistea,Textila
75711,Branistea,Textila
75711,Branistea,Textila
59327,Savadisla,Lemnului
92097,Vorta,Alimentara
67522,Glodeni,Textila
67522,Glodeni,Textila
26564,Municipiul Oradea,Textila
174021,Vaideeni,Lemnului
108491,Remetea Chioarului,Alimentara
34770,Sieu-Odorhei,Alimentara
10195,Bocsig,Alimentara
124885,Valea Ursului,Alimentara
100308,Draguseni,Alimentara
100308,Draguseni,Alimentara
100308,Draguseni,Alimentara
100308,Draguseni,Alimentara
26582,Sanmartin,Energetica
26582,Sanmartin,Energetica
26582,Sanmartin,Energetica
42968,Ciocile,Alimentara
100317,Fantanele,Alimentara
100317,Fantanele,Alimentara
100317,Fantanele,Alimentara
100317,Fantanele,Alimentara
100317,Fantanele,Alimentara
100317,Fantanele,Alimentara
100317,Fantanele,Alimentara
133090,Dumbrava,Lemnului
133090,Dumbrava,Lemnului
133090,Dumbrava,Lemnului
83936,Bilbor,Lemnului
100326,Harmanesti,Alimentara
18411,Recea,Alimentara
18411,Recea,Alimentara
18411,Recea,Alimentara
100335,Rachiteni,Alimentara
157683,Masloc,Alimentara
116723,Faragau,Alimentara
75766,Brahasesti,Alimentara
100344,Roscani,Alimentara
83963,Capalnita,Lemnului
149502,Moldova-Sulita,Lemnului
10239,Brazii,Lemnului
10239,Brazii,Lemnului
100353,Valea Lupului,Energetica
141312,Halmasd,Alimentara
51207,Oras Otelu Rosu,Textila
174085,Valea Mare,Alimentara
174085,Valea Mare,Alimentara
174085,Valea Mare,Alimentara
174085,Valea Mare,Alimentara
108552,Remeti,Lemnului
165899,Solesti,Alimentara
67595,Gura Ocnitei,Alimentara
43019,Ciresu,Alimentara
43019,Ciresu,Alimentara
100362,Ciohorani,Alimentara
124938,Alexandru Cel Bun,Lemnului
83981,Ciucsangeorgiu,Lemnului
92177,Zam,Lemnului
59416,Sic,Lemnului
26653,Santandrei,Alimentara
149539,Moldovita,Lemnului
34850,Sieut,Lemnului
59434,Sancraiu,Lemnului
75819,Buciumeni,Alimentara
75819,Buciumeni,Alimentara
157736,Manastiur,Lemnului
18475,Rociu,Alimentara
51243,Armenis,Lemnului
133161,Filipestii De Padure,Alimentara
10293,Buteni,Lemnului
108598,Repedea,Lemnului
116796,Fantanele,Alimentara
116796,Fantanele,Alimentara
116796,Fantanele,Alimentara
116796,Fantanele,Alimentara
116796,Fantanele,Alimentara
116796,Fantanele,Alimentara
116796,Fantanele,Alimentara
43073,Dudesti,Textila
67648,Gura Sutii,Textila
141376,Hereclean,Mobila
108614,Rona De Jos,Alimentara
26699,Oras Alesd,Textila
174156,Vladesti,Alimentara
174156,Vladesti,Alimentara
174156,Vladesti,Alimentara
2130,Albac,Lemnului
149584,Musenita,Alimentara
34903,Sintereag,Alimentara
157781,Moravita,Lemnului
75864,Cavadinesti,Alimentara
108632,Rona De Sus,Lemnului
125016,Vanatori-Neamt,Lemnului
165979,Stanilesti,Textila
67675,Hulubesti,Alimentara
133214,Filipestii De Targ,CalculatoareElectronica
18527,Rucar,Alimentara
51305,Bania,Alimentara
10346,Carand,Lemnului
59498,Sanmartin,Alimentara
59498,Sanmartin,Alimentara
59498,Sanmartin,Alimentara
43117,Frecatei,Alimentara
43117,Frecatei,Alimentara
26742,Astileu,Textila
84086,Ciumani,Lemnului
18554,Salatrucu,Lemnului
108669,Rozavlea,Alimentara
116867,Galesti,Alimentara
51332,Bautar,Lemnului
125061,Zanesti,Lemnului
10373,Cermei,Lemnului
141447,Hida,ChimicaFarmaceutica
84102,Carta,Mobila
84102,Carta,Mobila
157834,Mosnita Noua,Textila
174218,Voicesti,Alimentara
75917,Certesti,Alimentara
18581,Sapata,Alimentara
149655,Ostra,Lemnului
67737,I. L. Caragiale,Alimentara
108696,Ruscova,Mobila
133278,Fantanele,Alimentara
133278,Fantanele,Alimentara
133278,Fantanele,Alimentara
133278,Fantanele,Alimentara
133278,Fantanele,Alimentara
133278,Fantanele,Alimentara
133278,Fantanele,Alimentara
100521,Municipiul Giurgiu,Textila
34985,Teaca,Alimentara
108712,Satulung,Lemnului
125098,Dochia,Lemnului
166057,Stefan Cel Mare,Alimentara
166057,Stefan Cel Mare,Alimentara
166057,Stefan Cel Mare,Alimentara
166057,Stefan Cel Mare,Alimentara
166057,Stefan Cel Mare,Alimentara
166057,Stefan Cel Mare,Alimentara
43180,Galbenu,Energetica
174254,Voineasa,Lemnului
174254,Voineasa,Lemnului
75953,Corod,Alimentara
125105,Ruginoasa,ChimicaFarmaceutica
125105,Ruginoasa,ChimicaFarmaceutica
149682,Panaci,Lemnului
10417,Chisindia,Lemnului
26804,Municipiul Beius,Textila
84148,Corbu,Alimentara
84148,Corbu,Alimentara
84148,Corbu,Alimentara
51387,Berliste,Alimentara
125114,Ghindaoani,Alimentara
67773,Lucieni,Alimentara
59586,Sanpaul,Alimentara
59586,Sanpaul,Alimentara
125123,Valeni,Alimentara
125123,Valeni,Alimentara
125123,Valeni,Alimentara
100549,Slobozia,Alimentara
100549,Slobozia,Alimentara
157898,Nadrag,Lemnului
116938,Ganesti,Mobila
125132,Draganesti,Alimentara
125132,Draganesti,Alimentara
125132,Draganesti,Alimentara
125132,Draganesti,Alimentara
84175,Corund,Lemnului
133330,Floresti,ConstructiiMasini
133330,Floresti,ConstructiiMasini
133330,Floresti,ConstructiiMasini
174290,Zatreni,Alimentara
125141,Pancesti,Alimentara
125141,Pancesti,Alimentara
10453,Conop,Alimentara
26840,Oras Stei,Alimentara
141535,Horoatu Crasnei,Alimentara
125150,Gadinti,Alimentara
100576,Oras Buftea,Alimentara
157923,Nitchidorf,Alimentara
76004,Corni,Mobila
76004,Corni,Mobila
43242,Gemenele,Alimentara
18670,Schitu Golesti,ConstructiiMasini
35054,Telciu,Lemnului
125169,Negresti,Mobila
116983,Gheorghe Doja,Alimentara
116983,Gheorghe Doja,Alimentara
51449,Berzasca,Textila
67835,Ludesti,Alimentara
108794,Sacalaseni,Mobila
125178,Boghicea,Textila
149753,Paltinoasa,Lemnului
166137,Suletea,Alimentara
26877,Municipiul Marghita,Textila
100610,Municipiul Oltenita,ConstructiiMasini
2309,Almasu Mare,Lemnului
59657,Suatu,Alimentara
76040,Cosmesti,Alimentara
76040,Cosmesti,Alimentara
84237,Danesti,Lemnului
84237,Danesti,Lemnului
84237,Danesti,Lemnului
141580,Ileanda,Alimentara
43279,Gradistea,Alimentara
43279,Gradistea,Alimentara
43279,Gradistea,Alimentara
43279,Gradistea,Alimentara
133394,Fulga,Alimentara
10514,Covasint,Alimentara
35090,Tiha Bargaului,Lemnului
157969,Ohaba Lunga,Alimentara
149780,Partestii De Jos,Alimentara
100638,Mitreni,Alimentara
10532,Craiva,Alimentara
166182,Tanacu,Lemnului
26920,Oras Nucet,Lemnului
84264,Dealu,Lemnului
51500,Berzovia,Alimentara
59693,Tritenii De Jos,Alimentara
43313,Gropeni,Textila
117042,Ghindari,Lemnului
18741,Slobozia,Alimentara
18741,Slobozia,Alimentara
133429,Gherghita,Alimentara
158010,Ortisoara,Textila
43331,Oras Ianca,Alimentara
67906,Lunguletu,Mobila
100683,Municipiul Urziceni,Textila
108874,Sacel,Alimentara
108874,Sacel,Alimentara
149833,Patrauti,Textila
2381,Arieseni,Lemnului
76111,Costache Negri,Alimentara
35152,Tarlisua,Lemnului
149851,Poiana Stampei,Lemnului
166235,Tacuta,Alimentara
18778,Stalpeni,Lemnului
51546,Bolvasnita,Alimentara
108892,Oras Salistea De Sus,Lemnului
26975,Municipiul Salonta,Mobila
100709,Ciocarlia,ConstructiiMasini
100709,Ciocarlia,ConstructiiMasini
67942,Malu Cu Flori,Alimentara
76139,Cuca,Alimentara
76139,Cuca,Alimentara
158065,Peciu Nou,Alimentara
59764,Tureni,Alimentara
51573,Bozovici,Lemnului
108918,Salsig,Alimentara
117113,Glodeni,Lemnului
117113,Glodeni,Lemnului
84344,Ditrau,Lemnului
76157,Cudalbi,Alimentara
27007,Oras Vascau,Alimentara
100736,Manasia,Alimentara
133508,Gorgota,Alimentara
76175,Draguseni,Textila
76175,Draguseni,Textila
76175,Draguseni,Textila
76175,Draguseni,Textila
108945,Sapanta,Lemnului
43411,Oras Insuratei,Alimentara
100754,Adancata,Alimentara
100754,Adancata,Alimentara
92569,Municipiul Calarasi,Metalurgica
141722,Ip,Alimentara
10649,Dezna,Lemnului
84380,Darjiu,Textila
158109,Periam,Alimentara
108963,Oras Seini,Lemnului
125347,Municipiul Slatina,Metalurgica
174496,Titesti,Alimentara
174496,Titesti,Alimentara
68002,Manesti,Textila
68002,Manesti,Textila
174502,Diculesti,Alimentara
149931,Pojorata,Lemnului
166315,Tatarani,Textila
166315,Tatarani,Textila
18858,Stoenesti,Lemnului
18858,Stoenesti,Lemnului
18858,Stoenesti,Lemnului
18858,Stoenesti,Lemnului
92587,Modelu,Lemnului
51626,Brebu,Mobila
51626,Brebu,Mobila
100781,Adunatii-Copaceni,Alimentara
174511,Lacusteni,Alimentara
59826,Taga,Alimentara
117177,Gornesti,Lemnului
133562,Gornet,Alimentara
158136,Pietroasa,Alimentara
158136,Pietroasa,Alimentara
174520,Mitrofani,Alimentara
27070,Abram,Lemnului
84415,Frumoasa,Lemnului
84415,Frumoasa,Lemnului
125374,Slatioara,ChimicaFarmaceutica
125374,Slatioara,ChimicaFarmaceutica
35269,Uriu,Alimentara
43466,Jirlau,Alimentara
109005,Stramtura,Alimentara
10701,Dieci,Alimentara
51662,Brebu Nou,Alimentara
68048,Matasaru,Alimentara
149968,Preutesti,Lemnului
141786,Letca,Alimentara
76255,Fartanesti,Alimentara
100834,Afumati,Alimentara
100834,Afumati,Alimentara
43493,Marasu,Alimentara
158181,Pischia,Alimentara
59880,Unguras,Alimentara
125418,Oras Bals,ConstructiiMasini
84460,Galautas,Lemnului
133615,Gornet-Cricov,Alimentara
35312,Urmenis,Alimentara
109041,Suciu De Sus,Alimentara
51699,Buchin,ConstructiiMasini
92658,Municipiul Slobozia,Alimentara
100852,Alexeni,Alimentara
18938,Stolnici,Alimentara
76282,Foltesti,Alimentara
100870,Armasesti,Alimentara
10765,Ususau,Lemnului
166413,Todiresti,Lemnului
166413,Todiresti,Lemnului
166413,Todiresti,Lemnului
2577,Avram Iancu,Lemnului
2577,Avram Iancu,Lemnului
150043,Putna,Lemnului
117275,Grebenisu De Campie,Alimentara
76317,Frumusita,ConstructiiMasini
92701,Municipiul Fetesti,Textila
27169,Abramut,Alimentara
68128,Mogosani,Alimentara
125472,Municipiul Caracal,Alimentara
158243,Racovita,Alimentara
158243,Racovita,Alimentara
158243,Racovita,Alimentara
158243,Racovita,Alimentara
59942,Vad,Alimentara
51751,Bucosnita,Alimentara
109096,Sisesti,Lemnului
109096,Sisesti,Lemnului
43563,Maxineni,Textila
125490,Draghiceni,Alimentara
150070,Radaseni,Mobila
100923,Axintele,Alimentara
133688,Gura Vadului,Alimentara
141884,Lozna,Alimentara
141884,Lozna,Alimentara
19007,Suseni,Alimentara
19007,Suseni,Alimentara
19007,Suseni,Alimentara
76353,Fundeni,Alimentara
76353,Fundeni,Alimentara
117319,Gurghiu,Alimentara
10827,Felnac,Mobila
27212,Auseu,Textila
84558,Joseni,Lemnului
68182,Moroeni,Alimentara
133722,Iordacheanu,Mobila
51804,Carasova,Lemnului
92765,Oras Tandarei,Alimentara
150114,Rasca,Lemnului
35429,Zagra,Alimentara
125542,Oras Corabia,Textila
100969,Balotesti,Mobila
158314,Oras Recas,Alimentara
43625,Mircea Voda,Alimentara
43625,Mircea Voda,Alimentara
92783,Albesti,Alimentara
92783,Albesti,Alimentara
92783,Albesti,Alimentara
92783,Albesti,Alimentara
92783,Albesti,Alimentara
84594,Lazarea,Lemnului
76406,Ghidigeni,Lemnului
10872,Ghioroc,ConstructiiMasini
141946,Marca,Alimentara
109176,Oras Somcuta Mare,Lemnului
60026,Valea Ierii,Lemnului
51840,Carbunari,Alimentara
166529,Tutova,Alimentara
43652,Movila Miresii,Textila
101001,Baneasa,Energetica
101001,Baneasa,Energetica
84629,Lueta,Lemnului
27285,Avram Iancu,Textila
27285,Avram Iancu,Textila
125588,Garcov,Lemnului
174744,Municipiul Focsani,Textila
68253,Morteni,Alimentara
60062,Viisoara,ConstructiiMasini
60062,Viisoara,ConstructiiMasini
60062,Viisoara,ConstructiiMasini
60062,Viisoara,ConstructiiMasini
60062,Viisoara,ConstructiiMasini
60062,Viisoara,ConstructiiMasini
150178,Sadova,Lemnului
150178,Sadova,Lemnului
133795,Izvoarele,Lemnului
133795,Izvoarele,Lemnului
133795,Izvoarele,Lemnului
133795,Izvoarele,Lemnului
133795,Izvoarele,Lemnului
10916,Graniceri,Alimentara
51877,Constantin Daicoviciu,Alimentara
92836,Oras Amara,Alimentara
19114,Stefan Cel Mare,Alimentara
19114,Stefan Cel Mare,Alimentara
19114,Stefan Cel Mare,Alimentara
19114,Stefan Cel Mare,Alimentara
19114,Stefan Cel Mare,Alimentara
19114,Stefan Cel Mare,Alimentara
84656,Lunca De Jos,Lemnului
43698,Racovita,Alimentara
43698,Racovita,Alimentara
43698,Racovita,Alimentara
43698,Racovita,Alimentara
117426,Hodac,Lemnului
142006,Maeriste,ConstructiiMasini
150196,Satu Mare,Lemnului
150196,Satu Mare,Lemnului
125622,Oras Draganesti-Olt,Alimentara
68280,Nucet,Lemnului
158396,Remetea Mare,ConstructiiMasini
174780,Campineanca,Alimentara
10943,Gurahont,Alimentara
27329,Balc,Alimentara
101056,Barcanesti,Alimentara
101056,Barcanesti,Alimentara
60099,Vultureni,Mobila
60099,Vultureni,Mobila
19141,Suici,Alimentara
92872,Andrasesti,Alimentara
150221,Siminicea,Alimentara
76497,Gohor,Alimentara
109265,Oras Ulmeni,Textila
43732,Ramnicelu,Lemnului
43732,Ramnicelu,Lemnului
101083,Belciugatele,ConstructiiMasini
125659,Babiciu,Alimentara
68324,Ocnita,Alimentara
133866,Jugureni,Energetica
92907,Balaciu,Alimentara
174824,Golesti,Lemnului
174824,Golesti,Lemnului
51948,Ciclova Romana,Lemnului
125677,Baldovinesti,Textila
166636,Valeni,Alimentara
166636,Valeni,Alimentara
166636,Valeni,Alimentara
150258,Slatina,Lemnului
158449,Sacosu Turcesc,Alimentara
27383,Batar,Alimentara
68342,Odobesti,Alimentara
68342,Odobesti,Alimentara
142079,Mesesenii De Jos,Alimentara
117505,Hodosa,Alimentara
60169,Negreni,Lemnului
43787,Romanu,Alimentara
19212,Teiu,Alimentara
174860,Municipiul Adjud,Lemnului
76558,Grivita,Alimentara
76558,Grivita,Alimentara
76558,Grivita,Alimentara
51984,Ciuchici,Alimentara
166672,Vetrisoaia,Alimentara
84754,Lunca De Sus,Lemnului
150294,Straja,Lemnului
101145,Berceni,Metalurgica
101145,Berceni,Metalurgica
133919,Lapos,Alimentara
92961,Borcea,ChimicaFarmaceutica
43812,Rosiori,Alimentara
43812,Rosiori,Alimentara
43812,Rosiori,Alimentara
43812,Rosiori,Alimentara
150310,Stroiesti,Lemnului
76585,Independenta,Alimentara
76585,Independenta,Alimentara
76585,Independenta,Alimentara
142122,Mirsid,Textila
101163,Bolintin-Deal,Alimentara
109354,Valea Chioarului,Lemnului
27436,Biharia,Alimentara
117550,Ibanesti,Alimentara
117550,Ibanesti,Alimentara
117550,Ibanesti,Alimentara
19249,Tigveni,Alimentara
166707,Viisoara,Alimentara
166707,Viisoara,Alimentara
166707,Viisoara,Alimentara
166707,Viisoara,Alimentara
166707,Viisoara,Alimentara
166707,Viisoara,Alimentara
11058,Halmagiu,Alimentara
68404,Pietrosita,Lemnului
76601,Ivesti,Textila
76601,Ivesti,Textila
92989,Bordusani,Lemnului
125757,Barasti,Alimentara
158528,Satchinez,Alimentara
52035,Ciudanovita,Alimentara
101190,Oras Bolintin-Vale,Alimentara
174922,Oras Marasesti,Textila
68431,Poiana,Alimentara
68431,Poiana,Alimentara
133964,Lipanesti,Textila
150356,Stulpicani,Lemnului
84825,Lupeni,Alimentara
43867,Salcia Tudor,Alimentara
93021,Bucu,Alimentara
52062,Copacele,Alimentara
76638,Jorasti,Alimentara
2915,Oras Baia De Aries,Textila
142177,Napradea,Mobila
158564,Sacalaz,Alimentara
109425,Vima Mica,Alimentara
166770,Vinderei,Alimentara
27506,Boianu Mare,Alimentara
68468,Potlogi,Alimentara
101243,Brazii,Alimentara
101243,Brazii,Alimentara
134014,Magurele,Lemnului
76674,Liesti,Alimentara
19338,Titesti,ConstructiiMasini
19338,Titesti,ConstructiiMasini
93067,Oras Cazanesti,Mobila
150418,Sucevita,Lemnului
158608,Secas,Alimentara
35731,Municipiul Botosani,Textila
52115,Cornea,Alimentara
76692,Matca,Alimentara
125846,Barza,Alimentara
43929,Scortaru Nou,Alimentara
93085,Ciocanesti,Mobila
93085,Ciocanesti,Mobila
93085,Ciocanesti,Mobila
142239,Nusfalau,CalculatoareElectronica
134050,Magureni,Alimentara
117667,Iclanzel,Alimentara
11174,Halmagel,Alimentara
27560,Borod,Mobila
175019,Oras Odobesti,Alimentara
2988,Berghin,Lemnului
93101,Ciochina,Mobila
35759,Curtesti,Alimentara
76718,Mastacani,Alimentara
150445,Saru Dornei,Lemnului
68529,Produlesti,Alimentara
125873,Bobicesti,Alimentara
101298,Branesti,ConstructiiMasini
101298,Branesti,ConstructiiMasini
101298,Branesti,ConstructiiMasini
84923,Martinis,Alimentara
158653,Sanandrei,Textila
19392,Uda,Lemnului
52160,Cornereva,Alimentara
109504,Viseu De Jos,Lemnului
76745,Movileni,Alimentara
76745,Movileni,Alimentara
76745,Movileni,Alimentara
175055,Oras Panciu,Textila
142284,Pericei,Alimentara
134096,Maneciu,Mobila
68565,Pucheni,Alimentara
166869,Voinesti,Alimentara
166869,Voinesti,Alimentara
166869,Voinesti,Alimentara
43992,Silistea,Alimentara
43992,Silistea,Alimentara
43992,Silistea,Alimentara
76763,Namoloasa,Alimentara
101341,Brezoaele,Alimentara
3039,Bistra,Lemnului
3039,Bistra,Lemnului
11236,Hasmas,CalculatoareElectronica
93156,Ciulnita,Alimentara
158699,Sanmihaiu Roman,ConstructiiMasini
27631,Bors,CalculatoareElectronica
150524,Todiresti,Lemnului
150524,Todiresti,Lemnului
150524,Todiresti,Lemnului
35839,Rachiti,Alimentara
60419,Municipiul Constanta,Energetica
101378,Bucsani,Alimentara
101378,Bucsani,Alimentara
142337,Plopis,Alimentara
76807,Nicoresti,Alimentara
125962,Brastavatu,Alimentara
158733,Sanpetru Mare,Alimentara
68627,Oras Racari,ChimicaFarmaceutica
175126,Andreiasu De Jos,Lemnului
117783,Ideciu De Jos,Textila
93209,Cocora,Alimentara
44060,Stancuta,Alimentara
27686,Bratca,Alimentara
60455,Oras Eforie,ChimicaFarmaceutica
142373,Poiana Blenchii,Alimentara
11307,Ignesti,Lemnului
35884,Stauceni,Alimentara
125999,Brebeni,Lemnului
134194,Manesti,Lemnului
134194,Manesti,Lemnului
93236,Cosambesti,Lemnului
158779,Sag,Lemnului
158779,Sag,Lemnului
150588,Udesti,Alimentara
85056,Meresti,Lemnului
60482,Municipiul Mangalia,ConstructiiMasini
117827,Oras Iernut,Alimentara
126022,Brancoveni,Alimentara
166985,Vulturesti,Alimentara
166985,Vulturesti,Alimentara
166985,Vulturesti,Alimentara
166985,Vulturesti,Alimentara
44113,Surdila-Gaiseanca,Alimentara
101458,Oras Budesti,Lemnului
85074,Mihaileni,Textila
85074,Mihaileni,Textila
85074,Mihaileni,Textila
158804,Stiuca,Lemnului
11352,Iratosu,Lemnului
142426,Romanasi,Lemnului
60507,Oras Navodari,ChimicaFarmaceutica
93281,Cuza Voda,Mobila
93281,Cuza Voda,Mobila
93281,Cuza Voda,Mobila
175206,Balesti,Alimentara
175206,Balesti,Alimentara
19560,Ungheni,Alimentara
19560,Ungheni,Alimentara
35946,Oras Darabani,Alimentara
44140,Sutesti,Lemnului
44140,Sutesti,Lemnului
27757,Brusturi,Alimentara
27757,Brusturi,Alimentara
68716,Runcu,Alimentara
68716,Runcu,Alimentara
68716,Runcu,Alimentara
60534,Oras Techirghiol,Alimentara
167035,Vutcani,Alimentara
175224,Barsesti,Lemnului
126077,Bucinisu,Textila
76932,Oancea,Alimentara
11398,Macea,Mobila
85127,Mugeni,Alimentara
158859,Teremia Mare,Alimentara
93325,Dichiseni,Alimentara
101519,Bulbucata,ConstructiiMasini
44177,Tichilesti,Alimentara
126102,Cezieni,Alimentara
60570,Agigea,Lemnului
167071,Zapodeni,Alimentara
175260,Boghesti,Alimentara
11423,Misca,ChimicaFarmaceutica
142499,Rus,Lemnului
117925,Livezeni,Alimentara
36006,Municipiul Dorohoi,Textila
76969,Pechea,ConstructiiMasini
44202,Traian,Lemnului
44202,Traian,Lemnului
44202,Traian,Lemnului
44202,Traian,Lemnului
44202,Traian,Lemnului
150702,Ulma,Alimentara
158895,Tomesti,Lemnului
158895,Tomesti,Lemnului
158895,Tomesti,Lemnului
158895,Tomesti,Lemnului
19631,Valea Danului,Mobila
68789,Salcioara,Alimentara
68789,Salcioara,Alimentara
93370,Dor Marunt,Alimentara
101564,Butimanu,Alimentara
134336,Pacureti,Alimentara
76996,Piscu,Mobila
126148,Cilieni,Alimentara
27846,Budureasa,Alimentara
109773,Municipiul Drobeta-Turnu Severin,ChimicaFarmaceutica
142550,Salatig,Alimentara
11478,Moneasa,Mobila
126166,Carlogani,Alimentara
60632,Limanu,ConstructiiMasini
36060,Oras Saveni,Textila
44257,Tudor Vladimirescu,Lemnului
44257,Tudor Vladimirescu,Lemnului
77028,Priponesti,ChimicaFarmaceutica
150766,Vadu Moldovei,Mobila
11502,Olari,Textila
11502,Olari,Textila
19695,Valea Iasului,Lemnului
117998,Lunca,Alimentara
117998,Lunca,Alimentara
117998,Lunca,Alimentara
117998,Lunca,Alimentara
101617,Buturugeni,Energetica
134390,Plopu,Alimentara
158966,Topolovatu Mare,ConstructiiMasini
85243,Ocland,Lemnului
93441,Dorobantu,Lemnului
93441,Dorobantu,Lemnului
109826,Simian,Textila
109826,Simian,Textila
27908,Buduslau,Alimentara
167179,Zorleni,Textila
175368,Bolotesti,Alimentara
44300,Tufesti,Alimentara
60687,Oras Ovidiu,ConstructiiMasini
11539,Paulis,Lemnului
126228,Colonesti,Alimentara
126228,Colonesti,Alimentara
68887,Selaru,Alimentara
142612,Sag,Lemnului
142612,Sag,Lemnului
77082,Rediu,Alimentara
77082,Rediu,Alimentara
77082,Rediu,Alimentara
27935,Bulz,Alimentara
101662,Calugareni,Alimentara
101662,Calugareni,Alimentara
36131,Albesti,Alimentara
36131,Albesti,Alimentara
36131,Albesti,Alimentara
36131,Albesti,Alimentara
36131,Albesti,Alimentara
44328,Ulmu,Alimentara
44328,Ulmu,Alimentara
85289,Plaiesii De Jos,Lemnului
134443,Podenii Noi,Textila
118058,Lunca Bradului,Lemnului
93487,Dragalina,Mobila
60721,Tuzla,ConstructiiMasini
167222,Ibanesti,Alimentara
167222,Ibanesti,Alimentara
167222,Ibanesti,Alimentara
68921,Tatarani,Lemnului
68921,Tatarani,Lemnului
159035,Tormac,Alimentara
167231,Fruntiseni,Alimentara
11584,Oras Pecica,Textila
27971,Buntesti,Lemnului
44355,Unirea,Alimentara
44355,Unirea,Alimentara
44355,Unirea,Alimentara
44355,Unirea,Alimentara
3397,Blandiana,Lemnului
77126,Scanteiesti,Alimentara
167240,Rafaila,Alimentara
175439,Bordesti,Textila
118094,Magherani,Lemnului
19793,Vedea,Mobila
19793,Vedea,Mobila
19793,Vedea,Mobila
142676,Sanmihaiu Almasului,Alimentara
167259,Pogonesti,Alimentara
52570,Dalboset,Alimentara
85341,Praid,Lemnului
101724,Cascioarele,Textila
159071,Traian Vuia,Alimentara
77153,Schela,Lemnului
77153,Schela,Lemnului
93539,Dragos Voda,Alimentara
109924,Oras Baia De Arama,Lemnului
167268,Ciocani,Alimentara
44391,Vadeni,Alimentara
60776,Oras Cernavoda,Lemnului
175466,Brosteni,Lemnului
175466,Brosteni,Lemnului
150891,Valea Moldovei,Lemnului
36202,Avrameni,Alimentara
101742,Cernica,Alimentara
167277,Cozmesti,Alimentara
167277,Cozmesti,Alimentara
68976,Uliesti,Alimentara
142710,Somes-Odorhei,Textila
167286,Dodesti,Lemnului
11637,Peregu Mare,Alimentara
126326,Corbu,Mobila
126326,Corbu,Mobila
126326,Corbu,Mobila
77180,Slobozia Conachi,Alimentara
167295,Feresti,Textila
60801,Oras Harsova,Metalurgica
3459,Bucium,Lemnului
167302,Muntenii De Sus,Textila
93575,Facaeni,Alimentara
167311,Pochidia,Alimentara
11664,Petris,Alimentara
44435,Victoria,Alimentara
44435,Victoria,Alimentara
150935,Vama,Lemnului
150935,Vama,Lemnului
175509,Chiojdeni,Alimentara
167320,Puscasi,Textila
134559,Poienarii Burchii,Lemnului
93600,Gheorghe Doja,Textila
93600,Gheorghe Doja,Textila
159142,Uivar,Textila
85412,Remetea,Alimentara
85412,Remetea,Alimentara
77224,Smardan,Alimentara
77224,Smardan,Alimentara
52650,Doclin,Lemnului
28077,Cabesti,Textila
101804,Chirnogi,ConstructiiMasini
126380,Coteana,Alimentara
44462,Visani,Alimentara
60847,Municipiul Medgidia,Alimentara
142774,Surduc,Mobila
93628,Gheorghe Lazar,Alimentara
101822,Chiselet,Alimentara
118209,Mica,Alimentara
118209,Mica,Alimentara
69063,Valea Lunga,Alimentara
69063,Valea Lunga,Alimentara
150980,Vatra Moldovitei,Lemnului
126406,Crampoia,Textila
110027,Obarsia-Closani,Lemnului
36300,Baluseni,Lemnului
77260,Smulti,Alimentara
93646,Giurgeni,Lemnului
101840,Ciocanesti,CalculatoareElectronica
101840,Ciocanesti,CalculatoareElectronica
101840,Ciocanesti,CalculatoareElectronica
60883,Adamclisi,Alimentara
11735,Pilu,Alimentara
52696,Dognecea,Alimentara
44505,Viziru,Alimentara
85467,Sacel,Alimentara
85467,Sacel,Alimentara
126433,Curtisoara,Lemnului
93664,Gradistea,Alimentara
93664,Gradistea,Alimentara
93664,Gradistea,Alimentara
93664,Gradistea,Alimentara
175590,Ciorasti,Alimentara
77288,Suceveni,Alimentara
28139,Capalna,Alimentara
151022,Veresti,ConstructiiMasini
110063,Municipiul Orsova,ConstructiiMasini
159213,Varias,Lemnului
52721,Domasnea,Alimentara
11762,Plescuta,Alimentara
44532,Zavoaia,Alimentara
134648,Posesti,Textila
77313,Tudor Vladimirescu,Mobila
77313,Tudor Vladimirescu,Mobila
142854,Samsud,Alimentara
118281,Oras Miercurea Nirajului,Alimentara
101902,Ciolpani,ConstructiiMasini
44560,Cazasu,Textila
60945,Albesti,Mobila
60945,Albesti,Mobila
60945,Albesti,Mobila
60945,Albesti,Mobila
60945,Albesti,Mobila
77331,Tulucesti,Alimentara
93717,Grindu,Alimentara
93717,Grindu,Alimentara
36373,Braesti,Alimentara
36373,Braesti,Alimentara
36373,Braesti,Alimentara
52758,Ezeris,ConstructiiMasini
85528,Sarmas,Lemnului
159259,Victor Vlad Delamarina,Alimentara
19999,Vladesti,Alimentara
19999,Vladesti,Alimentara
19999,Vladesti,Alimentara
28193,Carpinet,Mobila
142881,Sarmasag,Alimentara
110116,Oras Strehaia,Alimentara
