CountryCode,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
AZE,0.010806727470117168,0.049867298324520484,0.008628043998720494,0.08389576562234886,0.3814461376630807,0.18463053343765362,0.004819411304928757,0.001973615617799977,0.025285542829297063,0.001599501605155982,0.008157453189427339,0.0014097722483449205,0.14267162693902155,0.05375819379325581,0.000643300593378387,0.005006447671547378,0.022535009083862148,0.004600842721290834,5.651972916178935e-05,2.2873542547878433e-06,0.004636433207123864,0.0031067713223359417,0.0004627642733722163
BDI,0.3238473937515448,0.014258004727019696,0.08755426560289165,0.19276514162714214,0.11970066281052043,0.0937322136368704,0.005987084971424645,0.03468554191773187,0.0611892190571296,0.0036837091289857638,0.038846553560126916,0.002041664107485437,8.127328262457457e-07,0.00014503909016203178,0.009836876377202913,0.0015807310650380337,0.00046916150256471424,0.0006237416003289606,0.008605487191492584,1.048760300650899e-05,0.0003846752917163869,7.42391667201748e-06,4.41087301161126e-05
BEL,0.3360351363378823,0.37605243214746953,0.017249413652419544,0.005556429381904758,0.15566977168908822,0.013469349601120588,0.00017293535022868103,0.004734422423354051,0.03153055286965565,0.005475278817457403,1.528227640566964e-05,0.02033071010476999,0.00013775304100073542,0.0032945085232577984,0.0007283107601623502,0.006386821649857037,0.020177590731754447,0.0016982513393219982,0.0008846073109789033,5.230717156396115e-05,0.00027288792698084384,5.391165096774847e-05,2.1335242397551018e-05
BEN,0.672693862299836,0.058777839338133187,0.0009199320438007182,0.08878482287588911,0.0071390989782870425,4.59847465750008e-06,0.031873047000354475,0.01074668913502763,0.021247632328665417,0.04715799368020223,0.004360611072031786,0.028160527724407396,0.0022649846315758687,0.01839066218653555,0.001199504301597648,0.003053364338955842,0.001536540273605412,0.0005835736491154609,2.083053889902145e-05,4.407694107327598e-07,0.0008673376566956892,0.0002143024862836185,1.8042160325490442e-06
BFA,0.4568969830111775,0.026483182190948105,0.02037422705078297,0.13244188479283409,0.21549796914098993,0.037252434586625506,0.0041125959576474806,0.005728659565079215,0.02303701718778735,0.040930452295358154,0.01678820058817824,0.009528552872443148,0.00018735889145192296,0.007334813788330556,3.6239098538827505e-05,0.00023435618229682568,0.0018845029793845365,9.713091764012654e-05,0.0010064420870352017,5.839415800641737e-06,3.323119186356947e-05,6.191460196548259e-05,4.60116058405964e-05
BGD,0.06227981046542781,0.14787066007113797,0.18040599528602821,0.23469393932164417,0.12626451678168496,0.018051189012695448,0.007086823115033124,0.088761781575565,1.5631273693471242e-06,0.00022758010339795539,0.01438359028775981,0.005441902710080428,0.0006408123874814933,0.02854477977989167,0.0452843067097693,0.006383418163907311,0.007819844791967134,0.013441247475825367,0.0007266171481628389,0.008626960723607286,0.00037682357317881705,0.0006328534466350599,0.0020529839417496197
BGR,0.4761777195909256,0.04673815122150151,0.14154912322342084,0.014878823494622285,0.09772959621931614,0.0019314434484555317,0.08563074939589096,0.06074889091597171,0.0069326457281831955,0.005325737363303134,0.028442616947218762,4.5444494577586105e-06,0.00244483939565149,0.016940672818878164,0.0011755832900630346,0.0005609744980274049,0.0031269108175957148,0.0007611726718990791,0.007393977793062103,0.0005204638788458282,0.0008236085825109091,0.00015247274552119462,9.281509677693074e-06
BHR,0.03782403882678418,0.163057323965869,0.04113986016214714,0.00037393713373632824,0.0017233833107057383,0.4566831610004141,0.012252872539970887,0.003163232218421441,0.004331348453106275,0.03309202769958726,0.008332800226058727,0.005944560892593458,0.1907887770976269,0.03461587058064157,2.3759469992612043e-05,0.0032561754794686194,0.0012801028768265868,0.000404124082662786,3.4416214606632125e-05,0.00013288921386332366,0.0014241791917015433,8.026002127499227e-07,0.00012035676300206295
BHS,0.006237788283362833,0.06030071844965606,0.0726109767895997,0.15947039086834658,0.06689975485788759,0.21781125778421687,0.03947458178918848,0.1749617162000121,0.00928487767805398,0.08259606582992181,0.01834614493931164,0.004834600584559234,0.032021990388760184,0.046082187233577675,0.0050994834381952354,0.0004560368340197772,6.414512445939973e-05,0.0009998761277423575,0.0016644556611125929,4.318689421011986e-05,3.654394877944193e-05,1.6415812531332278e-05,0.0006868044824951279
BIH,0.1802046064355061,0.15393050271693828,0.05284432810008388,0.3160681784642839,0.04956082603948801,0.0020329767581395188,0.0031134071023040145,0.083094892728438,0.03336847343565994,0.08245804916823102,0.0012581152918573976,0.00914256694291684,0.0016470674209218652,0.00020068131819796513,0.02646177593169317,0.00105342973473029,2.4758668671860147e-05,0.0016571335460401802,0.00013018412548064105,4.784536162938769e-06,0.001514886560859949,1.2614404478113144e-05,0.00021576056891597562
BLR,0.37900072686315955,0.037235633719861265,0.2836266676573837,0.029424399241631115,0.005389266321971295,0.0010656057954687628,0.0026004073881075304,0.00012265378697969004,2.456667675920168e-05,0.1476471665444837,0.028410977923780147,0.038388129681632216,0.0016612828748998516,0.0005135035631216267,0.02232115085371227,0.00821069552998166,0.0015451395646126692,0.011470728324318806,0.0001687092158146926,0.0001907558360727879,0.00011900503881787561,5.142319023362728e-05,0.0008114044071959678
BLZ,0.3877610403905115,0.10396979750488763,0.1486029129903189,0.2253113621129843,0.034579697676378834,0.017971048541643952,0.0020348078504013353,0.014406408363077267,7.294220821022136e-05,0.040239908437789455,0.0039997735269340804,4.139043191349869e-06,0.001883744122767713,0.004486331668975868,0.010113812402122124,0.0004969614595268846,0.000503286090112805,5.472187804481279e-06,0.0014150051106102896,0.001210438385665728,6.296461913608166e-06,0.0008083233498187239,0.00011649011435301628
BMU,0.08686126015783072,0.15917179525017278,0.0719099919798364,0.0001912340488281172,0.00017692690150229625,0.11347920722387805,0.02156837396266078,0.007605350940116289,0.23767200045333275,0.006831345655696207,0.0009748684963141198,0.00836487742742132,0.06825705150432607,0.04945931995839758,0.0073240326355364475,0.1264693408994769,0.013236220732323748,0.005106924494861022,6.740001365328216e-05,0.007084512583492359,0.004539824077686445,0.0035498531883479297,9.828741430832907e-05
BOL,0.2340821557986308,0.033329775274436306,0.03086766849812118,0.027394463104023742,0.10371869991118071,0.003686109980463399,0.016359052368322104,0.42777823909702706,0.039784394845498464,0.032408946796290826,0.002962334924107076,0.02446799752782946,0.0001988666935790427,0.0004820316674180449,0.009377347013372991,3.264591122972982e-05,0.00020491310888058362,3.874687006169628e-05,0.01205517725674801,5.530091026780783e-05,1.9709500102482254e-05,1.238524318825509e-05,0.0006830376992201306
BRA,0.24330705768828806,0.00305438918072117,0.22516274476526962,0.1718572951742333,0.10522969387506194,0.011277217298790386,0.04258208898158268,0.0259920240923548,0.026480153849903456,0.11171978621993606,0.01186004970441842,0.002277675529013985,0.004098670096883381,0.004866525693871025,0.003542542079274799,0.0008555018953783495,0.004659684094549441,2.297174848405379e-07,7.65744289805984e-05,0.0005390140614774668,0.0005245326962420513,2.3865382651277542e-05,1.268349363300431e-05
BRB,0.09195072751082775,0.12612417094514342,0.07004020977476332,0.2284425413279334,0.025577081225721294,0.0696089813555084,0.12737757028146454,0.025612750977461348,0.08880089568115519,2.0595034368638864e-05,0.0011881955138533763,0.09373447452941547,0.00011638905184631686,0.00023650890585134933,0.008363228279730815,0.02192871275426351,0.0028962801961452964,0.010007178203097593,1.035649413459804e-05,0.002982784697028145,0.0037705508401607714,0.00010394261112490588,0.0011058738090004613
BRN,0.17817359652018214,0.0396464318619509,0.09806314355330892,0.001598702934796472,0.13079359307933794,0.08554434065415648,0.036786392405061215,0.0031446892995324154,0.05728883124331368,0.13230388525561182,0.0008189879837471394,0.014284641202258731,0.11315751689736345,1.4935270936080332e-05,0.024726613705040427,0.07317741365437054,0.005374642172646704,0.0003838243230030412,0.004050078747773294,0.00020279403204684506,0.00036204777650985164,8.672638941668176e-05,1.6171037635013505e-05
BTN,0.11311333153520271,0.16969866781855225,0.04882787071583258,0.061080820948649896,0.0014977920797713267,0.014368468590590709,0.030351063613023456,0.09671588496737686,0.1376827502935693,0.0035558390671040015,0.08696826768155858,0.10426657424228049,0.008746960852496375,0.02724688096035747,0.019686917785417257,0.032967333144503924,0.0009075714302124454,0.0009180385750012756,0.0013266579960223587,0.03393502829338928,5.953913879803716e-05,0.005297398317729763,0.0007803419525597289
