CountryCode,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
BWA,-1.2015976154887116,-0.5981358839541131,1.0101510841424537,1.820647376293079,1.1990876413857177,1.540307271920994,0.46283168351589954,-0.3765779506149508,-0.018565711618202713,0.19866301662251162,1.0148305623731433,0.1750139472602075,0.43299701602884,-0.7028243932844571,0.37651978640112294,0.1765751925308783,0.8583738434162796,1.0101691711387302,1.1526749209424072,0.4392958312842749,-0.28668345836883347,-0.46847711366076833,0.0
CAF,-1.3291409132135596,-0.6617304947664451,0.5099089281873276,0.22698965266409907,1.7536112166793638,0.1807219747257515,0.6621033719829654,-1.3854647851459267,-0.9967761438342162,-0.37013664217765135,-0.38868053096441796,0.06504545105656202,0.7169719773491767,0.10962916514452825,-1.4919865925687252,0.6278514497341273,-0.3267733570963574,0.04329727100964259,0.35822586294278363,0.2449144379906729,0.47939486341398296,0.4328612711368608,0.0
CAN,1.0830384573619252,0.6067585943263316,0.18503309903282236,0.22712438854521821,-0.3864021370125124,-1.182347933354208,0.20152540536261432,0.2510603085654352,-0.003728157831654206,0.6609413217965119,0.33964295473175055,-0.5302725430951909,-0.4490584698390241,0.9312492730277313,-0.5996282059663153,-1.702362600314312,-1.3756327911279083,-0.1241363175317616,0.2220063104855411,0.1888626906024774,0.08362076509268057,-0.09401616806677345,0.0
CHE,1.455859515708807,1.991140147383185,0.9646492096514985,-0.3240013637066075,-0.5673825348302464,0.38305723054564744,2.260169088049379,-0.28033827786073107,-0.6198529770134693,-0.43896688265365796,0.861757891158422,-0.7100801367839308,1.6991127324439774,0.8833176257832667,-1.2392681387787972,1.1915449787312102,-2.409026906446789,0.20830079984561806,1.275304825981336,0.026040766688864764,-1.0633493409449981,-0.021295631044432856,0.0
CHI,-0.2589924335029736,0.2969963224843542,0.19445766415542087,-0.16602818376829329,-0.12473150945783727,-0.05241206970973364,-0.275087497518775,-0.011203731474788288,0.24393128829412877,-0.02630040754830907,0.06392638779735191,-0.07902769826816623,0.07610177917396403,0.31158478356926284,0.01895249245605828,0.10496846108699183,0.007026137063307034,0.34555654190389784,-0.20166358138651974,0.6390547176489728,-0.040948472139688365,-0.09705313954967396,0.0
CHL,-0.23705097617360174,0.4490460169138265,0.8939539399071188,1.1404678776467732,0.5078270124395204,-0.11004701279424517,-0.7410575612414931,1.5327062367500583,0.18784694180733205,-0.9459679689135155,-0.23573879821515786,0.6643838533834435,0.17782741908604002,-0.7779630022641673,-0.7319228001924764,1.3147201273189886,-0.2755005801730916,0.5900278666803094,1.5628997972340284,0.862857674963096,0.9794826801169473,0.6163897884533739,0.0
CHN,-0.33856909548272207,0.458673805300984,0.3443779370552734,-0.37792601735499026,0.8602732231704606,-0.25772599231462895,-0.38600199792463824,0.5548542368717176,-0.19203252754022096,0.30449650475094764,-0.8231513385814415,-0.09812366605434428,0.3494920172838264,0.8413440987062003,-0.5884930063885413,0.4654427692546711,-1.135886381824711,-0.30576763283635683,-0.5714825845052739,-0.2032950068486983,-0.08840906842661841,0.21157586265233436,0.0
CMR,-1.0346043933865265,-0.48684806848284,-0.029346317804318227,-0.5017180772439581,1.224164544336251,-0.6170895530828087,0.036561469199412826,-0.1577347289254629,-0.3829291506409394,-0.26816629872534076,-0.03170009901480305,0.07618395486621438,-0.0550760109076166,0.14205953780956634,-0.17381515048877558,-0.37519487616257996,-1.0453837439958609,-0.5440843652064907,-0.4041394694090043,0.09106937536172446,-0.9908403224145149,-0.7145353509655127,0.0
COD,-1.0641017634806786,-0.49934151807008603,-0.3503645399275329,-1.024926974029453,0.8007240421336411,-0.5286544201850085,0.17004310452053456,-0.47723644209252647,-0.35476363665570615,0.023763327165340443,-0.19471704106406978,0.40880791170698033,0.2859228166648062,0.6818812539959923,0.21713188391399435,-0.44438187855862993,-1.4672669230845947,-0.9924920514367043,-0.25906854523486383,0.5142563148988132,0.6349735187570847,0.6352075435336049,0.0
COG,-1.1551767524271557,-0.5743550474191841,0.030721417502448056,-0.27040868758084463,1.4050571907964504,0.07474733337381591,0.33176795703514966,-0.16510974411578194,-0.3830476136686277,-0.04773455268218496,0.5686138768719936,0.21247348470281202,0.23231516238475633,-0.029284979770659147,0.12010984964077967,-0.8646244741084559,-1.4307758233802736,-0.21986000021192034,-0.06506623551598237,0.3768215936189598,0.022592740051305543,-0.08279032193984305,0.0
COL,-0.5985547259553794,-0.12690100249435993,0.81592181831671,1.3896796795895023,0.9387760032197536,-0.4283746479532205,-0.3111359302066103,1.21882101757567,-0.037851068517372584,-0.2437200900335169,-0.19038145751475638,0.10485012731085243,-0.3788701636265898,0.06875807132383069,-0.1417843361407136,0.09229045932749827,0.22703962736735173,0.2606694825329332,0.19477016902432445,0.7463934936504719,0.33184547238824924,0.3176470847889482,0.0
COM,-1.186383939420065,-0.5037630341369382,0.42754948108197427,0.10095044019204989,1.6303476476999244,0.3224225969815277,0.9348801607883773,-0.28748055713790466,-0.39537294532221867,-0.27355404824653273,0.5405230047201223,-0.2591344239448518,0.627211094550921,-0.08324270024453854,-1.1037993543189775,0.15648148376136617,-0.2018896353537624,0.9093102518316347,1.5534097704889136,0.40285415425397325,0.7456971022764998,0.4088461694892199,0.0
CPV,-0.7188678847720371,-0.07573246795517224,0.3897914034678017,0.2063158767866594,0.6962891940987965,0.17898687065852642,-0.012977919612449375,-0.094915781764337,0.19655703295029017,-0.4901547181453819,-0.03277890449678919,-0.9942825027940824,-0.2693161020359095,-0.05239316221355335,-0.030392780547613053,0.5051545871005951,-0.2727451355329548,0.37298579391919306,0.2798636355991016,0.2747606892656672,0.1753755141935024,-0.12046039733558647,0.0
CRI,-0.2361932419252267,-0.07815058574527961,0.5690323973430513,1.2732348564702496,0.48754077830799675,0.6086363290213918,0.37182928450789077,1.7028799518668618,0.17263489328920076,1.9174793313194207,0.047203998330884414,0.43798242447638336,0.07116879230613275,-0.47709868887158785,-0.14127734866580466,0.3922004116150152,0.5748806228583446,-0.8438561393379858,-0.39710854839907633,-0.3204621257469874,-1.07501338814081,-0.48728855808903193,0.0
CUW,-0.1606965532811109,0.646963713444065,0.5897973343711285,-0.20960089384374211,-0.22598538300919244,-0.9056513381786581,0.526864590957438,-1.1468058699130463,-0.6346458641964062,0.5562082782100716,0.8742239319847156,0.2758362223987608,0.9323481726792655,0.35960682011340017,1.282541750336928,-0.7692531382352211,-0.36320801348389486,0.47513291934713076,0.15272241480164173,-0.718829068200202,-0.4609028315878797,0.8145104125692797,0.0
CYM,0.6114126876219628,0.32484084134098495,-0.830739096249955,1.4554360187072983,0.07397127900943573,-0.9628326393159848,-0.754909115603188,-0.052683886419193623,-0.2780699516673708,0.8211017472177685,-2.4148719103614673,-3.164268971742219,6.377736626021582,-0.7391222003090038,0.7800904850723289,-3.157662988004534,1.112298954681741,-0.9695091683579963,0.7101528036068651,-0.15989373559765668,-0.08745318158545162,0.7375252703253233,0.0
CYP,0.6605133460555836,0.31250547879810014,-0.3153068125784881,0.8342591000444181,-1.362760090995937,0.5352390216014332,0.9799586733692441,0.7026800565133783,0.5599857338234812,-0.7015948330301186,0.670088066549673,-1.306336189731949,0.6969049442284738,0.8703041265990241,0.2038459319749917,0.27742616827783073,1.4315728984578688,0.7485735547195762,0.6994700602593331,-0.16981018670927928,0.28637671299697104,-0.5420961074397523,0.0
CZE,0.8842044801025818,0.8809756183584599,-0.5508521780885044,-0.784976481407911,-1.0528183308393286,0.5598623140646077,-1.2527262078908465,-0.06338934626962266,-0.6252560168461039,0.07558897791529239,-0.7825962533184625,-0.5801828545905139,0.5258224464385217,-0.3277109273956645,0.2903114358128505,0.4368315979310999,0.06445294746604391,0.3001036492135201,0.27169934352456715,0.5436664447442348,-0.013752953926538802,-0.11954782033177574,0.0
