Country,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Netherlands,0.5732969867719008,0.3043328679825521,0.007153228180737655,0.0018018733016055867,0.012731537870375724,0.037092243640541214,0.02465757638707316,0.01256398155615942,8.150863860637331e-05,0.003280436367861466,0.00973354005528301,0.0014117306528611611,0.00197269951571582,0.0031419009412031722,4.043287828508753e-05,0.0015033176567058979,0.0022218293401231573,0.0015154551832757908,0.00041310225694458723,0.0006626782745730175,0.00018555451155788797,9.863104444563638e-06,0.00019565493161351425
Norway,0.6155891507048228,0.1478813864984087,0.010245266762490648,0.001156791534432281,0.029562481893661632,0.028060045384312324,0.0008151487760529547,0.005005148339151451,0.02297264427936953,0.005662094202867855,0.028538652099546563,0.053965965025910514,0.004758348780089115,0.000649698991938815,0.01892049968463251,0.0028886974254609386,0.00787115735589608,0.012679451407390152,0.0001573352742545869,0.002419003571227731,5.757423683973428e-05,0.00014343581115958378,2.196008339035033e-08
Nepal,0.16504256701991638,0.0971658258626707,0.1418598720506308,0.21932979297994634,0.18120527242355464,0.011813598897720866,0.03245868723965992,0.00817250179678388,0.055694656606650704,0.029175723419941076,0.026602415281398225,0.00010015371401249547,0.0002550663765325851,0.010559251414685602,0.011418615923398642,0.002172351141727273,0.003151707999615441,0.002959003448537962,0.00025528481430315793,1.8148566714111754e-05,0.0003685621652257371,7.286452750681635e-06,0.00021365440362279206
New Zealand,0.5555231120975079,0.06946758879940439,0.0045827158771423555,0.0682669608356331,0.01263850884480806,0.017310428458040653,0.017471580832137117,0.09080344545442308,0.028226704548203394,0.01737827720159773,0.00015866638853799376,0.06240201535063259,0.00024387601515783947,0.02681883540222092,0.008181974605874342,0.010091187456714454,0.0002628419736166668,0.0022238429774268605,0.005054569206461163,0.0016691281817736868,0.0002459600500017169,4.101367401397036e-05,0.0009367657686700533
Oman,0.16020714617836843,0.04544045181569859,0.10767948205181392,0.030579731312594574,0.12395503019747212,0.0005290412516121741,0.035145348892452,0.05251637998372599,0.012047696363472719,0.09188442756666305,0.0004893905663965647,0.05260141706337486,0.1486031610241456,0.006284942659437027,0.007093304200165197,0.08556706205081527,0.035222808948073815,4.9326581863196746e-05,9.633191742619104e-05,0.0003458426571590754,0.002324904215798288,0.0012855254680324342,5.12470334390287e-05
Pakistan,0.05143747435597622,0.21515331916115432,0.27989519384131195,0.20989367083392024,0.09695346186388495,0.06064320944319129,0.024157379428517648,0.00021900783882384525,0.0018181119764871644,0.006994461705482274,0.014716926735512238,0.017436614567191856,0.0014066744713681072,0.002925907476713581,0.0007153192235969098,0.009259073711796241,0.0003255285875953654,0.0008832110457900986,0.003646838611996843,3.791286779411543e-05,0.00016288019183158663,0.0010000617059662566,0.00031776035409692853
Panama,0.29622893115618115,0.008438017991463194,0.09573383540022634,0.01785997654317757,0.16834434954404323,0.23226895126991723,0.015504848772712968,0.03732778158288006,0.06811877885491173,0.009217700902857362,0.012832046766225706,0.016885631401661792,0.002321546082949909,0.0021305187798847072,0.01129569627611486,2.5248900494719955e-05,2.7959832488246983e-05,0.00027420893639875385,0.004778505549636451,2.5779722591082398e-06,0.00036620633249935763,2.5745266634791156e-08,1.665540574876401e-05
Peru,0.5030932005918081,0.014800674516603963,0.013660334277112343,0.0037638198036106024,0.04325184970113477,0.17810886078907529,0.012456552937890766,0.13034771871184833,0.04189064274472094,0.0009676166004267355,0.03781141813330187,0.00025624267444099345,1.4135785052215272e-06,0.0002471234134967525,0.0005854495048590921,0.0002070130401057922,0.003533804811279359,0.00031598124104605633,0.013687046851658427,8.393367569609026e-05,0.0005237525382218013,0.00039076729169093116,1.4782571465552004e-05
Philippines,0.0027194050351068396,0.014844952571874395,0.02770774370987028,0.042433000870668966,0.05521643508956045,0.0005874806373068906,0.0408547593559443,0.4637920830245916,0.21883564568447195,0.09543142762976202,0.003717718546312602,1.2619938633410882e-05,0.0033686172990693994,0.0021568404840976514,0.026349256253462103,0.00015462170653770228,0.00011821757553691717,0.0002032722404410364,0.0007624803588929533,0.0002675546523146495,0.0004020365605209129,5.906026918066782e-05,4.770505842492293e-06
Palau,0.05474456101220987,0.12146537111165004,0.007289820708501476,0.019013037521502137,0.0027613439260790185,0.31597999881213024,0.004995042817758332,0.24954328480816299,4.603768420653813e-05,0.006650567761641753,0.0018676271433074858,0.08959450579691561,0.01803914546508288,0.013419044729384114,0.00018487441700070674,0.040956167583220064,0.005034621848854001,0.006854252740956262,0.0012855159453348402,0.03613058276968683,0.0010657078203716852,0.0009485355061658371,0.002130352069877179
Papua New Guinea,0.5327399747635858,0.022073544914622985,0.006382097070933316,0.00046088930609092206,0.002642358797520012,0.0934552383650163,0.016044286418112303,0.057922402159448605,0.11681183601430803,0.06430133595564437,2.2171733367060735e-06,0.00045769942526185806,0.032960369844883944,0.037334899539094545,6.601099651475541e-05,0.0011775840307892446,3.327287135180174e-05,0.00026448726631225376,0.012619783302396489,0.0006957350034473657,0.0008795564299094886,0.0005052846151919095,0.00016913573622677375
Poland,0.27650378212091836,0.13834436868087163,0.034365846082568596,0.004116933425187348,0.22390041093760035,0.004535152475845631,0.1040168782533912,0.0002459107699748113,0.004465271612174065,0.00014807682500266023,0.1570400640262335,0.011022358773662113,0.0009961390260527026,0.0008187736733357383,0.0031368809903672364,0.006925820669101656,0.020680129191474047,7.619743776219383e-05,0.002282399439310244,0.005800878822662762,0.0001540886419921886,0.0002770034929917937,0.00014663463151914308
Puerto Rico,0.01274644089089056,0.18463896373703564,0.08114160024387362,0.2935514643974662,0.050850846877941905,0.00040826019241076275,0.02160003038003674,0.049260092486565044,0.010152296442137393,0.052666023959364046,0.0725273232460333,0.10175832147982977,0.0220149793384611,0.00048550125296086547,0.009101881061732861,0.026889042829321842,0.004707627642727423,0.00017503690081756106,0.005268740093929253,3.9426977047299015e-05,8.097057790658122e-07,1.4444094000738594e-05,8.457696372605324e-07
