Judet,Fasole uscata,Ceapa uscata,Usturoi uscat,Morcovi,Mere,Lapte dulce,Branza din lapte de oaie,Oua,Miere
FOCSANI,-0.743634917628535,-0.7487959185728432,-2.1262226900726615,-1.2932450368526662,-0.027290688511013485,-0.18996269094820334,-0.5344100368202265,-0.8688886006112841,-0.02824086443164609
GALATI,-0.2973951351750196,0.17778253197504293,0.7164446020897007,-0.8690606647649917,1.2314923190594347,1.7768227456367465,1.4162520161180556,-0.7187856541573684,-1.2932629887936744
GIURGIU,1.2101716974382075,0.023352790217061232,0.45802030280221323,0.642096160797347,-0.027290688511013485,-0.18996269094820334,-1.0220755500547969,0.8823124413510647,-0.37387532463985074
IASI,0.004118231347625845,0.3939841704362157,1.1471517675688465,0.29744635847611206,0.6254116117107009,1.304794240856358,-0.5344100368202265,1.38265559619745,-1.179203616924967
MIERCUREA CIUC,-0.4662426204277006,2.3397989165867745,0.8025860351855298,0.9602344398631029,0.11257409010792532,-0.18996269094820334,0.4409209896489145,0.6321408639278724,1.3542969764011725
ORADEA,0.004118231347625845,-1.150313247143593,-0.48953546125190756,0.8011653003302249,-0.4468850243678299,-2.1567481275331533,-1.63165744159801,-0.2184424993109831,0.0028662369870935058
PIATRA NEAMT,0.3779948058357057,0.023352790217061232,0.37187886970638406,-0.6834800019766346,-0.23708785643942118,-0.18996269094820334,-0.1686609018942986,2.133170328467029,0.03051699380374929
PITESTI,-1.2984195120302024,0.548413912194196,0.2857374366105549,-0.3653417229108788,-0.6566821922962376,1.7768227456367465,1.5381683944266982,-0.3685454457648989,-1.3520208470290693
PLOIESTI,-1.3466616506738258,-0.37816453835368874,-0.4033940281560784,-0.5244108624437567,-0.19046626356644156,-0.18996269094820334,1.1724192595007703,-0.8688886006112841,-0.02824086443164609
RAMNICU VALCEA,-0.2973951351750196,1.5676502077968701,0.45802030280221323,0.29744635847611206,-1.2860736960814616,1.304794240856358,0.4409209896489145,0.5320722329585952,0.3934331770223644
