Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
gl,0.011822203876147123,0.009117426959683664,0.38268523047829567,0.033343301122016146,0.16538675372501546,0.033017003746327336,0.0369447871886638,0.0008320566663956422,0.02942598183038785,0.1145501269941419,0.009376860326660401,0.038574406295751484,0.005685507142080264,0.0006175080282296274,0.00700040870356672,0.06604500371110632,0.008792857894821537,0.0008474932885405841,0.00555743109228189,0.00747576435583718,0.0007401546023406317,0.00263594398527745,0.0023439067992300443,2.5797168090940554e-05,0.015497174900862143,0.006021887797576105,0.00023333493768577476,0.003948271639201859,0.000387447731635406,0.0007214816916402272,0.0003464853205089903
gr,0.5211307457723009,0.10692953735830044,0.03182912525434459,0.02057874978325622,0.026387960252936372,0.0083070984584066,0.045687932291069044,0.0071328380542742915,0.014857620434168287,0.034694000374540734,0.009169638457705713,0.03593017749633308,0.0318125413731482,0.006691265699559647,0.044274046768074796,0.0009599956555506256,0.03287972752450377,0.00040686517485089186,0.0009323997909048353,0.004722715415488828,0.0010474606232443332,2.4609528881508576e-05,0.008454973412045928,1.868233990707976e-05,0.00044751989700776316,0.0010040484119997438,0.0024247208152262645,0.00034674058282726866,0.000508620439990576,0.00030532586300591755,0.00010231669614584336
gj,0.05228293565816954,0.04639431939122835,0.0003606718423553233,0.00037050426605131473,0.007666728115899513,0.07751748829164994,0.0187870247809311,0.1918484346446905,0.0015708811101165585,0.1405224678135732,0.18444189877967884,0.02971613347959811,0.012856989587398405,0.0006125125068472561,0.011947583270191181,0.04114009464698671,0.03167853832341629,0.004119903142268278,0.027227764778927063,0.01114821334135785,0.05334949582972543,0.00038672783963961994,0.015152544294437428,0.0007794105628944525,0.017023802140016264,5.430876220672704e-05,0.017148903133352295,0.0005706368947926355,1.4511354676312705e-05,0.003306613717006087,1.957699917482205e-06
hr,0.019075977038669204,0.14340797697084628,0.02718281345198387,0.11889811306647327,0.04625758183744555,0.15597224113059727,0.12012597842634037,0.018097918841068664,0.009866820133276442,0.0476333976495863,0.18761647671422496,0.019424820860100687,0.012892541171378244,0.0031465294544409028,0.020024645077224346,9.196580829297397e-05,0.010813401557120987,0.001009094129600743,0.00939510885326761,0.006712447465321078,0.0006529717420468604,0.011873795321125816,0.005037145534781698,9.268592370062113e-05,0.00011031461877304215,0.002876946720185269,0.00047278871988917976,0.0004326162338155431,8.660252063764581e-05,0.0003773519243712318,0.0003409311034133015
hd,0.06407384921758937,0.2987779022530461,0.03503587700796965,0.05281321049525624,0.004738542560118861,0.058974699349877854,0.2299477500473461,0.028280628397009733,0.03468859282388801,0.07299168397420198,0.015169340559328925,0.013211253913735833,0.008409709126969905,0.026437548462500005,0.03445303187940805,0.007785859081740729,0.0020559979822183773,0.005304815820059221,0.0002797670923472354,0.000611204095856379,2.4112391798987492e-05,0.0019650928575803365,3.557667247821583e-05,0.0017232977861560462,0.0010575075333730598,0.0001081558016564089,0.00017683149447658646,0.00043035511808535155,4.628708139468406e-06,0.00043305901797925775,1.1847780744416937e-07
il,0.5302733004664651,0.043508958281610964,0.008400822116658144,0.09785259617246941,0.003163900031611977,0.0027724136893091736,0.13885516224999825,0.014371802995436556,0.005451523687751386,0.003921448282519243,0.03043086534050628,0.01455539271118803,0.005607169865569459,0.003489514693893295,0.028584535933624686,0.0009366767327789898,0.0055270636714430605,0.015673282704011568,0.00020267284220368745,0.0009905362721991905,0.003990130401088672,0.0034958918651994205,8.239199860545559e-05,0.0006436121755909179,0.019401934709557166,0.006660211985256529,0.0010138129782330829,0.0060919804762035205,9.539297007333875e-05,0.0010127627415770872,0.00294223895736618
is,0.27196544054676625,0.09597997664906745,0.4472250745492719,0.05145159861744615,0.011729602318177875,0.0018443911380574209,0.00013064519861019338,0.01353154735722889,0.01604305534812675,0.011002521102141937,0.00562947928792692,0.029574784439278762,0.0002076223723697065,0.005024321233637126,0.0002949218877799296,0.0015931715595477827,0.0117491777275884,0.0008627405463786205,0.007918934584504211,5.800830129959555e-05,0.0005542978901411726,0.0006209291249281785,0.0013938278108844165,0.007217673230833892,0.003012975975274108,5.7399281030790916e-06,0.0015544086512789678,0.00018340487299693678,0.0004474239945199337,0.0008909225286809469,0.0003013812271525282
if,0.08909785608505773,0.5051541428113899,0.21236204420554147,0.04723706274209163,8.684840470274631e-05,0.0740281166284142,0.005827137047114638,0.0030856072218695793,0.023224255440263346,0.0026571444160223556,0.010390904797109886,0.0025753326724391457,0.003413196515735389,0.007079280033383561,4.99111520362083e-05,1.5557189668490756e-05,0.007523835883598237,0.0043975499353316235,0.0011123014484148623,3.314919478193651e-05,4.597143778455513e-06,0.00040610349963454164,5.2154646889788734e-05,2.4106949460596355e-06,2.5882379509012314e-05,7.223839542540207e-05,3.918983097105142e-05,3.111868405567956e-05,2.0787534457351305e-06,1.110057817300605e-08,1.2981045799118279e-05
mm,0.0633411005324195,0.0008629221799874866,0.045426444218007664,0.2850973010753913,0.01284111874752424,0.010125386260555239,0.0024676671615490656,0.1353506785577493,0.0018632966292575204,0.10272626522517557,0.03181864053513158,0.0010171298252186572,0.007494256293102432,0.07012025061416209,0.013319270609496971,0.0009963189495624729,0.003922780236404917,0.0005589381029496821,0.03840403341801276,0.026739382064545375,0.01728818056040822,0.018937752904048186,0.0036949607798078014,0.021710692236618274,0.00039179980900190244,0.05404504280520834,9.40233939688648e-09,0.013203360842176264,0.015404701433252201,0.0005913901791232628,0.00023892781181228547
mh,0.28496971678541666,0.1091970153436682,0.023558999382943438,0.10535916105926384,0.0034717060524439925,0.05912597136779901,1.6337805698364095e-09,0.05784237568337125,0.0002313082826290893,0.21519856461814552,0.005652694178562457,0.017869809990309505,0.002035382285229737,0.006473961479680409,0.0026627789088223357,0.04237016206352307,0.00041427289009347845,0.022858259583636808,0.005567449484216978,0.00018786028885254703,0.0001644221589562518,0.02044838552413461,0.0006614747793770854,6.295088670333752e-06,0.0009260100060287751,0.0037439195057348018,1.2352791201602957e-05,0.00794357771837465,0.000752502429617479,0.00018273440894347445,0.00011087422657204075
