SIRUTA,Krug_CI_2008,Krug_CI_2009,Krug_CI_2010,Krug_CI_2011,Krug_CI_2012,Krug_CI_2013,Krug_CI_2014,Krug_CI_2015,Krug_CI_2016,Krug_CI_2017,Krug_CI_2018,Krug_CI_2019,Krug_CI_2020,Krug_CI_2021,Krug_CI_2022,Krug_CI_2023
20563,0.0002491898615374944,0.00032658391767875463,0.00039856139032917666,0.0005874461717866047,0.0007670227242177476,0.0012613720456893013,0.0014225879080137394,0.0020301097037365907,0.0019290536112599335,0.002343630032105271,0.001358229890697094,0.0013843393851060252,0.001286077508583025,0.001175735219543573,0.0016982485964941664,0.002075857833191832
20670,0.0001345374253555797,0.00013937853637094503,9.391471671518027e-05,6.457980541790778e-05,7.511181357809039e-05,0.0001322065251469118,5.2522042291311305e-05,2.5405240612457575e-05,2.2647841505091963e-05,1.183846792134774e-05,8.300586227935063e-06,5.617176991304126e-06,3.4297087377368956e-06,2.814201172565971e-06,2.558097630828846e-06,1.0812863245393078e-05
20778,9.675119652272622e-05,0.0003249099672178568,0.0002988636183165793,0.0002388528434059067,0.00033141133897245263,0.00035768273674545865,0.0003358877122276517,0.0004822900485282594,0.000947340060075956,0.0009061653263520209,0.0010451058544770006,0.0010376973011317094,0.0011626969451700429,0.0010102661159422097,0.0011903377683234596,0.001525866428355032
20821,2.755064879927942e-08,0.0,4.4138135342312725e-05,0.00013679311763251974,0.00032661748689730814,0.0006891046947075783,0.0010095427643528408,0.0013247383141361578,0.00020929201801817864,0.0008202116811199109,0.00014685317533820406,8.995154037320591e-06,0.0,0.0,8.836353739752541e-07,0.0
20965,6.632715897498164e-06,8.022741912801453e-06,5.179297221330522e-06,,1.0355208346361729e-05,3.8939895008697323e-05,4.5540596536620984e-05,0.00020152032567914035,0.0,0.00019432459351060034,0.00017154556060026215,0.00017280177820581727,0.00017801927437712393,0.00016740830246795267,0.0001663388431239616,0.00019147666324081632
21196,2.1927438018232463e-06,6.844776773651158e-06,6.423808353655942e-06,2.2080333620693643e-06,2.4848003452979847e-06,1.4708508336636683e-06,1.1620475969507232e-06,0.0,0.0,0.0,0.0,,,,,
22166,3.0933827351459587e-06,1.7292620471401874e-05,4.830968930429293e-06,0.00011973079309020287,1.3992807929299069e-05,2.0143397676818335e-05,2.0849449819987868e-05,1.0233465417407305e-05,2.498839417966717e-05,1.0605253907007186e-06,3.564131450278606e-06,1.0210559578873295e-05,1.4532628309804676e-05,2.85859620427313e-05,2.72490121260586e-05,1.9849454502097713e-05
24187,5.345648274487051e-07,3.568737361540587e-07,,,,,,,,,,,,,,
26083,1.3952141996411204e-05,4.031802169938621e-06,0.0,,,,,,,,,,,,,
26564,0.005628517776172382,0.0066145435128233095,0.005701601640972125,0.006193859790454819,0.007025097277274031,0.007926042696864172,0.008328847460670565,0.011460933011455638,0.012382930628869249,0.015163914796736556,0.016924506949943626,0.01923962958830279,0.02166857696560878,0.023344214570787804,0.029691424695709536,0.03133731461096418
26582,7.290847440830205e-06,2.1809007474029222e-05,1.1103426709728577e-05,9.944009171696262e-05,7.143784461193879e-05,0.00010135338075633657,0.0001443695037482507,0.00020232589914407218,0.00027057913480053473,0.0002494917969521476,0.00030812592760315577,0.0003881288979937091,0.00034000181608282614,0.00027372285686828364,0.00031709764154862766,0.00038093607584444077
26699,0.000529081220328365,0.0005703325223334572,0.0005831002435915852,0.0006765944233516339,0.0008567226280338276,0.0005345276532737761,0.000600783785112603,0.0007908530876147469,0.0008558039690667736,0.0011941271962801476,0.0017884465375118033,0.0013386850088212168,0.0013381682703604825,0.0031057089652649947,0.002608208914208937,0.002299260385183256
26877,0.00033949986029224884,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.504612475548759e-06,8.686793998764894e-06
