Siruta,Localitate,Judet,Numar absolventi,Populatie
98051,Miroslovesti,IS,49,317
98113,Mogosesti,IS,106,777
98168,Mogosesti-Siret,IS,50,274
98202,Mosna,IS,22,195
98220,Motca,IS,66,510
98257,Movileni,IS,40,260
98300,Oteleni,IS,29,307
98337,Plugari,IS,69,493
98373,Oras Podu Iloaiei,IS,228,1703
98435,Popesti,IS,55,560
98505,Popricani,IS,46,684
98603,Prisacani,IS,38,282
98649,Probota,IS,45,396
98685,Raducaneni,IS,168,1250
98738,Romanesti,IS,24,171
98774,Ruginoasa,IS,64,581
98827,Schitu Duca,IS,50,405
98916,Scanteia,IS,71,604
98998,Scobinti,IS,66,610
99058,Sinesti,IS,43,584
99101,Siretel,IS,58,575
99165,Stolniceni-Prajescu,IS,64,527
99209,Strunga,IS,37,344
99290,Scheia,IS,64,449
99370,Sipote,IS,76,615
99441,Tansa,IS,37,213
99478,Tatarusi,IS,87,553
99539,Todiresti,IS,85,634
99600,Trifesti,IS,45,522
99673,Tibana,IS,133,1418
99780,Tibanesti,IS,172,1191
99879,Tiganasi,IS,57,500
99922,Tutora,IS,12,183
99968,Valea Seaca,IS,76,557
100004,Victoria,IS,103,658
100086,Vanatori,IS,52,425
100148,Vladeni,IS,124,829
100219,Voinesti,IS,96,1146
100273,Bals,IS,42,365
100282,Costesti,IS,21,184
100308,Draguseni,IS,23,147
100317,Fantanele,IS,66,397
100326,Harmanesti,IS,16,222
100335,Rachiteni,IS,36,230
100344,Roscani,IS,21,215
100353,Valea Lupului,IS,29,282
100362,Ciohorani,IS,18,184
100521,Municipiul Giurgiu,GR,1495,8520
100549,Slobozia,GR,13,152
100576,Oras Buftea,IF,436,3314
100610,Municipiul Oltenita,CL,711,4350
100638,Mitreni,CL,26,267
100683,Municipiul Urziceni,IL,685,3582
100709,Ciocarlia,IL,0,0
100736,Manasia,IL,32,316
100754,Adancata,IL,16,171
100781,Adunatii-Copaceni,GR,52,472
100834,Afumati,IF,48,687
100852,Alexeni,IL,13,221
100870,Armasesti,IL,42,297
100923,Axintele,IL,19,224
100969,Balotesti,IF,70,626
101001,Baneasa,GR,36,425
101056,Barcanesti,IL,23,328
101083,Belciugatele,CL,16,195
101145,Berceni,IF,39,562
101163,Bolintin-Deal,GR,59,473
101190,Oras Bolintin-Vale,GR,428,2629
101243,Brazii,IL,11,113
101298,Branesti,IF,365,2245
101341,Brezoaele,DB,38,328
101378,Bucsani,GR,38,429
101458,Oras Budesti,CL,60,802
101519,Bulbucata,GR,18,136
101564,Butimanu,DB,19,208
101617,Buturugeni,GR,32,390
101662,Calugareni,GR,94,686
101724,Cascioarele,CL,20,110
101742,Cernica,IF,104,1137
101804,Chirnogi,CL,50,549
101822,Chiselet,CL,25,294
101840,Ciocanesti,DB,62,561
101902,Ciolpani,IF,28,316
101957,Ciorogarla,IF,248,1525
101984,Clejani,GR,38,532
102035,Clinceni,IF,56,716
102071,Colibasi,GR,27,257
102106,Comana,GR,101,718
102160,Corbeanca,IF,38,393
102213,Cornetu,IF,37,454
102240,Cosereni,IL,58,331
102286,Crevedia,DB,55,431
102348,Crevedia Mare,GR,67,490
102419,Curcani,CL,39,572
102446,Daia,GR,26,162
102473,Dascalu,IF,27,269
102525,Darasti-Ilfov,IF,19,168
102543,1 Decembrie,IF,49,616
102570,Domnesti,IF,51,613
102605,Dragomiresti-Vale,IF,248,1048
102641,Dragoesti,IL,0,28
102703,Dridu,IL,38,286
102749,Oras Fierbinti-Targ,IL,98,701
102794,Floresti-Stoenesti,GR,106,793
102838,Frasinet,CL,18,139
102909,Fratesti,GR,38,339
102945,Frumusani,CL,57,605
103014,Fundeni,CL,44,537
103032,Oras Fundulea,CL,173,1161
103087,Gaiseni,GR,44,581
103130,Ganeasa,IF,43,485
103194,Gaujani,GR,22,214
103238,Ghimpati,GR,40,585
103283,Garbovi,IL,25,268
103309,Gogosari,GR,17,182
103354,Gostinu,GR,16,131
103372,Gostinari,GR,20,258
103407,Gradinari,GR,33,259
103443,Gradistea,IF,19,246
103470,Greaca,GR,16,166
103513,Gruiu,IF,65,601
103568,Gurbanesti,CL,15,106
103639,Hotarele,GR,142,582
103693,Iepuresti,GR,24,159
103764,Ileana,CL,30,319
103862,Ion Roata,IL,39,343
103899,Izvoarele,GR,25,236
