Siruta,Denumire localitate,Indicativ judet,Numar absolventi,Populatia scolara
43787,Romanu,BR,19.0,159.0
43812,Rosiori,BR,26.0,252.0
43867,Salcia Tudor,BR,21.0,204.0
43929,Scortaru Nou,BR,17.0,109.0
43992,Silistea,BR,14.0,155.0
44060,Stancuta,BR,28.0,268.0
44113,Surdila-Gaiseanca,BR,26.0,150.0
44140,Sutesti,BR,50.0,444.0
44177,Tichilesti,BR,37.0,458.0
44202,Traian,BR,30.0,270.0
44257,Tudor Vladimirescu,BR,24.0,143.0
44300,Tufesti,BR,36.0,382.0
44328,Ulmu,BR,34.0,293.0
44355,Unirea,BR,26.0,265.0
44391,Vadeni,BR,43.0,317.0
44435,Victoria,BR,36.0,341.0
44462,Visani,BR,20.0,239.0
44505,Viziru,BR,52.0,622.0
44532,Zavoaia,BR,37.0,315.0
44560,Cazasu,BR,17.0,157.0
44818,Municipiul Buzau,BZ,4253.0,21743.0
44845,Municipiul Ramnicu Sarat,BZ,911.0,6145.0
44863,Amaru,BZ,29.0,187.0
44934,Balta Alba,BZ,13.0,142.0
44989,Balaceanu,BZ,15.0,150.0
45003,Beceni,BZ,83.0,522.0
45101,Berca,BZ,104.0,797.0
45245,Bisoca,BZ,39.0,277.0
45334,Blajani,BZ,6.0,67.0
45361,Boldu,BZ,24.0,203.0
45389,Bozioru,BZ,3.0,88.0
45496,Bradeanu,BZ,23.0,203.0
45539,Braesti,BZ,24.0,281.0
45619,Breaza,BZ,24.0,214.0
45673,Buda,BZ,26.0,270.0
45753,Calvini,BZ,40.0,479.0
45815,C.a. Rosetti,BZ,28.0,249.0
45888,Canesti,BZ,2.0,44.0
45959,Catina,BZ,27.0,161.0
46019,Cernatesti,BZ,38.0,224.0
46108,Chiliile,BZ,2.0,23.0
46180,Chiojdu,BZ,28.0,301.0
46251,Cilibia,BZ,8.0,136.0
46313,Cislau,BZ,42.0,400.0
46377,Cochirleanca,BZ,151.0,456.0
46439,Colti,BZ,7.0,56.0
46484,Costesti,BZ,49.0,389.0
46554,Cozieni,BZ,15.0,112.0
46769,Galbinasi,BZ,45.0,328.0
46803,Gheraseni,BZ,32.0,248.0
46830,Ghergheasa,BZ,16.0,179.0
46867,Glodeanu Sarat,BZ,48.0,403.0
46910,Glodeanu-Silistea,BZ,38.0,297.0
47006,Grebanu,BZ,34.0,419.0
47079,Gura Teghii,BZ,33.0,252.0
47159,Largu,BZ,13.0,103.0
47186,Lopatari,BZ,88.0,423.0
47300,Luciu,BZ,28.0,232.0
47337,Magura,BZ,18.0,183.0
47373,Maracineni,BZ,38.0,518.0
47417,Margaritesti,BZ,5.0,24.0
47453,Merei,BZ,39.0,473.0
47578,Mihailesti,BZ,19.0,203.0
47630,Manzalesti,BZ,26.0,191.0
47774,Movila Banului,BZ,25.0,213.0
47818,Murgesti,BZ,9.0,42.0
47854,Naeni,BZ,22.0,194.0
47916,Oras Nehoiu,BZ,179.0,1273.0
48021,Odaile,BZ,8.0,62.0
48138,Padina,BZ,39.0,342.0
48165,Pardosi,BZ,0.0,6.0
48227,Panatau,BZ,20.0,122.0
48325,Oras Patarlagele,BZ,229.0,1244.0
48487,Pietroasele,BZ,25.0,247.0
48557,Parscov,BZ,50.0,399.0
48682,Podgoria,BZ,50.0,234.0
48744,Oras Pogoanele,BZ,175.0,936.0
48771,Posta Calnau,BZ,44.0,459.0
48842,Puiesti,BZ,33.0,292.0
48922,Racoviteni,BZ,13.0,113.0
48968,Ramnicelu,BZ,22.0,586.0
49019,Robeasca,BZ,11.0,93.0
49046,Rusetu,BZ,37.0,360.0
49073,Sageata,BZ,41.0,311.0
49153,Sahateni,BZ,33.0,286.0
49206,Sapoca,BZ,17.0,224.0
49233,Sarulesti,BZ,10.0,111.0
49313,Scortoasa,BZ,31.0,211.0
49439,Scutelnici,BZ,24.0,195.0
49484,Siriu,BZ,37.0,321.0
49545,Smeeni,BZ,109.0,754.0
49625,Stalpu,BZ,25.0,233.0
49643,Tisau,BZ,35.0,297.0
49769,Topliceni,BZ,27.0,304.0
49849,Tintesti,BZ,31.0,371.0
49894,Ulmeni,BZ,22.0,265.0
49956,Vadu Pasii,BZ,71.0,752.0
50022,Valea Ramnicului,BZ,34.0,344.0
50068,Valea Salciei,BZ,7.0,57.0
50102,Vernesti,BZ,113.0,946.0
50228,Vintila Voda,BZ,19.0,176.0
50326,Viperesti,BZ,25.0,377.0
50399,Valcelele,BZ,13.0,122.0
50415,Zarnesti,BZ,35.0,371.0
50479,Ziduri,BZ,36.0,314.0
50549,Unguriu,BZ,19.0,179.0
50564,Florica,BZ,16.0,99.0
50790,Municipiul Resita,CS,1817.0,9690.0
50889,Oras Anina,CS,177.0,975.0
50923,Oras Baile Herculane,CS,136.0,691.0
50969,Oras Bocsa,CS,292.0,2224.0
50987,Ocna De Fier,CS,6.0,47.0
51010,Municipiul Caransebes,CS,963.0,4948.0
51056,Oras Moldova Noua,CS,283.0,1647.0
51118,Oras Oravita,CS,284.0,1843.0
51207,Oras Otelu Rosu,CS,303.0,1111.0
51243,Armenis,CS,26.0,168.0
51305,Bania,CS,4.0,119.0
51332,Bautar,CS,18.0,170.0
51387,Berliste,CS,10.0,105.0
51449,Berzasca,CS,23.0,169.0
51500,Berzovia,CS,22.0,343.0
51546,Bolvasnita,CS,15.0,77.0
51573,Bozovici,CS,96.0,606.0
51626,Brebu,CS,8.0,63.0
51662,Brebu Nou,CS,0.0,0.0
51699,Buchin,CS,11.0,91.0
51751,Bucosnita,CS,18.0,134.0
51804,Carasova,CS,20.0,175.0
51840,Carbunari,CS,8.0,41.0
51877,Constantin Daicoviciu,CS,19.0,225.0
51948,Ciclova Romana,CS,18.0,109.0
51984,Ciuchici,CS,0.0,30.0
52035,Ciudanovita,CS,5.0,41.0
52062,Copacele,CS,6.0,54.0
52115,Cornea,CS,14.0,122.0
52160,Cornereva,CS,31.0,281.0
52570,Dalboset,CS,14.0,102.0
52650,Doclin,CS,14.0,113.0
52696,Dognecea,CS,18.0,219.0
52721,Domasnea,CS,8.0,86.0
52758,Ezeris,CS,13.0,90.0
52785,Farliug,CS,11.0,122.0
52856,Forotic,CS,7.0,157.0
52909,Garnic,CS,12.0,90.0
52936,Glimboca,CS,17.0,112.0
52954,Goruia,CS,3.0,37.0
52990,Gradinari,CS,8.0,151.0
53023,Iablanita,CS,16.0,134.0
53069,Lapusnicel,CS,6.0,30.0
53103,Lapusnicu Mare,CS,9.0,72.0
53130,Luncavita,CS,17.0,159.0
53167,Lupac,CS,25.0,137.0
53210,Marga,CS,4.0,47.0
53247,Maureni,CS,35.0,326.0
53274,Mehadia,CS,127.0,545.0
53327,Mehadica,CS,8.0,87.0
53345,Naidas,CS,9.0,84.0
53372,Obreja,CS,18.0,219.0
53425,Paltinis,CS,15.0,106.0
53489,Coronini,CS,18.0,126.0
53513,Pojejena,CS,17.0,112.0
53577,Prigor,CS,57.0,410.0
53639,Ramna,CS,15.0,79.0
53675,Racasdia,CS,14.0,174.0
53700,Eftimie Murgu,CS,13.0,109.0
53728,Rusca Montana,CS,18.0,92.0
53755,Sacu,CS,15.0,146.0
53791,Sasca Montana,CS,10.0,96.0
53853,Sichevita,CS,18.0,121.0
54056,Slatina-Timis,CS,24.0,176.0
54109,Socol,CS,24.0,162.0
54163,Sopotu Nou,CS,11.0,86.0
54270,Teregova,CS,94.0,614.0
54305,Ticvaniu Mare,CS,13.0,172.0
54350,Tarnova,CS,11.0,114.0
54387,Toplet,CS,16.0,195.0
54412,Turnu Ruieni,CS,36.0,278.0
54485,Valiug,CS,3.0,36.0
54500,Varadia,CS,3.0,101.0
54537,Vermes,CS,8.0,105.0
54573,Vrani,CS,9.0,90.0
54617,Zavoi,CS,33.0,243.0
54699,Zorlentu Mare,CS,6.0,33.0
54975,Municipiul Cluj-Napoca,CJ,20088.0,106200.0
55008,Municipiul Dej,CJ,1060.0,5455.0
55062,Cuzdrioara,CJ,13.0,171.0
55106,Jichisu De Jos,CJ,0.0,6.0
55160,Mica,CJ,13.0,178.0
55259,Municipiul Turda,CJ,1157.0,5906.0
55277,Mihai Viteazu,CJ,37.0,378.0
55311,Sandulesti,CJ,10.0,165.0
55357,Municipiul Campia Turzii,CJ,418.0,2959.0
55384,Municipiul Gherla,CJ,532.0,3445.0
55446,Oras Huedin,CJ,333.0,1842.0
55473,Aghiresu,CJ,26.0,406.0
55598,Aiton,CJ,0.0,15.0
55623,Alunis,CJ,14.0,93.0
55687,Apahida,CJ,78.0,877.0
55776,Aschileu,CJ,13.0,118.0
55838,Baciu,CJ,33.0,525.0
55918,Baisoara,CJ,16.0,145.0
56014,Belis,CJ,9.0,97.0
56096,Bobalna,CJ,10.0,99.0
56210,Bontida,CJ,35.0,556.0
56265,Borsa,CJ,16.0,119.0
56327,Buza,CJ,20.0,114.0
56354,Caianu,CJ,23.0,170.0
56425,Calarasi,CJ,13.0,114.0
56461,Calatele,CJ,3.0,142.0
56522,Camarasu,CJ,17.0,279.0
56568,Capusu Mare,CJ,21.0,177.0
56666,Caseiu,CJ,32.0,328.0
56773,Catina,CJ,24.0,166.0
56844,Ceanu Mare,CJ,26.0,262.0
56988,Chinteni,CJ,13.0,175.0
57083,Chiuiesti,CJ,38.0,195.0
57163,Ciucea,CJ,12.0,102.0
57225,Ciurila,CJ,9.0,90.0
57314,Catcau,CJ,17.0,130.0
57350,Cojocna,CJ,16.0,399.0
57449,Cornesti,CJ,13.0,61.0
57546,Dabaca,CJ,14.0,98.0
57582,Feleacu,CJ,14.0,125.0
57644,Fizesu Gherlii,CJ,0.0,88.0
57706,Floresti,CJ,68.0,1046.0
57742,Frata,CJ,37.0,343.0
57831,Geaca,CJ,18.0,114.0
57902,Gilau,CJ,92.0,820.0
57948,Garbau,CJ,7.0,122.0
58008,Iara,CJ,35.0,222.0
58142,Iclod,CJ,34.0,333.0
58204,Izvoru Crisului,CJ,21.0,133.0
58259,Jucu,CJ,19.0,281.0
58311,Luna,CJ,20.0,104.0
58357,Maguri-Racatau,CJ,26.0,238.0
58393,Manastireni,CJ,5.0,84.0
58464,Margau,CJ,13.0,102.0
58534,Marisel,CJ,12.0,116.0
58552,Mintiu Gherlii,CJ,18.0,200.0
58623,Mociu,CJ,26.0,264.0
58721,Moldovenesti,CJ,22.0,233.0
58794,Palatca,CJ,9.0,105.0
58856,Panticeu,CJ,19.0,176.0
58918,Petrestii De Jos,CJ,10.0,99.0
58990,Ploscos,CJ,3.0,46.0
59041,Poieni,CJ,34.0,275.0
59130,Recea-Cristur,CJ,0.0,54.0
59238,Risca,CJ,9.0,58.0
59283,Sacuieu,CJ,11.0,98.0
59327,Savadisla,CJ,24.0,222.0
59416,Sic,CJ,16.0,155.0
59434,Sancraiu,CJ,24.0,127.0
59498,Sanmartin,CJ,3.0,33.0
59586,Sanpaul,CJ,15.0,151.0
59657,Suatu,CJ,16.0,96.0
59693,Tritenii De Jos,CJ,37.0,347.0
59764,Tureni,CJ,13.0,158.0
59826,Taga,CJ,7.0,100.0
59880,Unguras,CJ,26.0,165.0
59942,Vad,CJ,14.0,144.0
60026,Valea Ierii,CJ,5.0,58.0
60062,Viisoara,CJ,26.0,410.0
60099,Vultureni,CJ,11.0,114.0
60169,Negreni,CJ,13.0,143.0
60419,Municipiul Constanta,CT,12062.0,61210.0
60455,Oras Eforie,CT,146.0,1054.0
60482,Municipiul Mangalia,CT,861.0,5239.0
60507,Oras Navodari,CT,481.0,3882.0
60534,Oras Techirghiol,CT,86.0,722.0
60570,Agigea,CT,46.0,474.0
60598,23-Aug,CT,40.0,404.0
60632,Limanu,CT,48.0,425.0
60687,Oras Ovidiu,CT,240.0,1841.0
60721,Tuzla,CT,49.0,549.0
60776,Oras Cernavoda,CT,340.0,2456.0
60801,Oras Harsova,CT,226.0,1650.0
60847,Municipiul Medgidia,CT,715.0,5104.0
60883,Adamclisi,CT,43.0,299.0
60945,Albesti,CT,26.0,363.0
61005,Aliman,CT,34.0,316.0
61069,Oras Baneasa,CT,128.0,819.0
61121,Castelu,CT,87.0,882.0
61167,Cerchezu,CT,14.0,128.0
61210,Chirnogeni,CT,40.0,304.0
61256,Ciobanu,CT,43.0,383.0
61283,Ciocarlia,CT,37.0,319.0
61318,Cobadin,CT,179.0,1272.0
61372,Cogealac,CT,124.0,775.0
61452,Comana,CT,28.0,202.0
61513,Corbu,CT,55.0,592.0
61559,Crucea,CT,27.0,403.0
61620,Cumpana,CT,97.0,1304.0
61675,Deleni,CT,92.0,545.0
61737,Dobromir,CT,34.0,636.0
61808,Garliciu,CT,24.0,151.0
61826,Ghindaresti,CT,19.0,166.0
61871,Independenta,CT,65.0,491.0
61951,Ion Corvin,CT,29.0,205.0
62020,Istria,CT,27.0,262.0
62057,Lipnita,CT,36.0,292.0
62137,Mereni,CT,23.0,258.0
62191,Mihail Kogalniceanu,CT,185.0,1069.0
62253,Mihai Viteazu,CT,55.0,600.0
62280,Mircea Voda,CT,63.0,617.0
62360,Oras Murfatlar,CT,156.0,1257.0
62397,Oras Negru Voda,CT,141.0,768.0
62440,Nicolae Balcescu,CT,81.0,629.0
62486,Oltina,CT,23.0,249.0
62538,Ostrov,CT,100.0,732.0
62609,Pantelimon,CT,16.0,238.0
62672,Pecineaga,CT,38.0,352.0
62707,Pestera,CT,45.0,353.0
62761,Poarta Alba,CT,142.0,931.0
62798,Rasova,CT,40.0,396.0
62823,Saraiu,CT,13.0,100.0
62878,Sacele,CT,24.0,240.0
62903,Seimeni,CT,15.0,181.0
62949,Silistea,CT,21.0,150.0
62985,Targusor,CT,18.0,159.0
63045,Topalu,CT,21.0,150.0
63072,Topraisar,CT,119.0,883.0
63125,Valu Lui Traian,CT,112.0,1236.0
63152,Lumina,CT,130.0,1109.0
63161,Dumbraveni,CT,5.0,44.0
63170,Vulturu,CT,11.0,70.0
63189,Tortoman,CT,16.0,237.0
63198,Amzacea,CT,30.0,255.0
63278,Horia,CT,11.0,96.0
63286,Costinesti,CT,19.0,235.0
63294,Baraganu,CT,22.0,235.0
63300,Cuza Voda,CT,35.0,482.0
63318,Saligny,CT,24.0,176.0
63326,Gradina,CT,12.0,110.0
63334,Fantanele,CT,19.0,130.0
63394,Municipiul Sfantu Gheorghe,CV,1430.0,8749.0
63447,Oras Baraolt,CV,204.0,1192.0
63526,Oras Covasna,CV,249.0,1358.0
63553,Comandau,CV,7.0,74.0
63580,Oras Intorsura Buzaului,CV,331.0,1748.0
63633,Barcani,CV,43.0,364.0
63688,Sita Buzaului,CV,45.0,415.0
63740,Municipiul Targu Secuiesc,CV,748.0,3776.0
63777,Aita Mare,CV,30.0,205.0
63802,Batani,CV,39.0,501.0
63866,Belin,CV,21.0,426.0
63893,Bodoc,CV,28.0,252.0
63937,Borosneu Mare,CV,13.0,254.0
64005,Brates,CV,22.0,147.0
64041,Bradut,CV,26.0,601.0
64096,Bretcu,CV,37.0,318.0
64130,Catalina,CV,21.0,192.0
64194,Cernat,CV,29.0,339.0
64238,Chichis,CV,19.0,89.0
64265,Dobarlau,CV,20.0,215.0
64318,Ghelinta,CV,38.0,462.0
64345,Ghidfalau,CV,7.0,109.0
64390,Haghig,CV,20.0,259.0
64425,Ilieni,CV,6.0,83.0
64461,Lemnia,CV,6.0,132.0
64504,Malnas,CV,12.0,106.0
64568,Moacsa,CV,8.0,91.0
64602,Ojdula,CV,20.0,292.0
64639,Ozun,CV,20.0,325.0
64719,Poian,CV,21.0,146.0
64773,Reci,CV,18.0,223.0
64826,Sanzieni,CV,45.0,426.0
64871,Turia,CV,19.0,276.0
64906,Valea Crisului,CV,7.0,243.0
64942,Valcele,CV,21.0,719.0
64997,Varghis,CV,24.0,141.0
65011,Zagon,CV,42.0,493.0
65048,Zabala,CV,39.0,389.0
65099,Valea Mare,CV,11.0,80.0
65105,Mereni,CV,12.0,97.0
65113,Arcus,CV,4.0,74.0
65121,Bixad,CV,12.0,170.0
65139,Micfalau,CV,15.0,136.0
65147,Dalnic,CV,8.0,98.0
65154,Estelnic,CV,10.0,152.0
65342,Municipiul Targoviste,DB,4314.0,21023.0
65379,Aninoasa,DB,29.0,44.0
65413,Doicesti,DB,26.0,264.0
65431,Razvad,DB,49.0,423.0
65477,Sotanga,DB,55.0,413.0
65501,Ulmi,DB,26.0,211.0
65609,Oras Fieni,DB,186.0,961.0
65645,Motaieni,DB,0.0,24.0
65681,Oras Gaesti,DB,717.0,3447.0
65707,Gura Foii,DB,14.0,136.0
65752,Petresti,DB,55.0,380.0
65841,Municipiul Moreni,DB,497.0,2977.0
65869,Iedera,DB,35.0,261.0
65921,Oras Pucioasa,DB,392.0,2323.0
66009,Branesti,DB,16.0,158.0
66081,Oras Titu,DB,501.0,2711.0
66152,Branistea,DB,22.0,276.0
66198,Baleni,DB,149.0,1214.0
66223,Barbuletu,DB,16.0,161.0
66330,Bezdead,DB,33.0,277.0
66401,Bilciuresti,DB,21.0,200.0
66438,Buciumeni,DB,37.0,173.0
66474,Bucsani,DB,68.0,533.0
66526,Candesti,DB,17.0,145.0
66580,Cobia,DB,20.0,188.0
66697,Cojasca,DB,69.0,989.0
66731,Comisani,DB,40.0,296.0
66768,Contesti,DB,40.0,427.0
66857,Corbii Mari,DB,91.0,935.0
66955,Cornatelu,DB,15.0,122.0
67014,Cornesti,DB,61.0,480.0
67121,Costestii Din Vale,DB,34.0,316.0
67167,Crangurile,DB,21.0,352.0
67256,Darmanesti,DB,51.0,400.0
67292,Dobra,DB,42.0,290.0
67327,Dragodana,DB,48.0,426.0
67407,Dragomiresti,DB,84.0,658.0
67470,Finta,DB,42.0,310.0
67522,Glodeni,DB,49.0,317.0
67595,Gura Ocnitei,DB,59.0,380.0
67648,Gura Sutii,DB,48.0,417.0
67675,Hulubesti,DB,29.0,231.0
67737,I. L. Caragiale,DB,60.0,502.0
67773,Lucieni,DB,20.0,188.0
67835,Ludesti,DB,47.0,515.0
67906,Lunguletu,DB,58.0,519.0
67942,Malu Cu Flori,DB,13.0,148.0
68002,Manesti,DB,57.0,536.0
68048,Matasaru,DB,32.0,379.0
68128,Mogosani,DB,26.0,234.0
68182,Moroeni,DB,33.0,388.0
68253,Morteni,DB,14.0,225.0
68280,Nucet,DB,121.0,735.0
68324,Ocnita,DB,46.0,316.0
68342,Odobesti,DB,54.0,561.0
68404,Pietrosita,DB,18.0,209.0
68431,Poiana,DB,50.0,343.0
68468,Potlogi,DB,92.0,1045.0
68529,Produlesti,DB,35.0,284.0
68565,Pucheni,DB,15.0,137.0
68627,Oras Racari,DB,141.0,959.0
68716,Runcu,DB,30.0,250.0
68789,Salcioara,DB,28.0,253.0
68887,Selaru,DB,33.0,245.0
68921,Tatarani,DB,46.0,340.0
68976,Uliesti,DB,46.0,394.0
69063,Valea Lunga,DB,29.0,282.0
69170,Valea Mare,DB,17.0,153.0
69250,Vacaresti,DB,32.0,316.0
69303,Valeni-Dambovita,DB,19.0,199.0
69330,Visina,DB,124.0,617.0
69394,Visinesti,DB,12.0,79.0
69447,Varfuri,DB,20.0,155.0
69526,Voinesti,DB,77.0,647.0
69615,Vulcana-Bai,DB,27.0,196.0
69900,Municipiul Craiova,DJ,13910.0,60094.0
69964,Bucovat,DJ,29.0,243.0
70094,Isalnita,DJ,28.0,257.0
70110,Podari,DJ,27.0,386.0
70174,Simnicu De Sus,DJ,38.0,266.0
70316,Municipiul Bailesti,DJ,278.0,2397.0
70352,Municipiul Calafat,DJ,488.0,2201.0
70414,Oras Filiasi,DJ,594.0,2891.0
70502,Oras Segarcea,DJ,154.0,1102.0
70520,Afumati,DJ,12.0,172.0
70566,Almaj,DJ,14.0,71.0
70637,Amarastii De Jos,DJ,93.0,846.0
70673,Amarastii De Sus,DJ,17.0,120.0
70726,Apele Vii,DJ,9.0,163.0
70744,Argetoaia,DJ,75.0,477.0
70879,Oras Bechet,DJ,66.0,536.0
70897,Bistret,DJ,25.0,381.0
70940,Barca,DJ,37.0,433.0
70968,Botosesti-Paia,DJ,8.0,42.0
70986,Brabova,DJ,15.0,90.0
71055,Bradesti,DJ,30.0,244.0
71126,Bralostita,DJ,51.0,368.0
71199,Bratovoesti,DJ,24.0,224.0
71260,Breasta,DJ,30.0,362.0
71340,Bulzesti,DJ,9.0,88.0
71457,Calopar,DJ,35.0,367.0
71518,Caraula,DJ,15.0,222.0
71536,Carpen,DJ,18.0,143.0
71572,Castranova,DJ,33.0,291.0
71607,Calarasi,DJ,217.0,830.0
71634,Celaru,DJ,40.0,346.0
71698,Cerat,DJ,22.0,347.0
71723,Cernatesti,DJ,19.0,138.0
71787,Cetate,DJ,52.0,485.0
71812,Cioroiasi,DJ,8.0,97.0
71858,Ciupercenii Noi,DJ,46.0,308.0
71885,Cosoveni,DJ,18.0,295.0
71910,Cotofenii Din Dos,DJ,29.0,178.0
71956,Daneti,DJ,50.0,444.0
72007,Oras Dabuleni,DJ,216.0,1085.0
72034,Desa,DJ,22.0,431.0
72052,Diosti,DJ,23.0,175.0
72098,Dobresti,DJ,20.0,144.0
72150,Dragotesti,DJ,8.0,173.0
72221,Dranic,DJ,13.0,192.0
72276,Farcas,DJ,16.0,143.0
72383,Galicea Mare,DJ,41.0,314.0
72409,Ghercesti,DJ,10.0,75.0
72463,Gighera,DJ,13.0,168.0
72506,Giubega,DJ,18.0,114.0
72533,Giurgita,DJ,19.0,240.0
72579,Gangiova,DJ,23.0,224.0
72604,Gogosu,DJ,1.0,24.0
72640,Goicea,DJ,19.0,178.0
72677,Goiesti,DJ,22.0,189.0
72819,Grecesti,DJ,19.0,118.0
72882,Izvoare,DJ,15.0,119.0
72926,Leu,DJ,36.0,292.0
72953,Lipovu,DJ,9.0,285.0
72980,Macesu De Jos,DJ,17.0,73.0
73013,Macesu De Sus,DJ,8.0,98.0
73031,Maglavit,DJ,19.0,219.0
73068,Malu Mare,DJ,25.0,291.0
73102,Melinesti,DJ,108.0,641.0
73246,Mischii,DJ,7.0,60.0
73317,Marsani,DJ,46.0,298.0
73335,Motatei,DJ,60.0,469.0
73371,Murgasi,DJ,30.0,172.0
73460,Negoi,DJ,7.0,245.0
73503,Orodel,DJ,24.0,194.0
73567,Ostroveni,DJ,44.0,304.0
73594,Perisor,DJ,10.0,142.0
73629,Pielesti,DJ,20.0,204.0
73665,Piscu Vechi,DJ,31.0,222.0
73709,Plenita,DJ,75.0,585.0
73736,Poiana Mare,DJ,146.0,831.0
73772,Predesti,DJ,14.0,140.0
73852,Radovan,DJ,8.0,139.0
73905,Rast,DJ,22.0,303.0
73923,Robanesti,DJ,19.0,116.0
73996,Sadova,DJ,63.0,688.0
74028,Salcuta,DJ,6.0,244.0
74073,Scaesti,DJ,16.0,194.0
74108,Seaca De Camp,DJ,10.0,114.0
74135,Seaca De Padure,DJ,7.0,63.0
74171,Secu,DJ,10.0,114.0
74224,Silistea Crucii,DJ,16.0,94.0
74242,Sopot,DJ,16.0,113.0
74322,Teasc,DJ,20.0,207.0
74359,Terpezita,DJ,16.0,111.0
74411,Teslui,DJ,18.0,157.0
74509,Tuglui,DJ,29.0,187.0
74536,Unirea,DJ,50.0,298.0
74554,Urzicuta,DJ,14.0,273.0
74581,Valea Stanciului,DJ,51.0,484.0
74616,Vela,DJ,24.0,153.0
74705,Verbita,DJ,13.0,107.0
74732,Vartop,DJ,10.0,137.0
74750,Varvoru De Jos,DJ,22.0,187.0
74842,Catane,DJ,7.0,211.0
74859,Carcea,DJ,44.0,171.0
74867,Carna,DJ,0.0,107.0
74875,Cotofenii Din Fata,DJ,4.0,172.0
74883,Dobrotesti,DJ,15.0,127.0
74891,Galiciuica,DJ,18.0,82.0
74907,Ghidici,DJ,16.0,225.0
74915,Ghindeni,DJ,12.0,126.0
74923,Intorsura,DJ,7.0,97.0
74931,Plesoi,DJ,14.0,94.0
74949,Rojiste,DJ,12.0,175.0
74956,Talpas,DJ,16.0,108.0
75098,Municipiul Galati,GL,9352.0,47309.0
75114,Sendreni,GL,34.0,353.0
75150,Vanatori,GL,31.0,420.0
75203,Municipiul Tecuci,GL,1359.0,7997.0
75221,Draganesti,GL,57.0,402.0
75258,Munteni,GL,47.0,551.0
75338,Oras Beresti,GL,84.0,697.0
75356,Beresti-Meria,GL,31.0,279.0
75472,Oras Targu Bujor,GL,126.0,1230.0
75515,Barcea,GL,44.0,514.0
75542,Balabanesti,GL,25.0,193.0
75613,Balasesti,GL,25.0,221.0
75668,Baleni,GL,16.0,169.0
75686,Baneasa,GL,17.0,168.0
75711,Branistea,GL,30.0,303.0
75766,Brahasesti,GL,66.0,1204.0
75819,Buciumeni,GL,67.0,281.0
75864,Cavadinesti,GL,37.0,311.0
75917,Certesti,GL,31.0,220.0
75953,Corod,GL,77.0,629.0
76004,Corni,GL,23.0,157.0
76040,Cosmesti,GL,44.0,429.0
76111,Costache Negri,GL,34.0,252.0
76139,Cuca,GL,14.0,165.0
76157,Cudalbi,GL,163.0,789.0
76175,Draguseni,GL,68.0,599.0
76255,Fartanesti,GL,49.0,400.0
76282,Foltesti,GL,29.0,296.0
76317,Frumusita,GL,37.0,445.0
76353,Fundeni,GL,34.0,292.0
76406,Ghidigeni,GL,57.0,822.0
76497,Gohor,GL,34.0,250.0
76558,Grivita,GL,27.0,262.0
76585,Independenta,GL,53.0,371.0
76601,Ivesti,GL,105.0,1207.0
76638,Jorasti,GL,20.0,180.0
76674,Liesti,GL,96.0,877.0
76692,Matca,GL,142.0,1175.0
76718,Mastacani,GL,56.0,422.0
76745,Movileni,GL,25.0,204.0
76763,Namoloasa,GL,14.0,161.0
76807,Nicoresti,GL,35.0,320.0
76932,Oancea,GL,10.0,116.0
76969,Pechea,GL,226.0,1493.0
76996,Piscu,GL,48.0,409.0
77028,Priponesti,GL,26.0,188.0
77082,Rediu,GL,14.0,158.0
77126,Scanteiesti,GL,35.0,176.0
77153,Schela,GL,44.0,357.0
77180,Slobozia Conachi,GL,52.0,411.0
77224,Smardan,GL,33.0,460.0
77260,Smulti,GL,15.0,101.0
77288,Suceveni,GL,13.0,135.0
77313,Tudor Vladimirescu,GL,85.0,633.0
77331,Tulucesti,GL,44.0,544.0
77377,Tepu,GL,14.0,172.0
77402,Umbraresti,GL,58.0,530.0
77475,Valea Marului,GL,33.0,288.0
77509,Varlezi,GL,26.0,171.0
77536,Vladesti,GL,13.0,182.0
77561,Radesti,GL,12.0,150.0
77579,Negrilesti,GL,31.0,191.0
77587,Poiana,GL,18.0,180.0
77595,Cuza Voda,GL,22.0,220.0
77601,Suhurlui,GL,15.0,107.0
77812,Municipiul Targu Jiu,GJ,4906.0,20483.0
77910,Balesti,GJ,45.0,433.0
78016,Dragutesti,GJ,40.0,237.0
78089,Turcinesti,GJ,4.0,99.0
78141,Municipiul Motru,GJ,759.0,3662.0
78258,Oras Novaci,GJ,209.0,1018.0
78329,Oras Targu Carbunesti,GJ,153.0,1144.0
78454,Oras Ticleni,GJ,182.0,608.0
78472,Albeni,GJ,40.0,236.0
78542,Alimpesti,GJ,14.0,130.0
78604,Aninoasa,GJ,29.0,357.0
78668,Arcani,GJ,4.0,38.0
78711,Baia De Fier,GJ,121.0,563.0
78748,Balanesti,GJ,12.0,83.0
78828,Barbatesti,GJ,21.0,118.0
78873,Bengesti-Ciocadia,GJ,16.0,212.0
78926,Berlesti,GJ,23.0,145.0
79004,Balteni,GJ,158.0,882.0
79077,Bolbosi,GJ,39.0,290.0
79157,Borascu,GJ,29.0,182.0
79237,Branesti,GJ,23.0,200.0
79308,Oras Bumbesti-Jiu,GJ,149.0,764.0
79362,Bumbesti-Pitic,GJ,16.0,123.0
79406,Bustuchin,GJ,94.0,562.0
79497,Capreni,GJ,18.0,137.0
79585,Catunele,GJ,9.0,125.0
79656,Ciuperceni,GJ,12.0,94.0
79736,Calnic,GJ,15.0,136.0
