Siruta,Denumire localitate,Indicativ judet,Numar absolventi,Populatia scolara
34333,Rodna,BN,63.0,591.0
34360,Romuli,BN,19.0,173.0
34397,Salva,BN,17.0,175.0
34422,Silivasu De Campie,BN,10.0,85.0
34477,Sanmihaiu De Campie,BN,14.0,144.0
34547,Spermezeu,BN,22.0,231.0
34618,Sant,BN,39.0,360.0
34645,Sieu,BN,22.0,222.0
34690,Sieu-Magherus,BN,36.0,321.0
34770,Sieu-Odorhei,BN,19.0,163.0
34850,Sieut,BN,21.0,253.0
34903,Sintereag,BN,30.0,282.0
34985,Teaca,BN,99.0,728.0
35054,Telciu,BN,133.0,753.0
35090,Tiha Bargaului,BN,60.0,630.0
35152,Tarlisua,BN,53.0,313.0
35269,Uriu,BN,30.0,310.0
35312,Urmenis,BN,21.0,189.0
35429,Zagra,BN,32.0,331.0
35731,Municipiul Botosani,BT,3380.0,18641.0
35759,Curtesti,BT,22.0,276.0
35839,Rachiti,BT,52.0,344.0
35884,Stauceni,BT,43.0,347.0
35946,Oras Darabani,BT,285.0,1849.0
36006,Municipiul Dorohoi,BT,770.0,4681.0
36060,Oras Saveni,BT,227.0,1469.0
36131,Albesti,BT,106.0,939.0
36202,Avrameni,BT,48.0,444.0
36300,Baluseni,BT,64.0,395.0
36373,Braesti,BT,19.0,160.0
36426,Broscauti,BT,24.0,248.0
36453,Oras Bucecea,BT,132.0,727.0
36499,Calarasi,BT,57.0,392.0
36532,Concesti,BT,33.0,204.0
36569,Copalau,BT,41.0,396.0
36649,Cordareni,BT,16.0,142.0
36676,Corlateni,BT,28.0,332.0
36756,Corni,BT,83.0,732.0
36809,Cotusca,BT,116.0,723.0
36907,Cristesti,BT,49.0,581.0
36952,Cristinesti,BT,42.0,492.0
37011,Dersca,BT,20.0,224.0
37057,Dangeni,BT,44.0,322.0
37100,Dobarceni,BT,41.0,289.0
37173,Draguseni,BT,31.0,237.0
37217,Durnesti,BT,48.0,361.0
37280,Oras Flamanzi,BT,269.0,1646.0
37324,Frumusica,BT,75.0,539.0
37397,George Enescu,BT,38.0,327.0
37459,Gorbanesti,BT,55.0,438.0
37547,Havarna,BT,45.0,363.0
37618,Hanesti,BT,30.0,234.0
37672,Hiliseu-Horia,BT,55.0,422.0
37734,Hlipiceni,BT,54.0,392.0
37770,Hudesti,BT,77.0,629.0
37823,Ibanesti,BT,59.0,359.0
37850,Leorda,BT,27.0,222.0
37912,Lunca,BT,42.0,381.0
37958,Manoleasa,BT,51.0,408.0
38063,Mihai Eminescu,BT,74.0,462.0
38161,Mihaileni,BT,37.0,194.0
38241,Mihalaseni,BT,20.0,240.0
38321,Mileanca,BT,35.0,269.0
38376,Mitoc,BT,21.0,250.0
38456,Nicseni,BT,42.0,239.0
38492,Paltinis,BT,28.0,200.0
38544,Pomarla,BT,50.0,357.0
38580,Prajeni,BT,52.0,383.0
38633,Radauti-Prut,BT,43.0,336.0
38679,Rauseni,BT,38.0,271.0
38731,Ripiceni,BT,33.0,161.0
38811,Roma,BT,38.0,345.0
38848,Romanesti,BT,34.0,233.0
38893,Santa Mare,BT,30.0,284.0
38982,Suharau,BT,74.0,583.0
39051,Sulita,BT,29.0,259.0
39122,Sendriceni,BT,190.0,1046.0
39168,Oras Stefanesti,BT,119.0,866.0
39220,Stiubieni,BT,30.0,270.0
39266,Todireni,BT,119.0,615.0
39328,Trusesti,BT,176.0,1128.0
39391,Tudora,BT,67.0,520.0
39417,Ungureni,BT,80.0,814.0
39532,Unteni,BT,30.0,236.0
39612,Vaculesti,BT,25.0,152.0
39658,Viisoara,BT,22.0,171.0
39694,Varfu Campului,BT,32.0,306.0
39738,Vladeni,BT,75.0,318.0
39792,Vlasinesti,BT,37.0,283.0
39836,Vorniceni,BT,73.0,541.0
39872,Vorona,BT,238.0,1278.0
39942,Lozna,BT,34.0,236.0
39959,Dimacheni,BT,12.0,156.0
39967,Candesti,BT,22.0,184.0
39975,Cosula,BT,25.0,324.0
39983,Blandesti,BT,17.0,168.0
40035,Adaseni,BT,12.0,122.0
40198,Municipiul Brasov,BV,9191.0,51058.0
40214,Oras Ghimbav,BV,38.0,345.0
40241,Municipiul Codlea,BV,454.0,3100.0
40278,Municipiul Fagaras,BV,831.0,5283.0
40303,Oras Predeal,BV,55.0,356.0
40367,Oras Rasnov,BV,249.0,1907.0
40394,Oras Rupea,BV,181.0,1101.0
40438,Municipiul Sacele,BV,353.0,4053.0
40465,Oras Victoria,BV,194.0,1027.0
40492,Oras Zarnesti,BV,311.0,2555.0
40526,Apata,BV,23.0,434.0
40544,Beclean,BV,0.0,43.0
40606,Bod,BV,25.0,315.0
40633,Bran,BV,75.0,456.0
40688,Budila,BV,41.0,716.0
40704,Bunesti,BV,21.0,307.0
40768,Cata,BV,22.0,263.0
40820,Cincu,BV,13.0,177.0
40857,Comana,BV,20.0,354.0
40900,Cristian,BV,17.0,282.0
40928,Dumbravita,BV,30.0,433.0
40955,Feldioara,BV,73.0,715.0
40991,Fundata,BV,4.0,26.0
41033,Halchiu,BV,26.0,379.0
41088,Harman,BV,17.0,265.0
41113,Harseni,BV,14.0,146.0
41177,Hoghiz,BV,44.0,545.0
41248,Homorod,BV,16.0,193.0
41284,Jibert,BV,14.0,216.0
41346,Lisa,BV,13.0,162.0
41382,Maierus,BV,10.0,429.0
41417,Mandra,BV,14.0,111.0
41471,Moieciu,BV,44.0,371.0
41541,Ormenis,BV,15.0,249.0
41578,Parau,BV,16.0,219.0
41621,Poiana Marului,BV,35.0,294.0
41667,Prejmer,BV,205.0,1197.0
41701,Racos,BV,28.0,367.0
41738,Recea,BV,19.0,271.0
41818,Sercaia,BV,18.0,202.0
