Siruta,Localitate,NascutiVii_1000loc
61283,Ciocarlia,11.764705882352942
24089,Parincea,11.761697775504986
56988,Chinteni,11.757229107086113
174922,Oras Marasesti,11.755077747191429
17254,Mihaesti,11.753183153770813
30069,Magesti,11.751744399559309
145827,Oras Talmaciu,11.750305997552019
93209,Cocora,11.742602160638798
37850,Leorda,11.737089201877934
31789,Tinca,11.726696182840731
103014,Fundeni,11.711526607766592
149851,Poiana Stampei,11.703511053315994
167320,Puscasi,11.700680272108844
157424,Jebel,11.68289290681502
158109,Periam,11.680855276182934
140146,Balan,11.679211004412146
150294,Straja,11.667230300980723
37672,Hiliseu-Horia,11.660188784008884
155289,Ghiroda,11.655708308427974
159687,Oras Isaccea,11.651945123097162
125114,Ghindaoani,11.650485436893204
5577,Metes,11.64842922696788
57314,Catcau,11.647972389991372
105570,Tunari,11.636363636363637
149183,Izvoarele Sucevei,11.6331096196868
73665,Piscu Vechi,11.632133769538349
68182,Moroeni,11.630160883892227
52696,Dognecea,11.622501162250117
139358,Vetis,11.621472053126729
179481,Oras Otopeni,11.619414381515172
145765,Sura Mare,11.610076670317634
150258,Slatina,11.60507052312087
179775,Sabareni,11.600928074245939
100353,Valea Lupului,11.597340343281274
59130,Recea-Cristur,11.594202898550725
123709,Poienari,11.592434411226357
41248,Homorod,11.583011583011583
142337,Plopis,11.57854110382092
145275,Poiana Sibiului,11.560693641618498
53247,Maureni,11.556764106050306
23494,Motoseni,11.554015020219527
142881,Sarmasag,11.551155115511552
139107,Tiream,11.54639175257732
153696,Poeni,11.53715643026807
139214,Turulung,11.531365313653136
123371,Pastraveni,11.530912659470069
21418,Berzunti,11.528449237634808
144456,Chirpar,11.524358302776323
149370,Manastirea Humorului,11.521972132904608
96058,Braesti,11.51571739807034
24276,Pargaresti,11.49189411040427
146904,Baia,11.489645958583834
104715,Putineiu,11.48936170212766
150196,Satu Mare,11.486779367143477
165470,Puiesti,11.478050745066453
32179,Sannicolau Roman,11.47396293027361
34280,Rebrisoara,11.473429951690822
33845,Micestii De Campie,11.46384479717813
127386,Izvoarele,11.455713886560492
85680,Sancraieni,11.45475372279496
62440,Nicolae Balcescu,11.450381679389313
84264,Dealu,11.446663419386264
83375,Pauleni-Ciuc,11.446409989594173
123424,Petricani,11.437908496732026
98649,Probota,11.433129486838606
101822,Chiselet,11.428571428571429
168880,Bujoreni,11.42390860873113
104118,Mihai Bravu,11.42390860873113
11940,Secusigiu,11.422136422136422
103899,Izvoarele,11.42204454597373
158449,Sacosu Turcesc,11.417697431018079
155840,Bethausen,11.416339636104174
27212,Auseu,11.401743796109994
147580,Calafindesti,11.401743796109994
178545,Vizantea-Livezi,11.399466407955373
142373,Poiana Blenchii,11.391375101708705
33603,Lunca Ilvei,11.387473778843272
100317,Fantanele,11.385199240986717
42398,Vulcan,11.384062312762133
39168,Oras Stefanesti,11.381009002887719
78089,Turcinesti,11.374407582938389
83151,Bradesti,11.369253583786456
179819,Ograda,11.363636363636363
35429,Zagra,11.360487669714603
111916,Greci,11.3544201135442
147660,Ilisesti,11.351909184726523
104421,Nuci,11.347517730496454
36202,Avrameni,11.337284205101778
30149,Nojorid,11.336182865638357
62137,Mereni,11.331444759206798
40955,Feldioara,11.32991637442676
105712,Valea Argovei,11.326860841423947
43732,Ramnicelu,11.324470704086657
37459,Gorbanesti,11.318619128466327
