,u1,u2,u3,u4
113,-0.07497132604927292,-5.287206508481207e-05,-3.754168379711104e-05,8.235552896558137e-08
114,-0.10260109021858164,-5.2857788203084173e-05,-3.762001163411922e-05,8.26460182213887e-08
115,-0.14012299217690216,-5.283839984520584e-05,-3.7726382770796014e-05,8.304050980335669e-08
116,-0.13907530270663737,-5.2838941208428224e-05,-3.772341266762985e-05,8.302949477865563e-08
117,-0.1524272522346631,-5.28320419745551e-05,-3.776126421496756e-05,8.316987230264213e-08
118,-0.10769334834149659,-5.285515692595632e-05,-3.763444771695379e-05,8.269955636465181e-08
119,0.004604343948048393,-5.291318351134597e-05,-3.7316094100755975e-05,8.151889941577963e-08
120,-0.0777245565176432,-5.2870642432595755e-05,-3.754948895194444e-05,8.23844754258166e-08
121,-0.14757864282576325,-5.2834547353312505e-05,-3.774751885379846e-05,8.311889579302436e-08
122,-0.12111839248372686,-5.284821992257728e-05,-3.767250648079069e-05,8.284070237872043e-08
123,-0.06425078263260992,-5.287760461562697e-05,-3.7511292043775014e-05,8.224281708501265e-08
124,0.17413511915973284,-5.30007836375223e-05,-3.683548996503932e-05,7.973651472272072e-08
125,-0.1259670018926267,-5.284571454386151e-05,-3.7686251841958926e-05,8.289167888833481e-08
126,-0.1363220722382671,-5.284036386063067e-05,-3.7715607512797325e-05,8.300054831843565e-08
127,-0.11680581024566014,-5.285044832474836e-05,-3.766028070728929e-05,8.279536146313683e-08
128,-0.1417067088180001,-5.283758150539755e-05,-3.7730872461630684e-05,8.305716042206941e-08
129,-0.09872707566574207,-5.2859789988097355e-05,-3.760902915961795e-05,8.260528824636785e-08
130,-0.01854228388338311,-5.290122316071364e-05,-3.7381712659095026e-05,8.17622546124434e-08
131,-0.09721645363884865,-5.2860570558358926e-05,-3.760474668528369e-05,8.258940611774816e-08
132,-0.06678472925836662,-5.2876295271996334e-05,-3.75184755491088e-05,8.226945807497013e-08
133,-0.0763357588477573,-5.287136005360313e-05,-3.7545551838445254e-05,8.236987411401234e-08
134,0.21097480471881125,-5.3019819479760846e-05,-3.6731052849031654e-05,7.934919571499178e-08
135,-0.1145155123339185,-5.2851631769967124e-05,-3.7653787923622256e-05,8.277128210683039e-08
136,-0.06866082435628265,-5.287532585409623e-05,-3.7523794105942305e-05,8.228918265406753e-08
137,-0.09468250701309193,-5.286187990197548e-05,-3.75975631799508e-05,8.256276512779006e-08
138,-0.09916564335096921,-5.285956337095291e-05,-3.76102724586164e-05,8.260989918693784e-08
139,-0.06578576953090486,-5.287681145553941e-05,-3.751564359027509e-05,8.225895537700623e-08
140,-0.14867506203883105,-5.283398081038306e-05,-3.77506271012988e-05,8.313042314443717e-08
141,-0.061984849592269776,-5.2878775471012184e-05,-3.750486833227452e-05,8.221899389207827e-08
142,0.05131180242473697,-5.293731823997995e-05,-3.718368275724237e-05,8.10278342452432e-08
143,-0.16222193053806883,-5.282698085776328e-05,-3.7789031225969964e-05,8.327284997534032e-08
144,-0.12942681363164066,-5.2843926786207384e-05,-3.769606008962507e-05,8.29280540861599e-08
145,-0.01885902721160269,-5.2901059492751167e-05,-3.738261059726218e-05,8.176558473618794e-08
146,-0.12893951620361055,-5.2844178583045423e-05,-3.7694678646292823e-05,8.292293081886244e-08
147,-0.002705117472403655,-5.290940655850923e-05,-3.733681575075806e-05,8.159574842525291e-08
148,-0.10467210428770973,-5.285671806645172e-05,-3.7625882768286136e-05,8.266779210740567e-08
149,-0.0577453619684076,-5.288096610367083e-05,-3.749284977527248e-05,8.217442146658309e-08
150,-0.1031127525180133,-5.285752381639302e-05,-3.762146214961852e-05,8.265139765205004e-08
151,-0.13483581508277517,-5.2841131841079515e-05,-3.7711394110629384e-05,8.298492235318126e-08
152,-0.05060645464776609,-5.2884654927605153e-05,-3.747261163043746e-05,8.209936560066505e-08
153,-0.13079124643012505,-5.284322175499886e-05,-3.769992813096054e-05,8.294239923460226e-08
154,-0.10262545508998318,-5.28577756132584e-05,-3.762008070628545e-05,8.264627438475474e-08
155,-0.10084681947767317,-5.285869467177129e-05,-3.761503843811823e-05,8.262757445911737e-08
