,z1,z2,z3,z4
235,-0.011119412842875537,-0.016451619699769406,-0.005916288712844643,0.0009215538109674194
236,-0.05598658303254305,-0.08258686981917389,-0.03044043018429281,0.004741569555745132
237,-0.06304368046357947,-0.09298919521089388,-0.03429779972743345,0.005342414743552357
238,-0.022544630480809714,-0.03329265565009146,-0.012161248056398441,0.0018943031749215455
239,-0.026090792584258966,-0.038519780888526464,-0.014099560206196227,0.0021962253824386532
240,-0.02314348567046505,-0.03417538209764174,-0.01248857891613251,0.0019452900377803946
241,-0.028357048498052692,-0.041860294699844196,-0.015338282871464347,0.0023891756673750835
242,-0.04613482804978172,-0.06806515433888591,-0.025055516629059874,0.0039027856745966114
243,-0.04612308579116102,-0.06804784597716923,-0.02504909837690823,0.003901785932187615
244,-0.05436615134288742,-0.08019831590227311,-0.029554711387365335,0.004603605103303542
245,-0.05335631710150783,-0.0787097967946393,-0.029002741702323576,0.004517627256129794
246,-0.06620234803254584,-0.09764514451267867,-0.03602430955622683,0.005611345451572564
247,-0.041097399101504464,-0.06063986716243353,-0.022302086456002755,0.0034738961811368783
248,-0.021910548515292297,-0.032358004117391155,-0.011814662440209435,0.0018403170848357046
249,-0.05912176608426805,-0.08720820239752536,-0.03215410350878291,0.005008500778947345
250,-0.049258268842886026,-0.07266917855552071,-0.026762771701398343,0.004168717155389825
251,-0.046674971946333584,-0.06886133897785283,-0.025350756228035697,0.003948773825410476
252,-0.0496222788601275,-0.07320573776873754,-0.02696173751809943,0.004199709170068734
253,-0.03972355484288341,-0.05861478884158289,-0.021551150954259916,0.0033569263192842237
254,-0.04429129344633294,-0.06534774154936838,-0.0240478510412511,0.003745826116384075
255,-0.06889132525668452,-0.10160875934579663,-0.03749408929895428,0.005840286463232885
256,-0.04911736173943771,-0.07246147821492066,-0.026685752675578545,0.004156720246481862
257,-0.04688633260150606,-0.06917288948875293,-0.025466284766765362,0.003966769188772423
258,2.235339052916363,3.2948802937636557,1.2219852034275989,-0.19034316542389335
259,-0.017413263463566926,-0.02572890157990571,-0.00935647186612813,0.0014574157421898366
260,-0.0010797817221831223,-0.0016529704320146753,-0.0004286831231853455,6.67740512749448e-05
261,-0.022192362722188923,-0.03277340479859129,-0.011968700491848984,0.0018643109026516345
262,0.033677303795067816,0.049579780249335036,0.018569343245693638,-0.0028924634793563117
263,0.5359641585538266,0.7899622610417051,0.2931164972846015,-0.04565744476661395
264,-0.020067013911843512,-0.029640591327873618,-0.01080699685240065,0.0016833575266231695
265,-0.020407539411843607,-0.030142533817657115,-0.010993126164798443,0.0017123500564840842
266,0.1625485921571722,0.2395390500898124,0.08900966061003376,-0.013864636418098895
267,0.20037040717442398,0.29528928317921355,0.10968285079049295,-0.017084806717478376
268,0.2080733288295985,0.30664356846535057,0.11389322420197416,-0.017740637737780448
269,-0.021440858170464584,-0.031665669648724276,-0.011557932354143503,0.001800327388475823
270,0.07208623174335424,0.10619543142456979,0.039563446033735246,-0.0061626208991856475
271,-0.008911868222185275,-0.013197647697035034,-0.004709657308334758,0.0007336022380759751
272,-0.052863142239438735,-0.07798284560253907,-0.02873317511195436,0.0044756380749519185
273,0.0018675251916107929,0.002691428358870045,0.0011822981668783894,-0.00018416129338331218
274,0.013292742829544969,0.019532464309192095,0.007427257510432188,-0.0011569106573374385
275,-0.05576348011874988,-0.0822580109465571,-0.0303184833934115,0.004722574449974189
276,-0.014736028498048948,-0.021782595108504447,-0.007893110375552315,0.0012294744729385103
277,-0.01898672611873977,-0.028048222049939776,-0.01021651765444901,0.0015913812249954398
278,-0.025327545773913926,-0.037394737376942766,-0.01368237381633909,0.0021312421258538445
279,0.00767994320885377,0.011259067408622783,0.0043593329819443015,-0.0006790337858368499
280,-0.04843631073943753,-0.07145759323535367,-0.026313494050782944,0.004098735186760033
281,-0.04092126522219408,-0.06038024173668346,-0.022205812673728034,0.0034589000450019228
282,-0.021464342687705966,-0.03170028637215761,-0.011570768858446798,0.0018023268732938178
283,-0.03551982625667535,-0.052418395347014236,-0.019253416683969814,0.002999018536863282
284,-0.018493551256670668,-0.027321270857839548,-0.009946951064079777,0.0015493920438175645
285,0.0022550197260936575,0.0032626042955202273,0.0013941004878827807,-0.0002171527928802152
286,-0.055070686860129,-0.08123681760527345,-0.02993980651646424,0.004663589647843363
287,-0.01657956310149773,-0.02450000789802198,-0.00890077596336111,0.0013864340311510455
288,-0.0395709054808144,-0.05838978013926615,-0.021467713676288486,0.0033439296679672616
289,-0.05935661125668191,-0.0875543696318588,-0.032282468551815865,0.005028495627127286
290,0.09137876265715264,0.13463306972506223,0.0501086343188934,-0.007805197677167796
291,-0.04888251656702385,-0.07211531098058721,-0.026557387632545573,0.004136725398301921
292,0.05062138298472764,0.07455574620649302,0.027830881100522127,-0.004335091775539051
293,-0.016837892791152973,-0.02488079185578877,-0.009041977510697363,0.0014084283641489813
294,-0.055387727842887716,-0.0817041433716236,-0.030113099324558745,0.004690582692886284
295,-0.02717108037736271,-0.0401121501664603,-0.014690039404147873,0.002288201684066382
296,-0.0481544965325409,-0.07104219255415352,-0.026159455999143384,0.004074741368944103
297,-0.024482103153224036,-0.03614853533334237,-0.013220259661420406,0.0020592606724060586
298,0.0012099587088519898,0.0017221601027364033,0.0008228760463860732,-0.0001281757184794792
299,-0.04243601658426346,-0.06261302039813417,-0.023033767201290658,0.0035878668157625425
300,-0.0026767288945973534,-0.0040069076254820955,-0.0013015654158095079,0.00020273901889854415
301,-0.016544336325635654,-0.024448082812871967,-0.008881521206906159,0.001383434803924055
302,-0.053532450980818234,-0.0789694222203894,-0.029099015484598312,0.004532623392264751
303,-0.06231566042909651,-0.09191607678446018,-0.03389986809403127,0.00528043071419454
304,-0.044784468308402034,-0.0660746927414686,-0.024317417631620326,0.003787815297561951
305,-0.016438655998049414,-0.024292307557421913,-0.008823756937541326,0.001374437122243082
306,-0.01918634451529155,-0.02834246419912321,-0.010325627941027026,0.0016083768459483907
307,-0.03090511861874305,-0.04561620919236206,-0.016731043588372033,0.0026061197701274415
308,-0.01729584087735999,-0.025555817962738984,-0.009292289344611643,0.0014474183180998661
309,-0.041484893635987334,-0.06121104309908372,-0.022513888777007163,0.0035068876806337813
310,-0.047849197808402875,-0.07059217514952004,-0.02599258144320053,0.00404874806631018
311,0.03623711617437886,0.05335300310356957,0.019968522214752947,-0.003110407324517669
312,0.029520544243342536,0.04345262020163307,0.01629728198401015,-0.0025385546665713556
313,-0.06251527882564828,-0.09221031893364362,-0.03400897838060927,0.0052974263351474905
314,-0.03561376432564089,-0.05255686224074761,-0.019304762701182993,0.0030070164761352583
315,-0.04139095556702179,-0.06107257620535033,-0.022462542759793962,0.003498889741361804
316,-0.042224655929090985,-0.06230146988723406,-0.02291823866256099,0.0035698714524005954
317,-0.03621261951529624,-0.0534395886882979,-0.019632093560917066,0.0030580033389941068
318,-0.030094902773915237,-0.044421932233911686,-0.016288184189908295,0.002537137543906647
319,-0.02491656672218968,-0.03678894471685924,-0.013457734991031403,0.002096251141538948
