Indicativ,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17
if,0.7158050642427165,-0.23411175253960503,-0.9714475618661577,-0.6159025776872866,0.2020747128101867,-1.1831699458799185,0.13668929870998253,-0.022319382490804684,-0.4765553386004172,0.10469777407322288,-0.006443644774756792,-0.5851862593132522,0.19498353222402934,-0.22923325499591302,-0.8356579274570117,-0.009895296132545583,0.13595560076639718
mm,0.2534071976646143,0.034427573753910846,0.5887323798545551,0.023429940841292046,-0.3844570176884965,-0.13794188324271664,-0.5482845702542974,0.09557826392876032,-0.18605111118433576,-0.3315476606319242,1.9042552420767374,0.560017179480406,-0.4834540011821441,0.7733539791037125,-0.496309145257657,0.6507562400731406,0.6249193832803563
mh,-0.17247688936907124,0.027032612509249227,-0.7582795381956255,-0.6846986066289562,0.7726338546808116,0.43712962237203434,-0.594882358869304,0.8045840372920846,-0.32623999120402014,-0.13690463315432488,0.2312713414334236,0.3114151655727052,0.3493079028574559,0.12513237978992384,0.5394795664251172,-1.1889049035782886,0.2864677090629666
b,-0.12360736692762632,-1.1394322385881552,-1.0236466308856154,-0.1988395258015561,0.42913880225990053,-0.33920729575113784,1.4278081224639985,-0.6688441286225333,-0.41671779292790456,-0.4636800398406893,0.45774192209795345,-0.711907212504366,-0.4160241813801781,0.3742330493935277,0.7009572326168714,-0.38637601852813513,0.17428012456166658
ms,0.07961563981480224,-0.4737066246669974,0.674775018830349,0.056299963406205016,0.1404890307650195,1.0494402573803125,1.0818049248885784,0.49080363555890144,1.201275316966741,1.3021051605335259,-0.11945043943273874,-1.0779890825423368,-0.4359841856478036,0.04597248847316789,1.7650568735255858,0.3482282044673241,0.9811259616135456
nt,-0.20280895072644728,0.06512663974471092,-0.3363612746736934,0.6719670302152672,-0.8246063155514437,-0.13778558496386864,-0.7370711970066248,1.2497480459275707,-0.11380709921630877,-0.011421072910466313,0.39865441749314934,1.0410893804654842,0.2754417175555538,-1.209308716520368,1.6014159767062615,-0.2701806903381673,0.10150604715833243
ot,-0.30863761890908564,0.3576614965743929,-0.6807077701382949,-0.2794654623414492,0.887596463107215,-0.6134973180894172,-0.96656836883209,-0.05680704972478678,-0.3832774727967567,1.369143239132818,0.13020696160241158,-0.17262195185789933,-0.3429811891045771,-0.5548583328490764,-0.277906217367017,-0.7051235740824081,0.6213698832384095
ph,0.02250300645512393,0.5403476727439198,-0.44645431078257053,0.45844519917035137,-0.6088563916974279,-0.8076159232480136,0.8267135662277659,-0.1678217250231539,-0.010978028859189845,-0.1464548873996273,0.6691035296778892,-0.1031016809531786,1.5833375704703454,1.0408329751607626,-0.8540393374323666,-0.38273654093933435,0.9324411279858793
sj,0.10862607109715132,-0.1383663543446171,0.6304901680644814,0.43352637600997457,1.153649806788633,0.07125961984714997,-0.49215850263363786,-0.284231510431803,1.3602984819267054,-0.9152083723294139,0.1724515019719973,-0.5828116599806157,-0.04154471564830207,0.5347645733793872,0.14434479424854862,-0.34378735016165146,0.3117534103133116
sm,0.23477052731730164,0.045614163934751595,0.23853494900658478,0.696431415977505,0.4443323232913771,1.3927439673306283,-0.19986530258031163,-0.3375555370643338,-0.34336866591332793,-0.1692520299033057,1.284258511363199,0.2445158842155118,-0.9619460866327327,-0.6357532179891584,-0.0012797546354767506,0.42624380789187916,1.8447886038119852
sb,0.2991378310876589,-0.09007990287830246,-0.050051365783738255,-0.17633600335456515,-0.49119622269730073,0.07791764865924868,0.5101840644396317,-0.023631299918593005,0.2401058085491648,1.1130418695439253,-0.3558289326093979,-0.5721371673411905,0.407789249188149,0.03578329719260311,-1.0474465920443983,-0.3477344256881193,1.220221704722199
sv,0.16501123539185136,-0.45711897239099997,0.4215817305796183,-0.3461074861670904,0.32120997833673415,-0.590761636377233,-0.8135560556701799,-0.6209104367698814,0.7465374500186077,0.2846716613051078,0.45540803849615247,-0.25238928363751145,-0.6000305766659749,0.4606707577243282,0.8687695548158826,-1.2343408395778181,-0.7101012943674662
tr,-0.6829984059435373,0.2602185330075496,-0.5181806643896721,-0.6240556068192847,0.921732729179915,-0.03819472115205149,-0.48472079599038903,0.25989656618119017,0.16047766849353107,-0.31404231234039814,-0.1544156955624872,-0.1716776572735527,-0.5200644948809298,0.3792593647981011,0.3147889235387057,-0.8173611860856282,-0.4627410545307546
tm,0.3624687453297301,0.113719447966942,0.00454681573063776,-0.9370461103717818,-1.4659009741955171,2.1553987511139483,-0.6869381011382133,-2.539209471386499,0.8238265005894864,0.3802505887946609,0.09652011011237478,0.25945484819406084,0.08214524742621343,0.18489840481036426,-0.6460990593628912,-0.1736311544589021,-0.2692750918522913
tl,-0.27281220818130353,-0.09582313572109188,0.055932066912106004,-0.15435130066566938,-0.6869984730720651,0.4985134363558816,0.5063898910375523,1.3107209363725274,2.1519282531307358,-0.6688470862252447,-0.7245480543158546,0.6860917965831156,-0.6294270469070522,-0.4167360123851728,0.30667301195119245,0.26075003520499823,-1.4499189916874027
vl,0.11878672780186629,-0.5610031873436508,-0.5320044456775124,-0.5224900219219549,-0.03735994752358314,-1.478297606245122,-0.9401510852907022,-0.2726667499451793,-0.03260863485694072,0.10897207725089185,-0.7047228453387657,0.48877244147981624,-0.15434400486081923,0.07472784166241547,-1.1533067142101938,1.4206565933019237,-0.10702268168197687
vs,-0.4395985951136301,-0.7079526997352058,0.23501996884567006,0.6130862592787292,-0.2525098898749454,-0.7399431194968821,-0.1413408076663659,1.5996287253887918,0.6969426761871772,0.41042841762855414,-0.5390525503932591,0.250198249443581,0.2965587914877448,-0.3846747990169805,-0.7228420503427265,0.42519902340792753,1.9381129594225268
vn,-0.12138379344416714,-0.06976198838877838,0.6492438647302043,-0.6470415534221766,0.7337440512716106,1.2256386601805778,-0.031573493495464844,1.2043227696710186,-0.7506977523904476,-0.5033868867255903,1.4083098132675276,-2.451118769673537,1.9192813218169453,-1.7149267851922145,-1.4694906436589281,0.41009912986675007,-1.2509344694345916
