CountryID,F1,F2,F3,F4,F5
752,1.43583,0.32438,-0.53215,1.32032,0.50631
756,2.60833,-2.49521,-1.60002,-1.47012,-2.62227
760,-0.61005,-0.04963,0.08048,-0.24365,-0.01
762,-0.60721,-0.06543,0.04457,-0.21869,-0.08421
764,-0.37216,-0.00098,0.14835,0.0728,0.44883
768,-0.61026,-0.09731,0.04099,-0.24543,-0.11757
776,-0.46607,-0.00575,-0.26443,0.19479,-0.53651
780,-0.09533,-0.3149,-0.13638,-0.51655,0.51242
784,0.98538,0.33775,1.48782,0.12886,2.98304
788,-0.50941,-0.1231,-0.06896,-0.14452,-0.26129
792,-0.28863,-0.10003,-0.08154,0.06636,0.21027
795,-0.3326,-0.24834,-0.06146,0.5731,0.11799
796,0.10822,0.5321,0.08854,-0.6134,-0.17344
798,-0.40975,0.21503,-0.11855,0.16829,-0.27392
800,-0.61193,-0.10935,0.01223,-0.23367,-0.14529
804,-0.48771,-0.04826,-0.03626,-0.02141,-0.14251
807,-0.38868,0.02138,0.04732,0.02386,-0.05895
818,-0.50099,-0.05887,-0.08655,-0.11871,-0.07103
826,0.83998,0.4357,-0.69977,-0.14962,0.14417
835,-0.6,-0.1066,-0.04775,-0.15414,-0.24288
836,-0.59997,-0.12713,-0.08118,-0.16264,-0.32405
840,1.65334,0.32218,-1.49992,-1.40006,0.77678
854,-0.6161,-0.10366,0.04251,-0.2654,-0.10116
858,-0.09802,0.00471,-0.49578,0.42381,-0.55051
860,-0.565,-0.0402,-0.00799,0.02981,-0.07576
862,-0.50279,-0.09977,0.06279,-0.34958,0.20201
882,-0.4947,0.02701,-0.04145,-0.20275,-0.12192
887,-0.63186,-0.11238,0.06118,-0.34437,-0.10566
894,-0.60233,-0.10044,0.06266,-0.34249,-0.04808
