Siruta,Localitate,Categorie_Max,Categorie_Min
15983,Cotmeana,Barbati_45-64,Femei_18-24
16132,Cuca,Barbati_45-64,Femei_18-24
16285,Davidesti,Barbati_45-64,Barbati_18-24
16329,Dambovicioara,Barbati_45-64,Femei_18-24
16365,Darmanesti,Barbati_45-64,Femei_18-24
16427,Dobresti,Barbati_45-64,Femei_18-24
16454,Domnesti,Barbati_45-64,Barbati_18-24
16472,Dragoslavele,Barbati_45-64,Femei_18-24
16506,Draganu,Barbati_45-64,Femei_18-24
16551,Godeni,Barbati_45-64,Femei_18-24
16613,Harsesti,Barbati_45-64,Barbati_18-24
16659,Hartiesti,Barbati_45-64,Femei_18-24
16739,Izvoru,Barbati_45-64,Femei_25-34
16757,Leordeni,Barbati_45-64,Barbati_18-24
16908,Leresti,Barbati_45-64,Femei_18-24
16944,Lunca Corbului,Barbati_45-64,Barbati_18-24
17049,Malureni,Barbati_45-64,Femei_18-24
17101,Merisani,Barbati_45-64,Barbati_18-24
17209,Micesti,Barbati_45-64,Femei_18-24
17254,Mihaesti,Barbati_45-64,Femei_18-24
17334,Mioarele,Barbati_45-64,Barbati_18-24
17398,Mirosi,Barbati_45-64,Femei_18-24
17423,Moraresti,Barbati_45-64,Barbati_18-24
17496,Mosoaia,Barbati_45-64,Femei_18-24
17575,Mozaceni,Barbati_45-64,Femei_18-24
17619,Musatesti,Barbati_45-64,Barbati_18-24
17726,Negrasi,Barbati_45-64,Femei_25-34
17771,Nucsoara,Barbati_45-64,Femei_18-24
17824,Oarja,Barbati_45-64,Femei_18-24
17851,Pietrosani,Barbati_45-64,Femei_18-24
17913,Poienarii De Arges,Femei_45-64,Femei_18-24
17968,Poienarii De Muscel,Barbati_45-64,Femei_18-24
18028,Poiana Lacului,Barbati_45-64,Barbati_18-24
18162,Popesti,Barbati_45-64,Femei_25-34
18242,Priboieni,Barbati_45-64,Femei_18-24
18331,Ratesti,Barbati_45-64,Femei_18-24
18411,Recea,Barbati_45-64,Femei_18-24
18475,Rociu,Femei_65_,Femei_18-24
18527,Rucar,Barbati_45-64,Barbati_18-24
18554,Salatrucu,Femei_45-64,Femei_18-24
18581,Sapata,Barbati_45-64,Femei_18-24
18670,Schitu Golesti,Barbati_45-64,Femei_18-24
18741,Slobozia,Barbati_45-64,Femei_18-24
18778,Stalpeni,Barbati_45-64,Barbati_18-24
18858,Stoenesti,Barbati_45-64,Femei_18-24
18938,Stolnici,Barbati_45-64,Femei_18-24
19007,Suseni,Barbati_45-64,Barbati_18-24
19114,Stefan Cel Mare,Barbati_45-64,Femei_18-24
19141,Suici,Femei_45-64,Barbati_18-24
19212,Teiu,Barbati_45-64,Barbati_18-24
19249,Tigveni,Barbati_45-64,Femei_18-24
19338,Titesti,Barbati_45-64,Femei_18-24
19392,Uda,Barbati_45-64,Femei_18-24
19560,Ungheni,Barbati_45-64,Femei_18-24
19631,Valea Danului,Barbati_45-64,Barbati_18-24
19695,Valea Iasului,Barbati_45-64,Femei_18-24
19793,Vedea,Barbati_45-64,Femei_18-24
19999,Vladesti,Barbati_45-64,Femei_18-24
20048,Raca,Barbati_45-64,Femei_18-24
20055,Vulturesti,Barbati_45-64,Femei_18-24
20063,Bughea De Sus,Barbati_45-64,Femei_18-24
20297,Municipiul Bacau,Femei_45-64,Femei_18-24
20313,Hemeius,Barbati_45-64,Barbati_18-24
20359,Letea Veche,Barbati_45-64,Femei_18-24
20411,Magura,Barbati_45-64,Femei_18-24
20466,Margineni,Barbati_45-64,Femei_18-24
20563,Municipiul Onesti,Femei_45-64,Femei_18-24
20607,Gura Vaii,Barbati_45-64,Barbati_18-24
20670,Stefan Cel Mare,Barbati_45-64,Femei_18-24
20778,Oras Buhusi,Femei_45-64,Femei_18-24
20821,Oras Comanesti,Femei_45-64,Femei_18-24
20876,Municipiul Moinesti,Barbati_45-64,Femei_18-24
20910,Oras Slanic-Moldova,Barbati_45-64,Barbati_18-24
20965,Oras Targu Ocna,Femei_45-64,Femei_18-24
21007,Agas,Barbati_45-64,Femei_18-24
21098,Ardeoani,Barbati_45-64,Femei_18-24
21123,Asau,Barbati_45-64,Femei_18-24
21196,Balcani,Barbati_45-64,Barbati_25-34
21249,Beresti-Bistrita,Barbati_45-64,Femei_18-24
21338,Beresti-Tazlau,Barbati_45-64,Femei_18-24
21418,Berzunti,Barbati_45-64,Femei_18-24
21454,Barsanesti,Barbati_45-64,Femei_18-24
21506,Blagesti,Barbati_45-64,Femei_18-24
21560,Bogdanesti,Barbati_45-64,Femei_18-24
21597,Brusturoasa,Barbati_45-64,Barbati_18-24
21668,Buhoci,Barbati_45-64,Femei_25-34
21720,Casin,Barbati_45-64,Femei_18-24
21757,Caiuti,Barbati_45-64,Barbati_18-24
21855,Cleja,Barbati_45-64,Femei_25-34
21891,Colonesti,Barbati_45-64,Femei_18-24
21971,Corbasca,Barbati_45-64,Femei_25-34
22059,Cotofanesti,Barbati_45-64,Femei_18-24
22111,Damienesti,Barbati_45-64,Femei_25-34
22166,Oras Darmanesti,Femei_45-64,Femei_18-24
22237,Dealu Morii,Barbati_45-64,Femei_18-24
22380,Dofteana,Barbati_45-64,Femei_18-24
22460,Faraoani,Femei_45-64,Femei_25-34
22488,Filipeni,Barbati_45-64,Femei_25-34
22576,Filipesti,Barbati_45-64,Femei_18-24
22665,Gaiceana,Barbati_45-64,Barbati_18-24
22718,Ghimes-Faget,Barbati_45-64,Barbati_18-24
22781,Garleni,Femei_45-64,Barbati_25-34
22834,Glavanesti,Barbati_45-64,Femei_18-24
22898,Helegiu,Barbati_45-64,Femei_25-34
22941,Horgesti,Barbati_45-64,Femei_18-24
23047,Huruiesti,Barbati_45-64,Femei_18-24
23127,Izvoru Berheciului,Barbati_45-64,Barbati_18-24
23207,Lipova,Barbati_45-64,Femei_18-24
23289,Livezi,Barbati_45-64,Femei_18-24
23350,Luizi-Calugara,Barbati_45-64,Femei_25-34
23387,Magiresti,Barbati_45-64,Femei_18-24
23449,Manastirea Casin,Barbati_45-64,Femei_18-24
23494,Motoseni,Barbati_45-64,Barbati_18-24
23644,Negri,Barbati_45-64,Barbati_18-24
23715,Nicolae Balcescu,Barbati_45-64,Femei_25-34
23797,Oituz,Barbati_45-64,Femei_18-24
23868,Oncesti,Barbati_45-64,Femei_18-24
23948,Orbeni,Barbati_45-64,Femei_18-24
23975,Palanca,Barbati_45-64,Femei_18-24
24034,Parava,Barbati_45-64,Barbati_18-24
24089,Parincea,Barbati_45-64,Barbati_18-24
24187,Pancesti,Barbati_45-64,Barbati_18-24
24276,Pargaresti,Barbati_45-64,Barbati_25-34
24338,Parjol,Barbati_45-64,Barbati_18-24
24427,Plopana,Barbati_45-64,Femei_18-24
24524,Podu Turcului,Barbati_45-64,Barbati_18-24
24631,Poduri,Barbati_45-64,Femei_18-24
24711,Racova,Barbati_45-64,Femei_18-24
24766,Racaciuni,Barbati_45-64,Femei_25-34
24837,Rachitoasa,Barbati_45-64,Barbati_18-24
24999,Rosiori,Barbati_45-64,Barbati_18-24
25068,Sascut,Barbati_45-64,Femei_18-24
25148,Sanduleni,Barbati_45-64,Femei_18-24
25228,Saucesti,Barbati_45-64,Femei_18-24
25291,Scorteni,Barbati_45-64,Femei_25-34
25362,Secuieni,Barbati_45-64,Femei_25-34
25488,Solont,Barbati_45-64,Femei_25-34
25521,Stanisesti,Barbati_45-64,Femei_18-24
25629,Strugari,Barbati_45-64,Femei_18-24
25692,Tamasi,Barbati_45-64,Barbati_18-24
25745,Tatarasti,Barbati_45-64,Femei_18-24
25825,Targu Trotus,Barbati_45-64,Femei_18-24
25861,Traian,Barbati_45-64,Femei_18-24
25932,Ungureni,Barbati_45-64,Femei_18-24
26029,Urechesti,Barbati_45-64,Femei_18-24
26083,Valea Seaca,Barbati_45-64,Femei_18-24
26118,Vultureni,Barbati_45-64,Femei_18-24
26289,Zemes,Barbati_45-64,Femei_25-34
26320,Sarata,Barbati_45-64,Femei_18-24
26338,Buciumi,Barbati_45-64,Femei_18-24
26346,Gioseni,Barbati_45-64,Femei_18-24
26353,Odobesti,Barbati_45-64,Femei_25-34
26361,Prajesti,Barbati_45-64,Barbati_25-34
26379,Itesti,Barbati_45-64,Femei_18-24
26564,Municipiul Oradea,Femei_45-64,Femei_18-24
26582,Sanmartin,Barbati_45-64,Femei_18-24
26653,Santandrei,Barbati_45-64,Barbati_18-24
26699,Oras Alesd,Barbati_45-64,Femei_18-24
26742,Astileu,Barbati_45-64,Femei_18-24
26804,Municipiul Beius,Femei_45-64,Femei_18-24
26840,Oras Stei,Barbati_45-64,Femei_18-24
26877,Municipiul Marghita,Femei_45-64,Femei_18-24
26920,Oras Nucet,Barbati_45-64,Barbati_18-24
26975,Municipiul Salonta,Femei_45-64,Femei_18-24
27007,Oras Vascau,Femei_45-64,Femei_18-24
27070,Abram,Barbati_45-64,Femei_18-24
27169,Abramut,Femei_45-64,Barbati_18-24
