Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
il,0.025027610371910494,0.018847153861758524,0.4151717464684184,0.008188897029463836,0.009252425641144141,0.006164252987680109,0.07407215665570623,0.039691601291430935,0.004826041553492491,0.07602429376219819,0.05818767898888249,0.09673556699281144,0.05691822125773011,0.02001400142520418,0.06283623242716577,0.027704270883556845,0.00033784840144578495
is,0.20416235131100985,0.04545189227112065,0.02536596380614859,0.5171410684498592,0.05588152409814596,0.0030657329763745748,0.00011221809759963497,0.0026736678477821676,0.014099343765328782,0.012678391290341456,0.08045320934085767,0.005841987180785937,0.023476467538909043,0.0059569661343969035,0.0020984747610726384,0.001533462815661629,7.2783146054198494e-06
if,0.8393935548062225,0.050497567684708505,0.03465321540610979,0.0019183382304413792,0.015916789313001237,0.0004824095012768207,5.7293383351559584e-06,0.00819765869722135,0.0265023969524952,0.0037788925218389027,3.3190239217831626e-07,0.001189072993511046,0.006347573959516517,0.0007993031123517061,0.010315447139672324,4.642873979543638e-07,1.2541535074652242e-06
mm,0.12265928797059596,0.01712835909568557,0.2691654898217382,0.011737166795767815,0.06882178040672447,0.05657236116822087,0.040194487394451674,0.023407222105116816,0.024530111241047686,0.0607578790164258,0.03541656067124027,0.023208523891809208,0.19350812719620294,0.04845089859745721,0.0019809139631461474,0.0015648637223133115,0.0008959669420559728
mh,0.00252994547766002,0.28328483045628366,0.34920968954335946,0.019821901094306663,0.037302574789103114,0.09922274710831873,0.010265085360523401,0.07080377235006008,0.00010287961997071874,0.019247049760469183,0.04520103632450246,2.258165680953698e-05,0.014779479235039037,0.015898211789657907,0.019383916231996656,0.012724874871762179,0.00019942433017714443
b,0.4040628609591235,0.0010266851373599956,0.030670594624242615,0.21585815478297973,0.0015464239033692638,0.06426469800736108,0.03238680017339296,0.051390122399036155,0.04242829776745884,0.04063749973572034,0.07422514914000311,0.008740658341283753,0.012005312137085208,0.0023328320628473098,0.015038856484976847,0.0032895432304127204,9.551111334653099e-05
ms,0.04604487236950019,0.011678760408059116,0.46171721837364,0.012158344768350765,0.00022417294131364394,0.206745767278991,0.0330060128252889,0.0512899092226083,0.0004259935254977125,0.004142615183022731,0.08243893459114388,0.022211398344566077,0.003591356235135573,0.049557031239894744,0.002382626842576767,0.012331681611714463,5.330423869609523e-05
nt,0.4807793794714239,4.403472813657152e-05,0.04214359162761592,0.04283196594260226,0.0020623212158644285,5.381783507092454e-06,0.05935221597201674,0.22926694441917278,0.010638594295952446,0.060902819896936036,0.03666868937205585,0.018663442310719636,0.00036055929418907413,0.013030438309879381,0.0015375001012091108,0.0017114563815452993,6.64877173263004e-07
ot,0.09571077958639838,0.10237138978396376,0.4686170459532928,0.03340487245688054,0.011221863857401882,0.06086412388298116,0.022694219699125405,0.003000335545478072,0.0027878909707766534,0.13291494502729087,0.005896816611693936,0.0015126985630469708,0.05464277756346817,0.004068367381521223,2.9470521698865476e-06,0.0002493892724295046,3.953679208077037e-05
ph,0.08327000478366238,0.23737556728876746,0.01983645330537733,0.04805604527481804,0.24630129990513447,0.02626331750028754,0.008652107355906226,0.059445274032848765,0.025157997008414743,0.00925935712134967,0.024901938780133328,0.0029156141112467973,8.747878428504461e-05,0.13923960349541925,0.05002858300411855,0.0191785031370135,3.08551112169466e-05
sj,0.025976877449263223,0.30393579556098793,0.042248202583990334,0.10955287777633187,0.04390571836663257,0.038662252739417424,0.12474268528710951,0.01505780393401247,0.10567434004679235,0.07318596398501216,0.06888918866653806,9.191014653899754e-05,0.005478020536954949,0.009708601086526858,0.030412367381507353,0.002339416735835573,0.00013797771654842976
sm,7.143253698973897e-05,0.40065502246567936,0.17153493288923174,0.019395033178747023,0.015567785308745356,0.03903652639104496,0.02084583985196398,0.014585875170249061,0.0757271084773507,0.022023640539696864,0.14477682538621875,0.037395101490245435,0.01903943282870954,0.00233335633896134,0.004419871129416469,0.012046502551818807,0.0005457134649308421
sb,0.27947305362501845,0.00024864410269010524,0.1920810524103148,0.06770362078124158,0.03568163628086844,0.0037454364498920104,0.008789980294668211,0.2959371736418978,0.00018002031636010234,0.07259386474221448,0.013433956571479375,0.001540308823798003,0.02637499261986979,0.0007194152336428993,0.0013812339003394841,0.00011453068777930511,1.079517925033037e-06
sv,0.37169019558777866,0.09404988155717035,0.04273280144822379,0.0013940304325452215,0.11262300872246951,0.0087417464557218,0.08766730708810308,0.03138329442131214,0.0053849723067613976,0.0033493682988948487,0.010236014571734143,0.09968166043469297,0.02376914909826944,0.018868513662038094,0.06098380693781107,0.027422703737186745,2.1545239286917664e-05
tr,0.2441260904389023,0.12777887637234703,0.542797356015355,0.0006293461175555659,0.005866334504717956,0.00229982319299426,0.011981271656686977,0.011455756528363278,0.027907834294071943,0.003957098901369482,0.0069340761202424635,0.0034142034892594496,0.000514121778827363,0.005983617755027194,0.0007878980926922033,0.0035094880866150375,5.6806654972512164e-05
tm,0.27254815815008543,0.012414027678897259,0.08336952899845126,0.15759479334803914,0.12886424681494174,0.19638621306302625,0.051297769112526134,0.029096077409703047,0.004955749097233802,0.007008548847501514,6.248123583099167e-05,0.002128890655543109,0.01871761217007225,0.009589252443784927,0.023301070962891076,0.00266178480363819,3.7952078338292114e-06
tl,0.2608961664432451,0.05761793221801943,0.01271982270223019,0.02427986109771728,0.012367178304148456,0.09320805059320744,0.06357079763140931,0.013632757132403441,0.0319394622697622,0.1274952151405946,0.1814994293031936,0.0009955750927892878,0.055824227279178226,0.06035813782274841,0.002549467314317015,0.0009075912748480938,0.00013832838018809637
vl,0.4585177277604481,0.050386171741518264,0.20751868357615502,0.005654638492902443,0.09551149070362702,0.011084205758153623,0.00016530977748513398,0.010406661343625997,0.00041345792592125053,0.0439570017833932,0.08037006457638049,9.574936281735053e-05,0.016554528621811754,0.011079671855289889,0.0003160969199886902,0.007871863281094444,9.667651938719888e-05
vs,0.2490974605802879,0.1251965200820236,0.04575960390578381,0.0381525802878746,0.03655548765636626,0.06221062135054757,0.1230041431245702,0.053389396094001756,0.04157553361870861,0.1720996094948221,0.0019280567806739823,0.027974741655469107,2.591320573683161e-05,0.018544782651339683,0.0005089302067313602,0.0037194485317641798,0.0002571707732984009
vn,0.10550963860954779,0.07868790955652094,0.09397666942312519,0.04832668255362506,0.2735157281677974,0.3021374121637003,0.00015956801457484753,0.011513064034679603,9.385266959366714e-06,0.04205863372651422,0.023908056434916735,0.007283135161154484,0.004078288181271468,2.5499848260277288e-05,0.008796106810879287,1.0168477489067945e-05,4.053568983739605e-06
