Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
il,0.14668568920907596,0.16686909305184577,4.04164093213293,0.1071101637754968,0.14807202672184436,0.1070105171919353,1.536851445171547,1.0704276485156987,0.14231879721527413,2.8390457017375144,2.347821580462674,5.366460995961458,3.731728310496222,1.714039448934562,7.266862471834774,6.815056480339754,2.5335140257768667
is,2.9036934455047603,0.9765373154191734,0.5992224138748493,16.414250108685593,2.170163249905512,0.1291478198103055,0.00564997527426159,0.17497374873315485,1.0089667447233508,1.1489228992209406,7.877423133584495,0.7864464209993349,3.7350652465207808,1.2379946356133664,0.5889077895797055,0.9153827601910162,0.13244605090483755
if,17.282047669978766,1.5705862737094665,1.1850445643214065,0.08814377840488571,0.8948167253113921,0.029418672370823906,0.0004175827766989396,0.7766220893141846,2.7454754864475315,0.4957306113113987,4.7044152229825844e-05,0.2317242681491272,1.4619336939708396,0.24046927766276602,4.190695151637643,0.00040120915871191994,0.03303796963759797
mm,0.6100267119774205,0.1286844117241475,2.223460232981355,0.1302712565474692,0.9345948283560757,0.833355616399436,0.7076580434100691,0.5356592719586248,0.6138337709272919,1.9253187783444068,1.2126081779953644,1.0925199286657945,10.765593078218675,3.5210222987026776,0.19439382691719717,0.32664747821769946,5.701294608065457
mh,0.016366785899972234,2.7684541015127904,3.7523220103361887,0.28617682229185876,0.6589312521998898,1.901258350521061,0.23508414758466195,2.1076523351093424,0.0033487631963281857,0.7933558662205282,2.0131045336769886,0.0013827430282891161,1.06955151779007,1.502861793810671,2.4743561289421456,3.4550961202825015,1.6506821901316318
b,5.405442020829688,0.02074824287181466,0.6815002989467194,6.444476612481525,0.05648848012581764,2.5464338467797254,1.53376513178698,3.163386584630649,2.855885124439898,3.463864440432236,6.835952767189216,1.106776320485409,1.7965779798738886,0.4560204101412505,3.9697717512666726,1.8470227771258834,1.6348174720239292
ms,0.5432274521761911,0.208141631064622,9.047697707805245,0.3201192587596292,0.0072215875795937036,7.2246150383774905,1.3784849833489312,2.7843428014406397,0.025287522448889984,0.31140577117036283,6.695738769263946,2.4803317450143028,0.47396825927109953,8.543272193572763,0.5546575243968754,6.106285597351062,0.8046282284556794
nt,5.063660333869778,0.0007006091771686946,0.7372450310000038,1.0067546740106346,0.05930947772415475,0.00016788914019275796,2.212912344617426,11.110932615363533,0.5637750185243268,4.087029417936128,2.65876416255532,1.860561016706695,0.042480122992329644,2.00537817459841,0.3195231503508881,0.7565522765137954,0.008959695295790831
ot,1.046227766297244,1.6904633380700018,8.5083441071199,0.8149146377007648,0.3349495822956458,1.970626920129603,0.8781914060458536,0.15091261786594304,0.1533359614667935,9.257438443211974,0.4437605644124967,0.15651328893194535,6.6817233843430035,0.6498364653989412,0.0006356552748615244,0.11441883732665013,0.5529678744687806
ph,0.47966411060176495,2.065600927974269,0.1897903975289322,0.6177796185337346,3.8740426362691474,0.44810095297799324,0.17643269771665995,1.5756374922435166,0.729167903701459,0.3398451674791202,0.9875236197161041,0.15896887985218858,0.00563691792619809,11.72006281839595,5.686372171170817,4.636793097229031,0.2274096216244525
sj,0.16379462660311564,2.8950517103148026,0.44246866258664086,1.541606056436705,0.7559322066816756,0.7220670188842362,2.7844301862347987,0.4368825317703916,3.3526259049823337,2.9403032994289844,2.9904012823540906,0.005485416374467008,0.3863907296403111,0.8945155362460818,3.7838279085145667,0.6191197685763402,1.1131526954729631
sm,0.0005865478055795432,4.969809019371476,2.3394916117889846,0.35541420316313893,0.3490464538621207,0.9494151411057827,0.6059478883662239,0.5510996935854945,3.1286829909368947,1.1522536127423808,8.18412180571102,2.9064007107068046,1.7488464661152439,0.2799670576482911,0.7161193182124314,4.151668706810475,5.733305626019452
sb,2.0664914288381637,0.0027773691058660295,2.3590642568920033,1.1172297099697868,0.7204228629218743,0.0820301959552422,0.23008595514672156,10.06893477047468,0.006697581945723195,3.420150481934066,0.6838538615321959,0.10780400776386982,2.181606164776802,0.07773056493618331,0.20152519041964748,0.035544295507060196,0.010213077094629609
sv,2.014506895194112,0.7700300520752159,0.38468973121033223,0.01686152381645674,1.66672455972653,0.14033419480912482,1.6820304705523812,0.7826660964546421,0.14685000790744077,0.11566505989359815,0.381930414097295,5.113713016178776,1.441091726778077,1.4943208964719723,6.521847324311388,6.238099513106303,0.1494073829757409
tr,3.4949123648739673,2.7633947489136115,12.906883601801036,0.02010705955360703,0.22931790961353968,0.09752011208013199,0.6072024974106772,0.7546337187219083,2.0102546576670615,0.3609529767989404,0.6834022345724188,0.4626418662367518,0.08233385171131256,1.2517121347216094,0.22256690492644046,2.1087264263825114,1.0405294944154058
tm,5.045945727685083,0.34719527170240483,2.56370616304874,6.511455868598954,6.514495977040792,10.7693122080888,3.3620668300220613,2.4787007870004265,0.46164855599716254,0.826759239405743,0.007963695209077649,0.3730663813157224,3.8765028299894664,2.594194903352766,8.512235872184206,2.0683624223125427,0.08990171395618823
tl,2.2302960821564497,0.7440707992878357,0.18060819715171894,0.4632100083416239,0.2886785418191895,2.3600755029159677,1.9238048895340027,0.5362519187579894,1.3738055646940333,6.944489709847294,10.68158702418428,0.08055681405397538,5.338360290317505,7.539615219267653,0.43004382437005995,0.3256413225751499,1.5130009451031878
vl,5.9374624389028305,0.9856389908570458,4.463376508052827,0.16341296187850218,3.3771427930759828,0.4251351082009694,0.00757795155959585,0.6200782569982325,0.026938841354846987,3.626806913746144,7.164811294114436,0.01173583706947535,2.398015025821997,2.0964773180774507,0.08076690686917218,4.278353450430165,1.6017651267252067
vs,2.7878429763249954,2.11666941851164,0.8506342025687555,0.9529274475490814,1.1171221095930726,2.0622494472704753,4.873346466983373,2.7494406829146443,2.341206320663474,12.272428831472288,0.14855405933555266,2.9634563066304924,0.003244221431797821,3.0327686527404487,0.1123894847602913,1.7471570142529202,3.6825928316686123
