Indicatori,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
PopScolara,-0.7777141424710244,-0.09818725193769152,0.3869469602312138,-0.12872011660018404,-0.06026497931002763,0.337814973438443,0.09302124474256972,-0.014234122082325816,-0.07619756567956057,-0.01376779579756739,0.09137327143777874,-0.018592096353477083,-0.08459127933290427,-0.03389651530161548,-0.00604229442197952,-0.09528421129555537,0.03650694294444659,-0.05463274509733167,0.11849531474311639,-0.0027963879068308825,0.07301840235164993,-0.07734884730316897,0.04390469522209049,0.08531273555581724,0.05648945896843386,-0.0910229618736776,-0.08988720391436285,0.039281633811266106,-0.005631401854794779,0.0023086616120087658,0.021983041628114337
PaturiUS,-0.7152830787565594,-0.26982683519911255,0.3041831360147162,0.21339936257771944,-0.060032154607296766,0.2595293212694519,-0.20764542746282685,-0.15870644120590252,-0.14136289618359588,0.0854939287566423,0.08979347532022895,0.05228140244757559,-0.031421446297258016,-0.12687152269262023,-0.06298812702670065,0.01995333754947062,-0.1996209991010174,0.038972568893964395,-0.029622602601789474,0.013077672938116893,0.04016127638643962,0.07410826193755546,-0.08892510285745236,-0.01035505906126482,0.07924074648866075,0.11625861152207372,0.014924767364789274,0.007248804861567966,-0.020443740840963072,-0.003232463765089248,0.025697777701531456
Medici,-0.8096636796446737,0.07792948442030279,0.1870001618915632,0.15853970356292738,-0.10444900348209778,0.2799465830635481,0.014837316814389389,0.0053615332344398164,-0.17503043539395757,-0.00988583127309038,0.16975326172744468,-0.0590668385832716,-0.09911515676605977,-0.07757542668947913,0.08696976488211255,0.1257868005269438,-0.18776369270333668,-0.020708786341375483,0.07860254982013516,-0.05367663794125371,-0.12592345329131202,0.11821861977112788,0.039081620685982386,0.007990092524326186,-0.030648392146428866,-0.08591433069847469,0.0245139943537695,-0.014931311275554386,-0.006665933665849469,3.302909376475656e-05,-0.033420020252222786
VolumeB,-0.7068878961594028,-0.20233163145038313,0.43240820201611424,0.1167351756013622,-0.3142175105261827,0.19526421743813407,0.05084725658705215,-0.023836352357722274,0.09860984478440842,0.19254322891142536,0.05969284054304609,-0.004763215560848178,-0.07109669995291609,0.08141114787429833,-0.02611640292594714,-0.03843792556443765,0.03136307502320349,0.05914064934687571,-0.06900018863415097,0.0016164893919899284,0.1093771962019205,-0.14080391724088703,-0.07274205631854698,0.004711744876380985,-0.058335281691099125,0.003520449582580358,0.04024901030111973,-0.025857937533805768,0.0025820671948368658,0.03892018377433966,-0.030906749515736028
SpectatoriS,-0.5401547060022759,-0.34754878533847794,0.11953968698316537,-0.12110022583688244,0.38892227214878433,0.06193448848294431,0.2849896326240793,0.3339067928024515,0.11791176311256268,0.2224880049440107,-0.027406363564588133,0.2566378846150702,0.17524978041249803,0.008934729107137988,-0.018031777350006727,-0.01930524489121564,-0.06968999528280827,0.1267441688916035,-0.04532688600073138,0.04231802130681439,0.017036668656981994,0.06557784316005878,0.1160993746982478,-0.027819064664061196,0.009819563458104355,0.04463844382843562,-0.0515927978845231,0.0011850158976390941,0.014441502560921008,0.020687901912167902,-0.013097755895450636
VizitatoriM,-0.4752325468085635,-0.46822024796337747,-0.06676054629479002,-0.2859013061150221,0.5039885638366065,-0.17857096934438582,0.19113240628641023,0.1551699552344879,0.03091679313998824,0.03965768354187451,0.1571542006473322,0.1835789342759968,0.09983966104890561,0.03307244575759728,0.03269511064533568,0.10672458335343277,-0.009696981086386575,0.04461428206935557,0.060040231647150055,-0.00011152949615944144,-0.0532961199627153,-0.0715108954367724,-0.10377535542139343,0.034964898027019596,0.0155352677264298,-0.07338213799316425,0.06909191394015489,-0.024004129523286465,-0.024646162365161487,-0.01720832939932521,0.016205857103344753
SportiviL,-0.6148566474513874,-0.1138378035165367,-0.2672880631477421,0.12269847347559536,-0.21930087001323334,0.21288418550934016,-0.11414710090671688,0.25493433711609653,-0.2430545927609303,-0.08919996846541146,-0.25839531927147796,-0.15089169066573152,0.23794415361367544,0.13242982113481275,0.2726187499448092,0.14814309629402253,0.011567597674595644,0.004733699060383386,-0.1308940790896923,-0.019264272071822144,-0.03338826041300202,-0.03649815654803235,-0.020721730097297032,-0.024682913930747116,0.01689660723312418,-0.01544687638947884,-0.03674991367409652,-0.014383307778315466,-0.014278352381265935,0.019343936121437363,0.01624945999571486
PIB,-0.8975936089216929,0.05931642665274449,-0.0596918205462974,0.22670638338000898,-0.1672555616604232,-0.02480869348912543,0.04314186586304601,-0.009908923751794611,0.022691594771185764,0.17138135984539327,-0.026528258973765418,-0.04222299776191197,-0.04679651919713215,0.06619378208391564,-0.11553786512867474,0.068471675001164,0.07785481538734827,0.01588339704757661,-0.06994215297766897,0.11253979211382614,-0.08593200069471812,-0.06403748276928592,0.017910655357502567,0.03782853221338188,0.02393271758678005,0.03566968519646845,-0.04931837392418007,-0.041215925146373567,-0.009964050748150328,-0.06981240604349805,-0.016133664975724108
SalariatiC,-0.7830813294969402,0.34649338284099884,-0.08009084624328612,-0.04109377776468749,-0.057275380487226066,-0.2517696990402076,-0.0063695306026682035,0.22902802108689804,0.185722238281535,0.14633067499602972,-0.01898026403542047,0.07186341743764352,-0.03567061458531158,-0.07976725856515249,-0.05311158962554809,0.06894441710125562,-0.009437277259390631,-0.0666768615955451,-0.0048167688311053485,-0.12488885825995301,0.06782969140348208,0.03550953849569536,-0.11754419442973846,-0.10772471230293794,-0.051189364525434704,-0.03111862293130135,-0.0684973960454562,0.05221097885338894,-0.009074211311757108,-0.016529595354311945,-0.0044678333203535805
PAgrVeg,0.690772479208074,0.05286137940542041,-0.029325702161115515,0.3516508497238994,-0.13356786089117276,0.28458648755766014,0.12331807927205456,0.2565715132077858,-0.16236193846513866,0.06563149634780621,0.11847326593485359,-0.05715607183062441,0.1008510417572857,-0.2547837476899531,0.03433730632205522,-0.13886498201731667,0.02826577283116748,0.21568880695661374,0.024231193002119282,0.09806744479093125,-0.024863053881582425,-0.005720455933574153,-0.05838452968735715,-0.025281409782871956,-0.08321514066368667,-0.034337822693011874,-0.005721975288942129,0.001134403228099573,0.03465529131681131,-0.01914987452879802,0.014331456281119837
PAgrAnim,0.5708626753994731,-0.3853028504498657,-0.030049026458024836,-0.09801692579435513,-0.28612874443224995,0.16850256937565875,0.10077666974239086,0.3205089826523687,-0.18810239792968728,-0.22886855412990156,-0.08490189811926668,0.14721182242084788,-0.09239514364832772,0.12367216187154567,-0.24213060910155837,0.13950987932101025,-0.1473602346364149,-0.17563711504865148,0.005952482356761613,0.1202223934596228,0.01280632276294935,-0.023981880539056016,-5.1238507029189514e-05,-0.0071465299137569525,-0.0684158041152307,0.00398514769731077,0.00587871681413952,0.02778841305666277,0.00803337175267678,-0.0027571486188547613,0.004433828150463942
ServAgr,-0.0693175235124786,0.14044276653033483,0.05399966306980101,0.6083265277169504,-0.02432323641451067,-0.06081065403304397,0.46653296843941683,-0.11961317125622166,0.2194678835232517,-0.1164225900347909,-0.4672948500868845,0.14223125384981833,-0.08097230436776257,-0.16068922064747063,-0.09727337632712693,0.04243941629674746,-0.05669725797726106,0.01931726013461556,-0.036856568079457024,-0.060173755795407735,-0.08718263573951583,-0.022967527872013116,-0.02523581444433708,0.05086840464501613,0.030069429994529495,-0.028588759474889813,0.002308182661164789,-0.006944770184363163,0.01111749849116003,0.019473600046483644,0.00953549061231382
Silvicultura,0.040804671595090346,-0.4417191995010875,-0.13460845440419084,-0.42530808847837615,-0.1996986359765995,0.22362821774424468,-0.34969687840966984,-0.08473843303222288,0.13326991378970382,0.23929140419757797,-0.37931264845562573,0.16272023166287303,-0.3127494860074798,0.04049911588172217,0.08506911446591686,0.04145774970390713,0.07991415059228082,0.12295408440167141,0.040825164353735593,0.005003030882311277,-0.006072968414040024,0.07035803037772811,-0.007793113575058938,-0.0005729762139580333,-0.011577246272997641,-0.037900642429130986,0.009446533423073285,-0.006116831943073521,0.03073821137685308,-0.011181213386638118,0.007685426798169554
SupLoc,-0.39797391475245647,0.4564157559227539,-0.4706897401239149,-0.21894715970755194,0.010260240931394838,-0.2832306669858953,-0.11694853490066733,0.21003478077916643,0.17587466658876585,0.12665544444984383,-0.07292613749777122,-0.21349291892546737,-0.07808010867268474,-0.08735021256178492,0.0364631204606296,-0.0048173292366272885,-0.2709161049519729,0.004302799064586993,0.0301846910824129,0.14370981636188795,0.09431092760599048,-0.013962953204573761,-0.008318017169377958,0.08279673738526513,0.015286891253231827,-0.014541832341058778,0.003104112812977817,-0.02860715772863295,0.016274531480587235,0.014480537480751591,0.0029351910322600433
