Siruta,Localitate,PondereAngajati
164892,Miclesti,0.0
148514,Forasti,0.004678860059549128
140324,Bocsa,0.0
156712,Dudestii Vechi,0.0029411764705882353
99370,Sipote,0.005236581260519918
132137,Aricestii Zeletin,0.0
9262,Municipiul Arad,0.01123049873014987
1071,Ciugud,0.008380824673147838
50228,Vintila Voda,0.0013404825737265416
33845,Micestii De Campie,0.03527336860670194
115771,Bichis,0.0
107582,Cernesti,0.011985834922364479
9280,Fantanele,0.0024245689655172415
123969,Razboieni,0.0
132164,Baba Ana,0.0
42058,Teliu,0.0
164936,Muntenii De Jos,0.0016381933068102036
173132,Stanesti,0.0
17496,Mosoaia,0.00017516202487300754
33881,Milas,0.003894080996884735
140379,Buciumi,0.008815638175546186
74842,Catane,0.0
25692,Tamasi,0.0012899064817800709
42076,Ticusu,0.0027881040892193307
156767,Dumbrava,0.0
58464,Margau,0.0
91232,Santamaria-Orlea,0.0
74859,Carcea,0.28175119202427396
99441,Tansa,0.0
115824,Bogata,0.0
74867,Carna,0.0072306579898770785
9333,Livada,0.0
42101,Ucea,0.10932203389830508
164981,Oras Murgeni,0.00602627455706882
74875,Cotofenii Din Fata,0.0
124028,Rediu,0.0
1151,Oras Abrud,0.0009069472156720479
132226,Balta Doamnei,0.0
74883,Dobrotesti,0.0
156801,Oras Faget,0.0304628774891204
148612,Oras Frasin,0.0
66697,Cojasca,0.0
74891,Galiciuica,0.0
115851,Breaza,0.021369212504946576
107662,Cicarlau,0.0016722408026755853
9360,Sofronea,0.006543075245365322
25745,Tatarasti,0.0
50326,Viperesti,0.0
99478,Tatarusi,0.0
74907,Ghidici,0.0
140440,Camar,0.011163337250293772
33952,Monor,0.1301900070372977
74915,Ghindeni,0.0
58534,Marisel,0.0
17575,Mozaceni,0.03081232492997199
124073,Romani,0.0
66731,Comisani,0.00019286403085824494
74923,Intorsura,0.0
42156,Ungra,0.0
173230,Stoenesti,0.002012072434607646
132271,Baltesti,0.0
74931,Plesoi,0.0
9397,Vladimirescu,0.0005392081343398552
58552,Mintiu Gherlii,0.0
115897,Brancovenesti,0.00199501246882793
148667,Fratautii Noi,0.0023789294817332203
83133,Municipiul Odorheiu Secuiesc,0.0037056232184503757
1213,Municipiul Aiud,0.0019378372216733795
140477,Carastelec,0.0
107715,Campulung La Tisa,0.0
91330,Soimus,0.0
74949,Rojiste,0.0
33989,Nimigea,0.0
42183,Vama Buzaului,0.001127713560755568
74956,Talpas,0.010325655281969817
83151,Bradesti,0.015818091942659415
165069,Oltenesti,0.0
66768,Contesti,0.0
99539,Todiresti,0.0
17619,Musatesti,0.0
107733,Copalnic-Manastur,0.0012360939431396785
124117,Oras Roznov,0.0
148694,Fratautii Vechi,0.007891770011273957
140501,Chiesd,0.004996156802459646
132315,Banesti,0.0014179369018078695
50399,Valcelele,0.011378848728246318
25825,Targu Trotus,0.006124234470691163
50415,Zarnesti,0.004531126871552403
9459,Oras Chisineu-Cris,0.006755955908498281
132342,Bertea,0.0
115959,Ceuasu De Campie,0.022962112514351322
124153,Sagna,0.0
148729,Frumosu,0.005434782608695652
42236,Vistea,0.00045024763619990995
83197,Feliceni,0.0
156927,Fardea,0.0
58623,Mociu,0.0
140547,Cizer,0.0022361359570661895
25861,Traian,0.004416403785488959
165130,Osesti,0.0
99600,Trifesti,0.004239401496259352
9495,Oras Curtici,0.006080770995869665
132379,Boldesti-Gradistea,0.0
34075,Nuseni,0.004550227511375569
148765,Fundu Moldovei,0.0002469135802469136
140583,Coseiu,0.0
66857,Corbii Mari,0.0014875418371141688
50479,Ziduri,0.00045177320984865596
124206,Sabaoani,0.012602923878339774
91447,Tomesti,0.0
132404,Brebu,0.0011179429849077697
173374,Stoilesti,0.0
17726,Negrasi,0.0
9538,Oras Ineu,0.004905542218975055
42307,Voila,0.0
165185,Padureni,0.0
1348,Municipiul Blaj,0.01505191959607507
124233,Secuieni,0.0
25932,Ungureni,0.0
157004,Foeni,0.0
116046,Chetani,0.0
140627,Crasna,0.0005950609937518596
99673,Tibana,0.0
75098,Municipiul Galati,0.0062046551327927515
107868,Coroieni,0.0029190992493744786
58721,Moldovenesti,0.0
157031,Gavojdia,0.0
9574,Oras Lipova,0.0019305019305019305
132459,Calugareni,0.0
17771,Nucsoara,0.0
34155,Parva,0.0
75114,Sendreni,0.0002208968411751712
50549,Unguriu,0.0
83320,Municipiul Miercurea Ciuc,0.014146688820318063
34173,Petru Rares,0.0
140672,Creaca,0.0
50564,Florica,0.0
132486,Carbunesti,0.0
66955,Cornatelu,0.0
148872,Galanesti,0.00701508242721852
91535,Toplita,0.0
75150,Vanatori,0.04937833037300177
107920,Cupseni,0.0014330753797649756
165274,Perieni,0.0
9627,Oras Nadlac,0.0006248437890527368
132510,Ceptura,0.023461041756349547
157086,Oras Gataia,0.04602832512315271
42398,Vulcan,0.0
116126,Chiheru De Jos,0.0
17824,Oarja,0.015167548500881834
58794,Palatca,0.0
124331,Stanita,0.0
26029,Urechesti,0.0
83375,Pauleni-Ciuc,0.0
1455,Oras Campeni,0.00812688425743872
9654,Oras Pancota,0.026458282057592913
148916,Gramesti,0.0006684491978609625
17851,Pietrosani,0.003703703703703704
34235,Prundu Bargaului,0.0
75203,Municipiul Tecuci,0.006925055510365599
99780,Tibanesti,0.0
107975,Desesti,0.006748207507380852
67014,Cornesti,0.0023938716884774978
116171,Coroisanmartin,0.0
42449,Sinca Noua,0.0
75221,Draganesti,0.0006053268765133172
34262,Rebra,0.001444564824846515
42456,Crizbav,0.0
9690,Oras Sebis,0.003878975950349108
165336,Poienesti,0.0
132574,Cerasu,0.0
173533,Stroesti,0.0010865628395508873
42464,Sambata De Sus,0.0013097576948264572
140770,Cristolt,0.003189792663476874
26083,Valea Seaca,0.0
83428,Oras Baile Tusnad,0.0011876484560570072
34280,Rebrisoara,0.006038647342995169
42472,Holbav,0.0
58856,Panticeu,0.0
148970,Granicesti,0.0
91624,Totesti,0.0
42480,Dragus,0.019963702359346643
108017,Oras Dragomiresti,0.004598405885959534
17913,Poienarii De Arges,0.0
124411,Stefan Cel Mare,0.003517748640869843
75258,Munteni,0.0001284191601386927
116224,Cozma,0.0
42498,Augustin,0.0
108035,Dumbravita,0.004156084045255137
26118,Vultureni,0.0019038553069966682
83464,Oras Balan,0.01147396293027361
157193,Ghizela,0.0
9743,Almas,0.001142857142857143
140823,Criseni,0.025548640681297086
34333,Rodna,0.0007753140021708792
173597,Sutesti,0.0
83491,Oras Borsec,0.00974025974025974
58918,Petrestii De Jos,0.009085009733939001
99879,Tiganasi,0.0
132645,Chiojdeanca,0.0
91688,Turdas,0.0
165416,Pogana,0.0
17968,Poienarii De Muscel,0.0
67121,Costestii Din Vale,0.0
34360,Romuli,0.0016685205784204673
149049,Horodniceni,0.017362995116657624
157246,Giarmata,0.004846302963168098
116288,Craciunesti,0.0
83525,Oras Cristuru Secuiesc,0.008147393759837052
9798,Apateu,0.001457301078402798
140869,Cuzaplac,0.0
75338,Oras Beresti,0.0008813160987074031
108106,Farcasa,0.002551020408163265
132681,Ciorani,0.0010368834246778254
124493,Tarcau,0.0
91731,General Berthelot,0.0
99922,Tutora,0.0
157273,Giera,0.00205620287868403
165470,Puiesti,0.0
34397,Salva,0.0
75356,Beresti-Meria,0.0
67167,Crangurile,0.0
50790,Municipiul Resita,0.009998532946633113
9832,Archis,0.0012944983818770227
83561,Municipiul Gheorgheni,0.015276321701362887
18028,Poiana Lacului,0.020874904067536455
58990,Ploscos,0.005797101449275362
132716,Cocorastii Mislii,0.0005918910920390648
149101,Horodnic De Jos,0.08177379983726607
173686,Sirineasa,0.0
116340,Craiesti,0.0
34422,Silivasu De Campie,0.0
108151,Giulesti,0.00933997509339975
99968,Valea Seaca,0.0003238341968911917
157317,Giulvaz,0.004041032017407522
149138,Iacobeni,0.0009289363678588017
91795,Vata De Jos,0.002206287920573635
124563,Tasca,0.0
132752,Colceag,0.0
140958,Dobrin,0.0005963029218843172
9887,Bata,0.0
1696,Oras Cugir,0.04367154811715481
59041,Poieni,0.0005938242280285036
100004,Victoria,0.0
116395,Cucerdea,0.021216407355021217
34477,Sanmihaiu De Campie,0.0
108204,Ieud,0.001364877161055505
157362,Jamu Mare,0.0
26289,Zemes,0.004465191800284148
83632,Municipiul Toplita,0.002244109213315048
173748,Stefanesti,0.010410287813839559
67256,Darmanesti,0.004500818330605565
42682,Municipiul Braila,0.006264861247561687
149183,Izvoarele Sucevei,0.0
108222,Lapus,0.0
132805,Cornu,0.0032649253731343282
50889,Oras Anina,0.001712512041100289
124616,Tazlau,0.0
9930,Beliu,0.0
26320,Sarata,0.0022471910112359553
75472,Oras Targu Bujor,0.0
108240,Leordina,0.0
42708,Chiscani,0.013982392542723977
116439,Cuci,0.0
124634,Tamaseni,0.005237711522965351
67292,Dobra,0.0
141027,Dragu,0.0
26338,Buciumi,0.0
173793,Susani,0.000931098696461825
149227,Oras Liteni,0.0007722753161502076
165611,Pungesti,0.0
26346,Gioseni,0.0
50923,Oras Baile Herculane,0.0
132841,Cosminele,0.0
108268,Miresu Mare,0.0
26353,Odobesti,0.0
18162,Popesti,0.0
157424,Jebel,0.0
34547,Spermezeu,0.0
124661,Timisesti,0.0009746588693957114
100086,Vanatori,0.004675876726886291
26361,Prajesti,0.0
59130,Recea-Cristur,0.0
75515,Barcea,0.0006190034045187249
67327,Dragodana,0.0022378039683723706
42753,Oras Faurei,0.0017173699705593719
1794,Oras Ocna Mures,0.00792295608223482
157451,Lenauheim,0.0
26379,Itesti,0.0
116493,Danes,0.0
42771,Surdila-Greci,0.0
10006,Birchis,0.0010587612493382743
75542,Balabanesti,0.0
50969,Oras Bocsa,0.009133611691022964
141081,Fildu De Jos,0.0
173855,Tetoiu,0.0
91937,Valisoara,0.0
132896,Drajna,0.0
83749,Oras Vlahita,0.0028761929664008366
149290,Marginea,0.001988970255853901
50987,Ocna De Fier,0.0
124723,Trifesti,0.00019751135690302193
100148,Vladeni,0.0
34618,Sant,0.0
157497,Liebling,0.019386503067484663
108348,Moisei,0.0019365250134480904
116545,Deda,0.0
18242,Priboieni,0.0
51010,Municipiul Caransebes,0.001998231074131097
10051,Barsa,0.0
149316,Malini,0.0012751849018107625
42824,Baraganul,0.0
83785,Atid,0.003902439024390244
141134,Galgau,0.006595218466611707
67407,Dragomiresti,0.0
91982,Vetel,0.0
108366,Oarta De Jos,0.0
124750,Tupilati,0.0
1874,Municipiul Sebes,0.01692676333251413
34645,Sieu,0.0
165719,Rebricea,0.0
157530,Lovrin,0.00023640661938534278
42842,Bertestii De Jos,0.0
75613,Balasesti,0.0
59238,Risca,0.0
173935,Tomsani,0.0029466916688990086
116590,Eremitu,0.0
51056,Oras Moldova Noua,0.0025811209439528023
108400,Ocna Sugatag,0.005972288580984233
10104,Barzava,0.0
